field_name,current_value,required_value_policy,weak_local_hint,weak_local_hint_source,evidence_ref,operator_value,operator_clearance,notes
no_leak_evidence_ref,,independent_no_leak_evidence_ref_required,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
leakage_clearance,REQUIRED_NO_LEAK_CLEARANCE,clear,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
operator_clearance,REQUIRED_OPERATOR_CLEARANCE,operator_cleared,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
operator,REQUIRED_OPERATOR_ID,operator_id,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
prediction_created_at,YYYY-MM-DD,iso_date,2026-02-19,prediction_path_date,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
native_release_date,YYYY-MM-DD,authoritative_release_iso_date,2026-02-12,native_file_mtime_not_release_authority,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
prediction_generated_before_native_release,REQUIRED_TRUE_CONFIRMATION,true,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
public_template_or_native_used_for_prediction,REQUIRED_FALSE_CONFIRMATION,false,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
other_team_model_used,REQUIRED_FALSE_CONFIRMATION,false,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
post_release_information_used,REQUIRED_FALSE_CONFIRMATION,false,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,manual no-leak provenance field; do not auto-fill from local timestamps or path names
