required_benchmark_id,required_target_id,scope,metric_profile,field_name,required_policy,operator_value,evidence_ref,operator_clearance,notes
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",replacement_target_id,operator_supplied_authoritative_evidence,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",replacement_benchmark_id,operator_supplied_authoritative_evidence,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",target_identity_non_current_historical,operator_confirmed_true,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",prediction_pdb,existing_coordinate_valid_pdb,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",native_pdb,existing_coordinate_valid_pdb,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",native_authority_ref,operator_supplied_authoritative_evidence,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",prediction_created_at,authoritative_iso_date,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",native_release_date,authoritative_iso_date,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",prediction_generated_before_native_release,operator_confirmed_true,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",no_leak_evidence_ref,operator_supplied_authoritative_evidence,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",public_template_or_native_used_for_prediction,operator_confirmed_false,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",other_team_model_used,operator_confirmed_false,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",post_release_information_used,operator_confirmed_false,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",ablation_manifest_ref,operator_supplied_authoritative_evidence,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",calibration_values_ref,operator_supplied_authoritative_evidence,,,,required before this scaffold slot can accept a strict-blind historical replacement
hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",operator_clearance,operator_cleared,,,,required before this scaffold slot can accept a strict-blind historical replacement
