preflight_rank,preflight_status,target_group,target_id,decision_rank,decision_class,final_selector_decision,selected_model_filename,selected_model_extension,packaged_model_extension,model_path,model_size_bytes,viewer_html,projection_svg,top5_manifest_csv,source_decision_md,preflight_md,target_id_format_ok,selected_extension_ok,packaged_extension_ok,model_present,model_nonempty,viewer_present,projection_present,top5_manifest_present,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary,rule_id
1,freeze_candidate_format_preflight_ready_external_only,protein_complex,H2319,4,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,.pdb,.cif,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,628803,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,casp17/massivefold_representative_rerank/h2319/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/04_freeze_candidate_after_probe_h2319/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/01_protein_complex_h2319/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
2,freeze_candidate_format_preflight_ready_external_only,protein_complex,H2321,5,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,.pdb,.cif,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,639495,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_rerank/h2321/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/05_freeze_candidate_after_probe_h2321/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/02_protein_complex_h2321/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
3,freeze_candidate_format_preflight_ready_external_only,protein_complex,H2335,7,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,.pdb,.cif,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,1170207,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,casp17/massivefold_representative_rerank/h2335/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/07_freeze_candidate_after_probe_h2335/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/03_protein_complex_h2335/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
4,freeze_candidate_format_preflight_ready_external_only,protein_complex,H2338,8,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,.pdb,.cif,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,659340,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_rerank/h2338/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/08_freeze_candidate_after_probe_h2338/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/04_protein_complex_h2338/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
5,freeze_candidate_format_preflight_ready_external_only,protein_complex,H2339,9,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,.pdb,.cif,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,657639,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,casp17/massivefold_representative_rerank/h2339/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/09_freeze_candidate_after_probe_h2339/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/05_protein_complex_h2339/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
6,freeze_candidate_format_preflight_ready_external_only,rna_hybrid,R2341,10,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,.cif,.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,319897,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_representative_rerank/r2341/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/10_freeze_candidate_after_probe_r2341/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/06_rna_hybrid_r2341/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
7,freeze_candidate_format_preflight_ready_external_only,rna_hybrid,R2345,11,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_4_af3_woUnpaired_af3_seed_418984_sample_3_pred_713.cif,.cif,.cif,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/model.cif,111063,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/viewer.html,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/projection.svg,casp17/massivefold_representative_rerank/r2345/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/11_freeze_candidate_after_probe_r2345/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/07_rna_hybrid_r2345/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
8,freeze_candidate_format_preflight_ready_external_only,protein_complex,T2313,13,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_5_afm_woTemplates_model_4_multimer_v3_pred_28.pdb,.pdb,.cif,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/model.cif,1170531,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/projection.svg,casp17/massivefold_representative_rerank/t2313/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/13_freeze_candidate_after_probe_t2313/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/08_protein_complex_t2313/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
9,freeze_candidate_format_preflight_ready_external_only,rna_hybrid,R2350,14,freeze_candidate_existing,external_model1_freeze_candidate_existing,Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,.cif,.cif,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/model.cif,661942,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/projection.svg,casp17/massivefold_representative_rerank/r2350/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/14_freeze_candidate_existing_r2350/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/09_rna_hybrid_r2350/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
10,freeze_candidate_format_preflight_ready_external_only,rna_hybrid,R2353,15,freeze_candidate_existing,external_model1_freeze_candidate_existing,Model_7_af3_woPaired_af3_seed_634615_sample_2_pred_387.cif,.cif,.cif,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/model.cif,670369,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/viewer.html,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/projection.svg,casp17/massivefold_representative_rerank/r2353/top5_manifest.csv,casp17/massivefold_post_probe_selector_decision_packet/15_freeze_candidate_existing_r2353/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/10_rna_hybrid_r2353/FORMAT_PREFLIGHT.md,True,True,True,True,True,True,True,True,,external_no_native_freeze_candidate_format_preflight_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate format preflight only. It checks local external-only model candidate files, viewers, projections, target IDs, and top5 manifests before any operator-approved CASP rule check. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit.",external_freeze_candidate_format_preflight_v1
