review_rank,review_status,target_group,target_id,overlay_decision,overlay_action,review_class,primary_model_filename,alternate_model_filename,model_path,viewer_html,projection_svg,alternate_model_path,alternate_viewer_html,alternate_projection_svg,top5_manifest_csv,top5_candidate_count,confidence_score,confidence_gap,probe_result,probe_margin,risk_score,model_present,viewer_present,projection_present,alternate_present,alternate_viewer_present,top5_manifest_present,review_md,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary,rule_id
1,hold_probe_review_ready_external_only,rna_hybrid,R2352,selector_blocked_manual_review,do_not_freeze_model1_external_only,manual_blocked_review,Model_15_af3_woUnpaired_af3_seed_20656_sample_1_pred_611.cif,Model_7_af3_woPaired_woTemplates_af3_seed_26386_sample_2_pred_237.cif,casp17/massivefold_representative_viewers/r2352/selection_034_woUnpaired_model_15/model.cif,casp17/massivefold_representative_viewers/r2352/selection_034_woUnpaired_model_15/viewer.html,casp17/massivefold_representative_viewers/r2352/selection_034_woUnpaired_model_15/projection.svg,casp17/massivefold_representative_viewers/r2352/selection_027_woPaired_woTemplates_model_7/model.cif,casp17/massivefold_representative_viewers/r2352/selection_027_woPaired_woTemplates_model_7/viewer.html,casp17/massivefold_representative_viewers/r2352/selection_027_woPaired_woTemplates_model_7/projection.svg,casp17/massivefold_representative_rerank/r2352/top5_manifest.csv,5,82.69558,0.07092,probe_fail_model1_displaced,-0.23587,30.586,True,True,True,True,True,True,casp17/massivefold_hold_probe_review_packet/01_manual_blocked_review_r2352/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
2,hold_probe_review_ready_external_only,protein_complex,H2312,selector_hold_interface_review,keep_model1_hold_until_interface_review,interface_hold_review,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/model.cif,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/projection.svg,,,,casp17/massivefold_representative_rerank/h2312/top5_manifest.csv,5,101.58484,0.0813,probe_pass_model1_retained,0.10755,48.165,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/02_interface_hold_review_h2312/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
3,hold_probe_review_ready_external_only,protein_complex,H1311,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/model.cif,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/projection.svg,,,,casp17/massivefold_representative_rerank/h1311/top5_manifest.csv,5,104.19842,0.3313,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/03_probe_required_review_h1311/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
4,hold_probe_review_ready_external_only,protein_complex,H2319,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,,,,casp17/massivefold_representative_rerank/h2319/top5_manifest.csv,5,105.48786,0.56512,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/04_probe_required_review_h2319/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
5,hold_probe_review_ready_external_only,protein_complex,H2321,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,,,,casp17/massivefold_representative_rerank/h2321/top5_manifest.csv,5,102.10998,0.66878,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/05_probe_required_review_h2321/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
6,hold_probe_review_ready_external_only,protein_complex,H2324,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/model.cif,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/viewer.html,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/projection.svg,,,,casp17/massivefold_representative_rerank/h2324/top5_manifest.csv,5,99.93822,0.17602,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/06_probe_required_review_h2324/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
7,hold_probe_review_ready_external_only,protein_complex,H2335,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,,,,casp17/massivefold_representative_rerank/h2335/top5_manifest.csv,5,94.11582,1.11502,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/07_probe_required_review_h2335/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
8,hold_probe_review_ready_external_only,protein_complex,H2338,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,,,,casp17/massivefold_representative_rerank/h2338/top5_manifest.csv,5,103.87838,0.45224,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/08_probe_required_review_h2338/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
9,hold_probe_review_ready_external_only,protein_complex,H2339,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,,,,casp17/massivefold_representative_rerank/h2339/top5_manifest.csv,5,102.90764,0.74694,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/09_probe_required_review_h2339/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
10,hold_probe_review_ready_external_only,rna_hybrid,R2341,selector_probe_required,run_targeted_no_native_probe_before_freeze,probe_required_review,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,,,,casp17/massivefold_representative_rerank/r2341/top5_manifest.csv,5,53.0992,0.10906,,,,True,True,True,False,False,True,casp17/massivefold_hold_probe_review_packet/10_probe_required_review_r2341/HOLD_PROBE_REVIEW.md,,external_no_native_hold_probe_review_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold hold/probe review packet only. It links external MassiveFold model1/top5 review artifacts for selector-held or probe-required targets. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",baseline_calibrated_hold_probe_review_packet_v1
