pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
1,H1311,H1311_T327,49,H1311_all_pdbs/Model_8911_afm_dropout_full_model_4_multimer_v1_pred_39.pdb,Model_8911_afm_dropout_full_model_4_multimer_v1_pred_39.pdb,8911,AFM,afm_dropout_full_multimer_v1,,4,39,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_8911_afm_dropout_full_model_4_multimer_v1_pred_39.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,57,H1311_all_pdbs/Model_10531_afm_dropout_full_model_3_multimer_v1_pred_51.pdb,Model_10531_afm_dropout_full_model_3_multimer_v1_pred_51.pdb,10531,AFM,afm_dropout_full_multimer_v1,,3,51,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10531_afm_dropout_full_model_3_multimer_v1_pred_51.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,131,H1311_all_pdbs/Model_7483_afm_dropout_full_model_2_multimer_v1_pred_1.pdb,Model_7483_afm_dropout_full_model_2_multimer_v1_pred_1.pdb,7483,AFM,afm_dropout_full_multimer_v1,,2,1,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_7483_afm_dropout_full_model_2_multimer_v1_pred_1.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,188,H1311_all_pdbs/Model_10289_afm_dropout_full_model_5_multimer_v1_pred_25.pdb,Model_10289_afm_dropout_full_model_5_multimer_v1_pred_25.pdb,10289,AFM,afm_dropout_full_multimer_v1,,5,25,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10289_afm_dropout_full_model_5_multimer_v1_pred_25.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,207,H1311_all_pdbs/Model_10525_afm_dropout_full_model_3_multimer_v1_pred_7.pdb,Model_10525_afm_dropout_full_model_3_multimer_v1_pred_7.pdb,10525,AFM,afm_dropout_full_multimer_v1,,3,7,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10525_afm_dropout_full_model_3_multimer_v1_pred_7.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,222,H1311_all_pdbs/Model_9025_afm_dropout_full_model_1_multimer_v1_pred_43.pdb,Model_9025_afm_dropout_full_model_1_multimer_v1_pred_43.pdb,9025,AFM,afm_dropout_full_multimer_v1,,1,43,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_9025_afm_dropout_full_model_1_multimer_v1_pred_43.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,241,H1311_all_pdbs/Model_10694_afm_dropout_full_model_3_multimer_v1_pred_42.pdb,Model_10694_afm_dropout_full_model_3_multimer_v1_pred_42.pdb,10694,AFM,afm_dropout_full_multimer_v1,,3,42,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10694_afm_dropout_full_model_3_multimer_v1_pred_42.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,304,H1311_all_pdbs/Model_10415_afm_dropout_full_model_4_multimer_v1_pred_20.pdb,Model_10415_afm_dropout_full_model_4_multimer_v1_pred_20.pdb,10415,AFM,afm_dropout_full_multimer_v1,,4,20,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10415_afm_dropout_full_model_4_multimer_v1_pred_20.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,343,H1311_all_pdbs/Model_9170_afm_dropout_full_model_5_multimer_v1_pred_44.pdb,Model_9170_afm_dropout_full_model_5_multimer_v1_pred_44.pdb,9170,AFM,afm_dropout_full_multimer_v1,,5,44,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_9170_afm_dropout_full_model_5_multimer_v1_pred_44.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,363,H1311_all_pdbs/Model_9453_afm_dropout_full_model_4_multimer_v1_pred_1.pdb,Model_9453_afm_dropout_full_model_4_multimer_v1_pred_1.pdb,9453,AFM,afm_dropout_full_multimer_v1,,4,1,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_9453_afm_dropout_full_model_4_multimer_v1_pred_1.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
