pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
1,H1311,H1311_T327,58,H1311_all_pdbs/Model_9494_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_20.pdb,Model_9494_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_20.pdb,9494,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,5,20,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_9494_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_20.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,87,H1311_all_pdbs/Model_7407_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_54.pdb,Model_7407_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_54.pdb,7407,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,3,54,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_7407_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_54.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,109,H1311_all_pdbs/Model_8087_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_21.pdb,Model_8087_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_21.pdb,8087,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,3,21,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_8087_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_21.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,129,H1311_all_pdbs/Model_11756_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_14.pdb,Model_11756_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_14.pdb,11756,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,4,14,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_11756_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_14.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,141,H1311_all_pdbs/Model_2025_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_23.pdb,Model_2025_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_23.pdb,2025,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,3,23,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_2025_afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_23.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,178,H1311_all_pdbs/Model_4451_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_55.pdb,Model_4451_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_55.pdb,4451,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,5,55,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_4451_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_55.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,201,H1311_all_pdbs/Model_6475_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_30.pdb,Model_6475_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_30.pdb,6475,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,1,30,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_6475_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_30.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,216,H1311_all_pdbs/Model_5556_afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_65.pdb,Model_5556_afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_65.pdb,5556,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,2,65,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_5556_afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_65.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,226,H1311_all_pdbs/Model_1041_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_15.pdb,Model_1041_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_15.pdb,1041,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,5,15,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_1041_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_15.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,263,H1311_all_pdbs/Model_6092_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_40.pdb,Model_6092_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_40.pdb,6092,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,1,40,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_6092_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_40.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
