pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
1,H1311,H1311_T327,1,H1311_all_pdbs/Model_644_afm_basic_model_1_multimer_v2_pred_34.pdb,Model_644_afm_basic_model_1_multimer_v2_pred_34.pdb,,unknown,unknown,,,,unknown,1,True,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_644_afm_basic_model_1_multimer_v2_pred_34.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,4,H1311_all_pdbs/Model_10174_afm_basic_model_3_multimer_v1_pred_52.pdb,Model_10174_afm_basic_model_3_multimer_v1_pred_52.pdb,,unknown,unknown,,,,unknown,2,True,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10174_afm_basic_model_3_multimer_v1_pred_52.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,8,H1311_all_pdbs/Model_8454_afm_basic_model_4_multimer_v2_pred_34.pdb,Model_8454_afm_basic_model_4_multimer_v2_pred_34.pdb,,unknown,unknown,,,,unknown,3,True,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_8454_afm_basic_model_4_multimer_v2_pred_34.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,9,H1311_all_pdbs/Model_9577_afm_dropout_04_woTemplates_model_3_multimer_v1_pred_30.pdb,Model_9577_afm_dropout_04_woTemplates_model_3_multimer_v1_pred_30.pdb,,unknown,unknown,,,,unknown,4,True,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_9577_afm_dropout_04_woTemplates_model_3_multimer_v1_pred_30.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,10,H1311_all_pdbs/Model_8558_afm_woTemplates_model_3_multimer_v1_pred_57.pdb,Model_8558_afm_woTemplates_model_3_multimer_v1_pred_57.pdb,,unknown,unknown,,,,unknown,5,True,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_8558_afm_woTemplates_model_3_multimer_v1_pred_57.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,12,H1311_all_pdbs/Model_206_cf_woTemplates_model_5_multimer_v3_pred_58.pdb,Model_206_cf_woTemplates_model_5_multimer_v3_pred_58.pdb,,unknown,unknown,,,,unknown,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_206_cf_woTemplates_model_5_multimer_v3_pred_58.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,14,H1311_all_pdbs/Model_10305_afm_basic_model_4_multimer_v2_pred_13.pdb,Model_10305_afm_basic_model_4_multimer_v2_pred_13.pdb,,unknown,unknown,,,,unknown,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_10305_afm_basic_model_4_multimer_v2_pred_13.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,17,H1311_all_pdbs/Model_8584_afm_woTemplates_model_1_multimer_v2_pred_35.pdb,Model_8584_afm_woTemplates_model_1_multimer_v2_pred_35.pdb,,unknown,unknown,,,,unknown,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_8584_afm_woTemplates_model_1_multimer_v2_pred_35.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,20,H1311_all_pdbs/Model_8984_afm_dropout_04_woTemplates_model_4_multimer_v1_pred_20.pdb,Model_8984_afm_dropout_04_woTemplates_model_4_multimer_v1_pred_20.pdb,,unknown,unknown,,,,unknown,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_8984_afm_dropout_04_woTemplates_model_4_multimer_v1_pred_20.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,21,H1311_all_pdbs/Model_11612_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_48.pdb,Model_11612_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_48.pdb,,unknown,unknown,,,,unknown,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_11612_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_48.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
