pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
1,H1311,H1311_T327,22,H1311_all_pdbs/Model_2755_af3_woPaired_af3_seed_725877_sample_2_pred_852.cif,Model_2755_af3_woPaired_af3_seed_725877_sample_2_pred_852.cif,2755,AF3,af3_woPaired,725877,2,852,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_2755_af3_woPaired_af3_seed_725877_sample_2_pred_852.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,29,H1311_all_pdbs/Model_3369_af3_woPaired_af3_seed_143821_sample_3_pred_398.cif,Model_3369_af3_woPaired_af3_seed_143821_sample_3_pred_398.cif,3369,AF3,af3_woPaired,143821,3,398,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_3369_af3_woPaired_af3_seed_143821_sample_3_pred_398.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,77,H1311_all_pdbs/Model_3851_af3_woPaired_af3_seed_927548_sample_4_pred_429.cif,Model_3851_af3_woPaired_af3_seed_927548_sample_4_pred_429.cif,3851,AF3,af3_woPaired,927548,4,429,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_3851_af3_woPaired_af3_seed_927548_sample_4_pred_429.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,100,H1311_all_pdbs/Model_4364_af3_woPaired_af3_seed_978614_sample_4_pred_304.cif,Model_4364_af3_woPaired_af3_seed_978614_sample_4_pred_304.cif,4364,AF3,af3_woPaired,978614,4,304,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_4364_af3_woPaired_af3_seed_978614_sample_4_pred_304.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,128,H1311_all_pdbs/Model_588_af3_woPaired_af3_seed_521582_sample_3_pred_978.cif,Model_588_af3_woPaired_af3_seed_521582_sample_3_pred_978.cif,588,AF3,af3_woPaired,521582,3,978,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_588_af3_woPaired_af3_seed_521582_sample_3_pred_978.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,135,H1311_all_pdbs/Model_4319_af3_woPaired_af3_seed_683733_sample_1_pred_566.cif,Model_4319_af3_woPaired_af3_seed_683733_sample_1_pred_566.cif,4319,AF3,af3_woPaired,683733,1,566,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_4319_af3_woPaired_af3_seed_683733_sample_1_pred_566.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,171,H1311_all_pdbs/Model_6592_af3_woPaired_af3_seed_349401_sample_1_pred_256.cif,Model_6592_af3_woPaired_af3_seed_349401_sample_1_pred_256.cif,6592,AF3,af3_woPaired,349401,1,256,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_6592_af3_woPaired_af3_seed_349401_sample_1_pred_256.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,181,H1311_all_pdbs/Model_4353_af3_woPaired_af3_seed_216998_sample_3_pred_173.cif,Model_4353_af3_woPaired_af3_seed_216998_sample_3_pred_173.cif,4353,AF3,af3_woPaired,216998,3,173,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_4353_af3_woPaired_af3_seed_216998_sample_3_pred_173.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,182,H1311_all_pdbs/Model_3810_af3_woPaired_af3_seed_666782_sample_1_pred_116.cif,Model_3810_af3_woPaired_af3_seed_666782_sample_1_pred_116.cif,3810,AF3,af3_woPaired,666782,1,116,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_3810_af3_woPaired_af3_seed_666782_sample_1_pred_116.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,203,H1311_all_pdbs/Model_2961_af3_woPaired_af3_seed_100499_sample_3_pred_483.cif,Model_2961_af3_woPaired_af3_seed_100499_sample_3_pred_483.cif,2961,AF3,af3_woPaired,100499,3,483,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_2961_af3_woPaired_af3_seed_100499_sample_3_pred_483.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,229,H1311_all_pdbs/Model_5542_af3_woPaired_af3_seed_569259_sample_2_pred_282.cif,Model_5542_af3_woPaired_af3_seed_569259_sample_2_pred_282.cif,5542,AF3,af3_woPaired,569259,2,282,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_5542_af3_woPaired_af3_seed_569259_sample_2_pred_282.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,231,H1311_all_pdbs/Model_2202_af3_woPaired_af3_seed_151479_sample_1_pred_801.cif,Model_2202_af3_woPaired_af3_seed_151479_sample_1_pred_801.cif,2202,AF3,af3_woPaired,151479,1,801,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_2202_af3_woPaired_af3_seed_151479_sample_1_pred_801.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,238,H1311_all_pdbs/Model_4392_af3_woPaired_af3_seed_605401_sample_2_pred_587.cif,Model_4392_af3_woPaired_af3_seed_605401_sample_2_pred_587.cif,4392,AF3,af3_woPaired,605401,2,587,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_4392_af3_woPaired_af3_seed_605401_sample_2_pred_587.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,248,H1311_all_pdbs/Model_5871_af3_woPaired_af3_seed_535109_sample_1_pred_346.cif,Model_5871_af3_woPaired_af3_seed_535109_sample_1_pred_346.cif,5871,AF3,af3_woPaired,535109,1,346,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_5871_af3_woPaired_af3_seed_535109_sample_1_pred_346.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,H1311,H1311_T327,270,H1311_all_pdbs/Model_2444_af3_woPaired_af3_seed_216997_sample_2_pred_167.cif,Model_2444_af3_woPaired_af3_seed_216997_sample_2_pred_167.cif,2444,AF3,af3_woPaired,216997,2,167,woPaired,,False,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models/H1311_all_pdbs/Model_2444_af3_woPaired_af3_seed_216997_sample_2_pred_167.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
