pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
3,H2312,H2312_T329,3,H2312_all_pdbs/Model_3317_af3_woPaired_woTemplates_af3_seed_341394_sample_2_pred_212.cif,Model_3317_af3_woPaired_woTemplates_af3_seed_341394_sample_2_pred_212.cif,3317,AF3,af3_woPaired_woTemplates,341394,2,212,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_3317_af3_woPaired_woTemplates_af3_seed_341394_sample_2_pred_212.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,20,H2312_all_pdbs/Model_271_af3_woPaired_woTemplates_af3_seed_853601_sample_1_pred_386.cif,Model_271_af3_woPaired_woTemplates_af3_seed_853601_sample_1_pred_386.cif,271,AF3,af3_woPaired_woTemplates,853601,1,386,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_271_af3_woPaired_woTemplates_af3_seed_853601_sample_1_pred_386.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,85,H2312_all_pdbs/Model_966_af3_woPaired_woTemplates_af3_seed_341394_sample_3_pred_213.cif,Model_966_af3_woPaired_woTemplates_af3_seed_341394_sample_3_pred_213.cif,966,AF3,af3_woPaired_woTemplates,341394,3,213,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_966_af3_woPaired_woTemplates_af3_seed_341394_sample_3_pred_213.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,98,H2312_all_pdbs/Model_718_af3_woPaired_woTemplates_af3_seed_341400_sample_4_pred_244.cif,Model_718_af3_woPaired_woTemplates_af3_seed_341400_sample_4_pred_244.cif,718,AF3,af3_woPaired_woTemplates,341400,4,244,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_718_af3_woPaired_woTemplates_af3_seed_341400_sample_4_pred_244.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,100,H2312_all_pdbs/Model_50_af3_woPaired_woTemplates_af3_seed_488184_sample_4_pred_964.cif,Model_50_af3_woPaired_woTemplates_af3_seed_488184_sample_4_pred_964.cif,50,AF3,af3_woPaired_woTemplates,488184,4,964,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_50_af3_woPaired_woTemplates_af3_seed_488184_sample_4_pred_964.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,120,H2312_all_pdbs/Model_880_af3_woPaired_woTemplates_af3_seed_838887_sample_0_pred_815.cif,Model_880_af3_woPaired_woTemplates_af3_seed_838887_sample_0_pred_815.cif,880,AF3,af3_woPaired_woTemplates,838887,0,815,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_880_af3_woPaired_woTemplates_af3_seed_838887_sample_0_pred_815.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,122,H2312_all_pdbs/Model_581_af3_woPaired_woTemplates_af3_seed_488171_sample_3_pred_898.cif,Model_581_af3_woPaired_woTemplates_af3_seed_488171_sample_3_pred_898.cif,581,AF3,af3_woPaired_woTemplates,488171,3,898,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_581_af3_woPaired_woTemplates_af3_seed_488171_sample_3_pred_898.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,125,H2312_all_pdbs/Model_3274_af3_woPaired_woTemplates_af3_seed_488172_sample_1_pred_901.cif,Model_3274_af3_woPaired_woTemplates_af3_seed_488172_sample_1_pred_901.cif,3274,AF3,af3_woPaired_woTemplates,488172,1,901,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_3274_af3_woPaired_woTemplates_af3_seed_488172_sample_1_pred_901.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,144,H2312_all_pdbs/Model_338_af3_woPaired_woTemplates_af3_seed_367746_sample_0_pred_570.cif,Model_338_af3_woPaired_woTemplates_af3_seed_367746_sample_0_pred_570.cif,338,AF3,af3_woPaired_woTemplates,367746,0,570,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_338_af3_woPaired_woTemplates_af3_seed_367746_sample_0_pred_570.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,176,H2312_all_pdbs/Model_577_af3_woPaired_woTemplates_af3_seed_967710_sample_1_pred_56.cif,Model_577_af3_woPaired_woTemplates_af3_seed_967710_sample_1_pred_56.cif,577,AF3,af3_woPaired_woTemplates,967710,1,56,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_577_af3_woPaired_woTemplates_af3_seed_967710_sample_1_pred_56.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
