pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
3,H2312,H2312_T329,7,H2312_all_pdbs/Model_4467_af3_woUnpaired_af3_seed_701714_sample_4_pred_129.cif,Model_4467_af3_woUnpaired_af3_seed_701714_sample_4_pred_129.cif,4467,AF3,af3_woUnpaired,701714,4,129,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4467_af3_woUnpaired_af3_seed_701714_sample_4_pred_129.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,51,H2312_all_pdbs/Model_4989_af3_woUnpaired_af3_seed_236638_sample_2_pred_42.cif,Model_4989_af3_woUnpaired_af3_seed_236638_sample_2_pred_42.cif,4989,AF3,af3_woUnpaired,236638,2,42,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4989_af3_woUnpaired_af3_seed_236638_sample_2_pred_42.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,78,H2312_all_pdbs/Model_4366_af3_woUnpaired_af3_seed_701720_sample_4_pred_159.cif,Model_4366_af3_woUnpaired_af3_seed_701720_sample_4_pred_159.cif,4366,AF3,af3_woUnpaired,701720,4,159,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4366_af3_woUnpaired_af3_seed_701720_sample_4_pred_159.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,88,H2312_all_pdbs/Model_4613_af3_woUnpaired_af3_seed_812966_sample_4_pred_614.cif,Model_4613_af3_woUnpaired_af3_seed_812966_sample_4_pred_614.cif,4613,AF3,af3_woUnpaired,812966,4,614,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4613_af3_woUnpaired_af3_seed_812966_sample_4_pred_614.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,92,H2312_all_pdbs/Model_4814_af3_woUnpaired_af3_seed_701731_sample_2_pred_212.cif,Model_4814_af3_woUnpaired_af3_seed_701731_sample_2_pred_212.cif,4814,AF3,af3_woUnpaired,701731,2,212,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4814_af3_woUnpaired_af3_seed_701731_sample_2_pred_212.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,143,H2312_all_pdbs/Model_3597_af3_woUnpaired_af3_seed_379931_sample_1_pred_761.cif,Model_3597_af3_woUnpaired_af3_seed_379931_sample_1_pred_761.cif,3597,AF3,af3_woUnpaired,379931,1,761,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_3597_af3_woUnpaired_af3_seed_379931_sample_1_pred_761.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,163,H2312_all_pdbs/Model_4407_af3_woUnpaired_af3_seed_520202_sample_3_pred_643.cif,Model_4407_af3_woUnpaired_af3_seed_520202_sample_3_pred_643.cif,4407,AF3,af3_woUnpaired,520202,3,643,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4407_af3_woUnpaired_af3_seed_520202_sample_3_pred_643.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,172,H2312_all_pdbs/Model_4962_af3_woUnpaired_af3_seed_812959_sample_0_pred_575.cif,Model_4962_af3_woUnpaired_af3_seed_812959_sample_0_pred_575.cif,4962,AF3,af3_woUnpaired,812959,0,575,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4962_af3_woUnpaired_af3_seed_812959_sample_0_pred_575.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,180,H2312_all_pdbs/Model_4387_af3_woUnpaired_af3_seed_236647_sample_3_pred_88.cif,Model_4387_af3_woUnpaired_af3_seed_236647_sample_3_pred_88.cif,4387,AF3,af3_woUnpaired,236647,3,88,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4387_af3_woUnpaired_af3_seed_236647_sample_3_pred_88.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,189,H2312_all_pdbs/Model_4883_af3_woUnpaired_af3_seed_333730_sample_1_pred_491.cif,Model_4883_af3_woUnpaired_af3_seed_333730_sample_1_pred_491.cif,4883,AF3,af3_woUnpaired,333730,1,491,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_4883_af3_woUnpaired_af3_seed_333730_sample_1_pred_491.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
