pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
3,H2312,H2312_T329,2,H2312_all_pdbs/Model_12778_af3_woUnpaired_woPaired_af3_seed_734007_sample_0_pred_670.cif,Model_12778_af3_woUnpaired_woPaired_af3_seed_734007_sample_0_pred_670.cif,12778,AF3,af3_woUnpaired_woPaired,734007,0,670,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12778_af3_woUnpaired_woPaired_af3_seed_734007_sample_0_pred_670.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,19,H2312_all_pdbs/Model_12324_af3_woUnpaired_woPaired_af3_seed_783143_sample_2_pred_242.cif,Model_12324_af3_woUnpaired_woPaired_af3_seed_783143_sample_2_pred_242.cif,12324,AF3,af3_woUnpaired_woPaired,783143,2,242,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12324_af3_woUnpaired_woPaired_af3_seed_783143_sample_2_pred_242.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,41,H2312_all_pdbs/Model_12399_af3_woUnpaired_woPaired_af3_seed_665907_sample_0_pred_475.cif,Model_12399_af3_woUnpaired_woPaired_af3_seed_665907_sample_0_pred_475.cif,12399,AF3,af3_woUnpaired_woPaired,665907,0,475,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12399_af3_woUnpaired_woPaired_af3_seed_665907_sample_0_pred_475.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,64,H2312_all_pdbs/Model_12297_af3_woUnpaired_woPaired_af3_seed_838508_sample_2_pred_77.cif,Model_12297_af3_woUnpaired_woPaired_af3_seed_838508_sample_2_pred_77.cif,12297,AF3,af3_woUnpaired_woPaired,838508,2,77,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12297_af3_woUnpaired_woPaired_af3_seed_838508_sample_2_pred_77.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,86,H2312_all_pdbs/Model_12336_af3_woUnpaired_woPaired_af3_seed_880725_sample_1_pred_291.cif,Model_12336_af3_woUnpaired_woPaired_af3_seed_880725_sample_1_pred_291.cif,12336,AF3,af3_woUnpaired_woPaired,880725,1,291,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12336_af3_woUnpaired_woPaired_af3_seed_880725_sample_1_pred_291.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,89,H2312_all_pdbs/Model_12832_af3_woUnpaired_woPaired_af3_seed_783120_sample_4_pred_129.cif,Model_12832_af3_woUnpaired_woPaired_af3_seed_783120_sample_4_pred_129.cif,12832,AF3,af3_woUnpaired_woPaired,783120,4,129,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12832_af3_woUnpaired_woPaired_af3_seed_783120_sample_4_pred_129.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,96,H2312_all_pdbs/Model_12686_af3_woUnpaired_woPaired_af3_seed_880741_sample_3_pred_373.cif,Model_12686_af3_woUnpaired_woPaired_af3_seed_880741_sample_3_pred_373.cif,12686,AF3,af3_woUnpaired_woPaired,880741,3,373,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12686_af3_woUnpaired_woPaired_af3_seed_880741_sample_3_pred_373.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,108,H2312_all_pdbs/Model_12284_af3_woUnpaired_woPaired_af3_seed_734000_sample_2_pred_637.cif,Model_12284_af3_woUnpaired_woPaired_af3_seed_734000_sample_2_pred_637.cif,12284,AF3,af3_woUnpaired_woPaired,734000,2,637,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12284_af3_woUnpaired_woPaired_af3_seed_734000_sample_2_pred_637.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,116,H2312_all_pdbs/Model_12210_af3_woUnpaired_woPaired_af3_seed_593742_sample_1_pred_901.cif,Model_12210_af3_woUnpaired_woPaired_af3_seed_593742_sample_1_pred_901.cif,12210,AF3,af3_woUnpaired_woPaired,593742,1,901,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12210_af3_woUnpaired_woPaired_af3_seed_593742_sample_1_pred_901.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,132,H2312_all_pdbs/Model_12572_af3_woUnpaired_woPaired_af3_seed_665906_sample_4_pred_474.cif,Model_12572_af3_woUnpaired_woPaired_af3_seed_665906_sample_4_pred_474.cif,12572,AF3,af3_woUnpaired_woPaired,665906,4,474,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12572_af3_woUnpaired_woPaired_af3_seed_665906_sample_4_pred_474.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,136,H2312_all_pdbs/Model_12190_af3_woUnpaired_woPaired_af3_seed_531264_sample_0_pred_835.cif,Model_12190_af3_woUnpaired_woPaired_af3_seed_531264_sample_0_pred_835.cif,12190,AF3,af3_woUnpaired_woPaired,531264,0,835,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12190_af3_woUnpaired_woPaired_af3_seed_531264_sample_0_pred_835.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,141,H2312_all_pdbs/Model_12812_af3_woUnpaired_woPaired_af3_seed_734016_sample_1_pred_716.cif,Model_12812_af3_woUnpaired_woPaired_af3_seed_734016_sample_1_pred_716.cif,12812,AF3,af3_woUnpaired_woPaired,734016,1,716,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12812_af3_woUnpaired_woPaired_af3_seed_734016_sample_1_pred_716.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,149,H2312_all_pdbs/Model_13047_af3_woUnpaired_woPaired_af3_seed_665887_sample_3_pred_378.cif,Model_13047_af3_woUnpaired_woPaired_af3_seed_665887_sample_3_pred_378.cif,13047,AF3,af3_woUnpaired_woPaired,665887,3,378,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_13047_af3_woUnpaired_woPaired_af3_seed_665887_sample_3_pred_378.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,166,H2312_all_pdbs/Model_13091_af3_woUnpaired_woPaired_af3_seed_531268_sample_0_pred_855.cif,Model_13091_af3_woUnpaired_woPaired_af3_seed_531268_sample_0_pred_855.cif,13091,AF3,af3_woUnpaired_woPaired,531268,0,855,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_13091_af3_woUnpaired_woPaired_af3_seed_531268_sample_0_pred_855.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,178,H2312_all_pdbs/Model_12423_af3_woUnpaired_woPaired_af3_seed_531265_sample_4_pred_844.cif,Model_12423_af3_woUnpaired_woPaired_af3_seed_531265_sample_4_pred_844.cif,12423,AF3,af3_woUnpaired_woPaired,531265,4,844,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12423_af3_woUnpaired_woPaired_af3_seed_531265_sample_4_pred_844.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,182,H2312_all_pdbs/Model_12919_af3_woUnpaired_woPaired_af3_seed_734017_sample_4_pred_724.cif,Model_12919_af3_woUnpaired_woPaired_af3_seed_734017_sample_4_pred_724.cif,12919,AF3,af3_woUnpaired_woPaired,734017,4,724,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12919_af3_woUnpaired_woPaired_af3_seed_734017_sample_4_pred_724.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,H2312,H2312_T329,183,H2312_all_pdbs/Model_12489_af3_woUnpaired_woPaired_af3_seed_665905_sample_3_pred_468.cif,Model_12489_af3_woUnpaired_woPaired_af3_seed_665905_sample_3_pred_468.cif,12489,AF3,af3_woUnpaired_woPaired,665905,3,468,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models/H2312_all_pdbs/Model_12489_af3_woUnpaired_woPaired_af3_seed_665905_sample_3_pred_468.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
