pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
7,H2319,H2319_T333,23,H2319_all_pdbs/Model_4038_cf_woTemplates_model_5_multimer_v2_pred_57.pdb,Model_4038_cf_woTemplates_model_5_multimer_v2_pred_57.pdb,4038,CF,cf_woTemplates_multimer_v2,,5,57,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_4038_cf_woTemplates_model_5_multimer_v2_pred_57.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,87,H2319_all_pdbs/Model_3824_cf_woTemplates_model_2_multimer_v2_pred_60.pdb,Model_3824_cf_woTemplates_model_2_multimer_v2_pred_60.pdb,3824,CF,cf_woTemplates_multimer_v2,,2,60,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_3824_cf_woTemplates_model_2_multimer_v2_pred_60.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,89,H2319_all_pdbs/Model_1707_cf_woTemplates_model_3_multimer_v2_pred_14.pdb,Model_1707_cf_woTemplates_model_3_multimer_v2_pred_14.pdb,1707,CF,cf_woTemplates_multimer_v2,,3,14,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_1707_cf_woTemplates_model_3_multimer_v2_pred_14.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,96,H2319_all_pdbs/Model_3725_cf_woTemplates_model_2_multimer_v2_pred_45.pdb,Model_3725_cf_woTemplates_model_2_multimer_v2_pred_45.pdb,3725,CF,cf_woTemplates_multimer_v2,,2,45,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_3725_cf_woTemplates_model_2_multimer_v2_pred_45.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,225,H2319_all_pdbs/Model_2509_cf_woTemplates_model_3_multimer_v2_pred_57.pdb,Model_2509_cf_woTemplates_model_3_multimer_v2_pred_57.pdb,2509,CF,cf_woTemplates_multimer_v2,,3,57,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_2509_cf_woTemplates_model_3_multimer_v2_pred_57.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,341,H2319_all_pdbs/Model_12708_cf_woTemplates_model_3_multimer_v2_pred_32.pdb,Model_12708_cf_woTemplates_model_3_multimer_v2_pred_32.pdb,12708,CF,cf_woTemplates_multimer_v2,,3,32,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_12708_cf_woTemplates_model_3_multimer_v2_pred_32.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,345,H2319_all_pdbs/Model_2918_cf_woTemplates_model_1_multimer_v2_pred_51.pdb,Model_2918_cf_woTemplates_model_1_multimer_v2_pred_51.pdb,2918,CF,cf_woTemplates_multimer_v2,,1,51,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_2918_cf_woTemplates_model_1_multimer_v2_pred_51.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,358,H2319_all_pdbs/Model_3793_cf_woTemplates_model_2_multimer_v2_pred_56.pdb,Model_3793_cf_woTemplates_model_2_multimer_v2_pred_56.pdb,3793,CF,cf_woTemplates_multimer_v2,,2,56,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_3793_cf_woTemplates_model_2_multimer_v2_pred_56.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,413,H2319_all_pdbs/Model_3816_cf_woTemplates_model_2_multimer_v2_pred_44.pdb,Model_3816_cf_woTemplates_model_2_multimer_v2_pred_44.pdb,3816,CF,cf_woTemplates_multimer_v2,,2,44,cf_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_3816_cf_woTemplates_model_2_multimer_v2_pred_44.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
7,H2319,H2319_T333,440,H2319_all_pdbs/Model_1527_cf_woTemplates_model_3_multimer_v2_pred_17.pdb,Model_1527_cf_woTemplates_model_3_multimer_v2_pred_17.pdb,1527,CF,cf_woTemplates_multimer_v2,,3,17,cf_woTemplates_v2,6,True,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_1527_cf_woTemplates_model_3_multimer_v2_pred_17.pdb,extracted,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
