pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
2,H2324,H2324_T328,55,H2324_all_pdbs/Model_6217_af3_basic_af3_seed_534675_sample_1_pred_481.cif,Model_6217_af3_basic_af3_seed_534675_sample_1_pred_481.cif,6217,AF3,af3_basic,534675,1,481,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_6217_af3_basic_af3_seed_534675_sample_1_pred_481.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,123,H2324_all_pdbs/Model_3414_af3_basic_af3_seed_239204_sample_0_pred_695.cif,Model_3414_af3_basic_af3_seed_239204_sample_0_pred_695.cif,3414,AF3,af3_basic,239204,0,695,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_3414_af3_basic_af3_seed_239204_sample_0_pred_695.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,125,H2324_all_pdbs/Model_5847_af3_basic_af3_seed_542335_sample_4_pred_274.cif,Model_5847_af3_basic_af3_seed_542335_sample_4_pred_274.cif,5847,AF3,af3_basic,542335,4,274,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_5847_af3_basic_af3_seed_542335_sample_4_pred_274.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,134,H2324_all_pdbs/Model_4818_af3_basic_af3_seed_542349_sample_0_pred_340.cif,Model_4818_af3_basic_af3_seed_542349_sample_0_pred_340.cif,4818,AF3,af3_basic,542349,0,340,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_4818_af3_basic_af3_seed_542349_sample_0_pred_340.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,149,H2324_all_pdbs/Model_6636_af3_basic_af3_seed_542345_sample_2_pred_322.cif,Model_6636_af3_basic_af3_seed_542345_sample_2_pred_322.cif,6636,AF3,af3_basic,542345,2,322,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_6636_af3_basic_af3_seed_542345_sample_2_pred_322.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,155,H2324_all_pdbs/Model_3557_af3_basic_af3_seed_69588_sample_4_pred_164.cif,Model_3557_af3_basic_af3_seed_69588_sample_4_pred_164.cif,3557,AF3,af3_basic,69588,4,164,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_3557_af3_basic_af3_seed_69588_sample_4_pred_164.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,210,H2324_all_pdbs/Model_6915_af3_basic_af3_seed_542354_sample_4_pred_369.cif,Model_6915_af3_basic_af3_seed_542354_sample_4_pred_369.cif,6915,AF3,af3_basic,542354,4,369,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_6915_af3_basic_af3_seed_542354_sample_4_pred_369.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,212,H2324_all_pdbs/Model_3305_af3_basic_af3_seed_981518_sample_3_pred_868.cif,Model_3305_af3_basic_af3_seed_981518_sample_3_pred_868.cif,3305,AF3,af3_basic,981518,3,868,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_3305_af3_basic_af3_seed_981518_sample_3_pred_868.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,230,H2324_all_pdbs/Model_8658_af3_basic_af3_seed_69602_sample_3_pred_233.cif,Model_8658_af3_basic_af3_seed_69602_sample_3_pred_233.cif,8658,AF3,af3_basic,69602,3,233,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_8658_af3_basic_af3_seed_69602_sample_3_pred_233.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,H2324,H2324_T328,246,H2324_all_pdbs/Model_6200_af3_basic_af3_seed_436735_sample_4_pred_529.cif,Model_6200_af3_basic_af3_seed_436735_sample_4_pred_529.cif,6200,AF3,af3_basic,436735,4,529,basic,,False,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models/H2324_all_pdbs/Model_6200_af3_basic_af3_seed_436735_sample_4_pred_529.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
