pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
9,H2335,H2335_T335,6,H2335_all_pdbs/Model_8024_af3_woTemplates_af3_seed_806906_sample_1_pred_871.cif,Model_8024_af3_woTemplates_af3_seed_806906_sample_1_pred_871.cif,8024,AF3,af3_woTemplates,806906,1,871,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_8024_af3_woTemplates_af3_seed_806906_sample_1_pred_871.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,23,H2335_all_pdbs/Model_6528_af3_woTemplates_af3_seed_705267_sample_1_pred_451.cif,Model_6528_af3_woTemplates_af3_seed_705267_sample_1_pred_451.cif,6528,AF3,af3_woTemplates,705267,1,451,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_6528_af3_woTemplates_af3_seed_705267_sample_1_pred_451.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,29,H2335_all_pdbs/Model_6562_af3_woTemplates_af3_seed_567910_sample_2_pred_137.cif,Model_6562_af3_woTemplates_af3_seed_567910_sample_2_pred_137.cif,6562,AF3,af3_woTemplates,567910,2,137,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_6562_af3_woTemplates_af3_seed_567910_sample_2_pred_137.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,36,H2335_all_pdbs/Model_7496_af3_woTemplates_af3_seed_806897_sample_4_pred_829.cif,Model_7496_af3_woTemplates_af3_seed_806897_sample_4_pred_829.cif,7496,AF3,af3_woTemplates,806897,4,829,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_7496_af3_woTemplates_af3_seed_806897_sample_4_pred_829.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,60,H2335_all_pdbs/Model_7503_af3_woTemplates_af3_seed_567927_sample_0_pred_220.cif,Model_7503_af3_woTemplates_af3_seed_567927_sample_0_pred_220.cif,7503,AF3,af3_woTemplates,567927,0,220,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_7503_af3_woTemplates_af3_seed_567927_sample_0_pred_220.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,68,H2335_all_pdbs/Model_6513_af3_woTemplates_af3_seed_578928_sample_2_pred_902.cif,Model_6513_af3_woTemplates_af3_seed_578928_sample_2_pred_902.cif,6513,AF3,af3_woTemplates,578928,2,902,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_6513_af3_woTemplates_af3_seed_578928_sample_2_pred_902.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,95,H2335_all_pdbs/Model_6849_af3_woTemplates_af3_seed_705276_sample_3_pred_498.cif,Model_6849_af3_woTemplates_af3_seed_705276_sample_3_pred_498.cif,6849,AF3,af3_woTemplates,705276,3,498,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_6849_af3_woTemplates_af3_seed_705276_sample_3_pred_498.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,101,H2335_all_pdbs/Model_12812_af3_woTemplates_af3_seed_806890_sample_1_pred_791.cif,Model_12812_af3_woTemplates_af3_seed_806890_sample_1_pred_791.cif,12812,AF3,af3_woTemplates,806890,1,791,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_12812_af3_woTemplates_af3_seed_806890_sample_1_pred_791.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,110,H2335_all_pdbs/Model_5592_af3_woTemplates_af3_seed_873996_sample_1_pred_56.cif,Model_5592_af3_woTemplates_af3_seed_873996_sample_1_pred_56.cif,5592,AF3,af3_woTemplates,873996,1,56,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_5592_af3_woTemplates_af3_seed_873996_sample_1_pred_56.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,122,H2335_all_pdbs/Model_7248_af3_woTemplates_af3_seed_806894_sample_3_pred_813.cif,Model_7248_af3_woTemplates_af3_seed_806894_sample_3_pred_813.cif,7248,AF3,af3_woTemplates,806894,3,813,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_7248_af3_woTemplates_af3_seed_806894_sample_3_pred_813.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,125,H2335_all_pdbs/Model_7379_af3_woTemplates_af3_seed_806887_sample_3_pred_778.cif,Model_7379_af3_woTemplates_af3_seed_806887_sample_3_pred_778.cif,7379,AF3,af3_woTemplates,806887,3,778,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_7379_af3_woTemplates_af3_seed_806887_sample_3_pred_778.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,215,H2335_all_pdbs/Model_12848_af3_woTemplates_af3_seed_806890_sample_3_pred_793.cif,Model_12848_af3_woTemplates_af3_seed_806890_sample_3_pred_793.cif,12848,AF3,af3_woTemplates,806890,3,793,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_12848_af3_woTemplates_af3_seed_806890_sample_3_pred_793.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
9,H2335,H2335_T335,239,H2335_all_pdbs/Model_6413_af3_woTemplates_af3_seed_976845_sample_4_pred_354.cif,Model_6413_af3_woTemplates_af3_seed_976845_sample_4_pred_354.cif,6413,AF3,af3_woTemplates,976845,4,354,woTemplates,,False,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models/H2335_all_pdbs/Model_6413_af3_woTemplates_af3_seed_976845_sample_4_pred_354.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
