pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
5,H2338,H2338_T331,14,H2338_all_pdbs/Model_12236_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_21.pdb,Model_12236_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_21.pdb,12236,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,21,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_12236_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_21.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,24,H2338_all_pdbs/Model_12506_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_50.pdb,Model_12506_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_50.pdb,12506,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,50,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_12506_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_50.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,40,H2338_all_pdbs/Model_10093_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_9.pdb,Model_10093_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_9.pdb,10093,AFM,afm_dropout_04_woTemplates_multimer_v2,,2,9,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10093_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_9.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,47,H2338_all_pdbs/Model_13124_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_65.pdb,Model_13124_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_65.pdb,13124,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,65,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_13124_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_65.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,57,H2338_all_pdbs/Model_11981_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_26.pdb,Model_11981_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_26.pdb,11981,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,26,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_11981_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_26.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,107,H2338_all_pdbs/Model_11964_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_66.pdb,Model_11964_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_66.pdb,11964,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,66,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_11964_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_66.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,140,H2338_all_pdbs/Model_10275_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_37.pdb,Model_10275_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_37.pdb,10275,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,37,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10275_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_37.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,157,H2338_all_pdbs/Model_10752_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_47.pdb,Model_10752_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_47.pdb,10752,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,47,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10752_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_47.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,266,H2338_all_pdbs/Model_8147_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_19.pdb,Model_8147_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_19.pdb,8147,AFM,afm_dropout_04_woTemplates_multimer_v2,,2,19,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_8147_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_19.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,290,H2338_all_pdbs/Model_8299_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_37.pdb,Model_8299_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_37.pdb,8299,AFM,afm_dropout_04_woTemplates_multimer_v2,,2,37,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_8299_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_37.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,388,H2338_all_pdbs/Model_7948_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_18.pdb,Model_7948_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_18.pdb,7948,AFM,afm_dropout_04_woTemplates_multimer_v2,,2,18,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_7948_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_18.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,427,H2338_all_pdbs/Model_7323_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_62.pdb,Model_7323_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_62.pdb,7323,AFM,afm_dropout_04_woTemplates_multimer_v2,,1,62,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_7323_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_62.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,442,H2338_all_pdbs/Model_10148_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_3.pdb,Model_10148_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_3.pdb,10148,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,3,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10148_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_3.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,475,H2338_all_pdbs/Model_11590_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_47.pdb,Model_11590_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_47.pdb,11590,AFM,afm_dropout_04_woTemplates_multimer_v2,,1,47,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_11590_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_47.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,496,H2338_all_pdbs/Model_10191_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_10.pdb,Model_10191_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_10.pdb,10191,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,10,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10191_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_10.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,553,H2338_all_pdbs/Model_8145_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_1.pdb,Model_8145_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_1.pdb,8145,AFM,afm_dropout_04_woTemplates_multimer_v2,,5,1,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_8145_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_1.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,606,H2338_all_pdbs/Model_12908_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_62.pdb,Model_12908_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_62.pdb,12908,AFM,afm_dropout_04_woTemplates_multimer_v2,,2,62,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_12908_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_62.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,623,H2338_all_pdbs/Model_6036_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_49.pdb,Model_6036_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_49.pdb,6036,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,49,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_6036_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_49.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,706,H2338_all_pdbs/Model_5107_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_45.pdb,Model_5107_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_45.pdb,5107,AFM,afm_dropout_04_woTemplates_multimer_v2,,5,45,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_5107_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_45.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,723,H2338_all_pdbs/Model_10870_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_32.pdb,Model_10870_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_32.pdb,10870,AFM,afm_dropout_04_woTemplates_multimer_v2,,1,32,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10870_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_32.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,797,H2338_all_pdbs/Model_10930_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_34.pdb,Model_10930_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_34.pdb,10930,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,34,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_10930_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_34.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,810,H2338_all_pdbs/Model_11186_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_58.pdb,Model_11186_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_58.pdb,11186,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,58,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_11186_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_58.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,820,H2338_all_pdbs/Model_7946_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_55.pdb,Model_7946_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_55.pdb,7946,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,55,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_7946_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_55.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,H2338,H2338_T331,841,H2338_all_pdbs/Model_12172_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_55.pdb,Model_12172_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_55.pdb,12172,AFM,afm_dropout_04_woTemplates_multimer_v2,,5,55,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models/H2338_all_pdbs/Model_12172_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_55.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
