pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
1,R2341,R2341,12,R2341_all_cifs/Model_1297_af3_woUnpaired_af3_seed_376430_sample_1_pred_331.cif,Model_1297_af3_woUnpaired_af3_seed_376430_sample_1_pred_331.cif,1297,AF3,af3_woUnpaired,376430,1,331,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_1297_af3_woUnpaired_af3_seed_376430_sample_1_pred_331.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,15,R2341_all_cifs/Model_4934_af3_woUnpaired_af3_seed_694928_sample_4_pred_504.cif,Model_4934_af3_woUnpaired_af3_seed_694928_sample_4_pred_504.cif,4934,AF3,af3_woUnpaired,694928,4,504,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_4934_af3_woUnpaired_af3_seed_694928_sample_4_pred_504.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,34,R2341_all_cifs/Model_6447_af3_woUnpaired_af3_seed_362339_sample_4_pred_394.cif,Model_6447_af3_woUnpaired_af3_seed_362339_sample_4_pred_394.cif,6447,AF3,af3_woUnpaired,362339,4,394,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_6447_af3_woUnpaired_af3_seed_362339_sample_4_pred_394.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,35,R2341_all_cifs/Model_3775_af3_woUnpaired_af3_seed_243811_sample_4_pred_704.cif,Model_3775_af3_woUnpaired_af3_seed_243811_sample_4_pred_704.cif,3775,AF3,af3_woUnpaired,243811,4,704,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_3775_af3_woUnpaired_af3_seed_243811_sample_4_pred_704.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,36,R2341_all_cifs/Model_6071_af3_woUnpaired_af3_seed_376423_sample_3_pred_298.cif,Model_6071_af3_woUnpaired_af3_seed_376423_sample_3_pred_298.cif,6071,AF3,af3_woUnpaired,376423,3,298,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_6071_af3_woUnpaired_af3_seed_376423_sample_3_pred_298.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,46,R2341_all_cifs/Model_5703_af3_woUnpaired_af3_seed_257156_sample_4_pred_14.cif,Model_5703_af3_woUnpaired_af3_seed_257156_sample_4_pred_14.cif,5703,AF3,af3_woUnpaired,257156,4,14,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_5703_af3_woUnpaired_af3_seed_257156_sample_4_pred_14.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,61,R2341_all_cifs/Model_7576_af3_woUnpaired_af3_seed_914472_sample_2_pred_192.cif,Model_7576_af3_woUnpaired_af3_seed_914472_sample_2_pred_192.cif,7576,AF3,af3_woUnpaired,914472,2,192,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_7576_af3_woUnpaired_af3_seed_914472_sample_2_pred_192.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,83,R2341_all_cifs/Model_4522_af3_woUnpaired_af3_seed_694932_sample_4_pred_524.cif,Model_4522_af3_woUnpaired_af3_seed_694932_sample_4_pred_524.cif,4522,AF3,af3_woUnpaired,694932,4,524,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_4522_af3_woUnpaired_af3_seed_694932_sample_4_pred_524.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,90,R2341_all_cifs/Model_3020_af3_woUnpaired_af3_seed_512142_sample_3_pred_868.cif,Model_3020_af3_woUnpaired_af3_seed_512142_sample_3_pred_868.cif,3020,AF3,af3_woUnpaired,512142,3,868,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_3020_af3_woUnpaired_af3_seed_512142_sample_3_pred_868.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
1,R2341,R2341,135,R2341_all_cifs/Model_3124_af3_woUnpaired_af3_seed_362356_sample_3_pred_478.cif,Model_3124_af3_woUnpaired_af3_seed_362356_sample_3_pred_478.cif,3124,AF3,af3_woUnpaired,362356,3,478,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2341/extracted_models/R2341_all_cifs/Model_3124_af3_woUnpaired_af3_seed_362356_sample_3_pred_478.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
