pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
2,R2345,R2345,2,R2345_all_cifs/Model_6825_af3_woPaired_af3_seed_59050_sample_4_pred_29.cif,Model_6825_af3_woPaired_af3_seed_59050_sample_4_pred_29.cif,6825,AF3,af3_woPaired,59050,4,29,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_6825_af3_woPaired_af3_seed_59050_sample_4_pred_29.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,15,R2345_all_cifs/Model_4486_af3_woPaired_af3_seed_220483_sample_1_pred_956.cif,Model_4486_af3_woPaired_af3_seed_220483_sample_1_pred_956.cif,4486,AF3,af3_woPaired,220483,1,956,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_4486_af3_woPaired_af3_seed_220483_sample_1_pred_956.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,20,R2345_all_cifs/Model_3338_af3_woPaired_af3_seed_950572_sample_4_pred_644.cif,Model_3338_af3_woPaired_af3_seed_950572_sample_4_pred_644.cif,3338,AF3,af3_woPaired,950572,4,644,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_3338_af3_woPaired_af3_seed_950572_sample_4_pred_644.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,21,R2345_all_cifs/Model_7987_af3_woPaired_af3_seed_956937_sample_0_pred_380.cif,Model_7987_af3_woPaired_af3_seed_956937_sample_0_pred_380.cif,7987,AF3,af3_woPaired,956937,0,380,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_7987_af3_woPaired_af3_seed_956937_sample_0_pred_380.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,33,R2345_all_cifs/Model_5987_af3_woPaired_af3_seed_950587_sample_3_pred_718.cif,Model_5987_af3_woPaired_af3_seed_950587_sample_3_pred_718.cif,5987,AF3,af3_woPaired,950587,3,718,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_5987_af3_woPaired_af3_seed_950587_sample_3_pred_718.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,38,R2345_all_cifs/Model_1948_af3_woPaired_af3_seed_59053_sample_2_pred_42.cif,Model_1948_af3_woPaired_af3_seed_59053_sample_2_pred_42.cif,1948,AF3,af3_woPaired,59053,2,42,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_1948_af3_woPaired_af3_seed_59053_sample_2_pred_42.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,40,R2345_all_cifs/Model_7635_af3_woPaired_af3_seed_580541_sample_4_pred_134.cif,Model_7635_af3_woPaired_af3_seed_580541_sample_4_pred_134.cif,7635,AF3,af3_woPaired,580541,4,134,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_7635_af3_woPaired_af3_seed_580541_sample_4_pred_134.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,43,R2345_all_cifs/Model_4022_af3_woPaired_af3_seed_326056_sample_3_pred_863.cif,Model_4022_af3_woPaired_af3_seed_326056_sample_3_pred_863.cif,4022,AF3,af3_woPaired,326056,3,863,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_4022_af3_woPaired_af3_seed_326056_sample_3_pred_863.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,45,R2345_all_cifs/Model_193_af3_woPaired_af3_seed_580550_sample_3_pred_178.cif,Model_193_af3_woPaired_af3_seed_580550_sample_3_pred_178.cif,193,AF3,af3_woPaired,580550,3,178,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_193_af3_woPaired_af3_seed_580550_sample_3_pred_178.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
2,R2345,R2345,54,R2345_all_cifs/Model_3111_af3_woPaired_af3_seed_247990_sample_4_pred_559.cif,Model_3111_af3_woPaired_af3_seed_247990_sample_4_pred_559.cif,3111,AF3,af3_woPaired,247990,4,559,woPaired,,False,casp17/massivefold_external_pool_intake/r2345/extracted_models/R2345_all_cifs/Model_3111_af3_woPaired_af3_seed_247990_sample_4_pred_559.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
