pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
3,R2350,R2350,27,R2350_all_cifs/Model_2962_af3_basic_af3_seed_170899_sample_1_pred_756.cif,Model_2962_af3_basic_af3_seed_170899_sample_1_pred_756.cif,2962,AF3,af3_basic,170899,1,756,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_2962_af3_basic_af3_seed_170899_sample_1_pred_756.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,28,R2350_all_cifs/Model_600_af3_basic_af3_seed_549969_sample_1_pred_386.cif,Model_600_af3_basic_af3_seed_549969_sample_1_pred_386.cif,600,AF3,af3_basic,549969,1,386,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_600_af3_basic_af3_seed_549969_sample_1_pred_386.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,30,R2350_all_cifs/Model_2989_af3_basic_af3_seed_170909_sample_4_pred_809.cif,Model_2989_af3_basic_af3_seed_170909_sample_4_pred_809.cif,2989,AF3,af3_basic,170909,4,809,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_2989_af3_basic_af3_seed_170909_sample_4_pred_809.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,40,R2350_all_cifs/Model_7788_af3_basic_af3_seed_170903_sample_4_pred_779.cif,Model_7788_af3_basic_af3_seed_170903_sample_4_pred_779.cif,7788,AF3,af3_basic,170903,4,779,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_7788_af3_basic_af3_seed_170903_sample_4_pred_779.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,52,R2350_all_cifs/Model_311_af3_basic_af3_seed_988561_sample_4_pred_359.cif,Model_311_af3_basic_af3_seed_988561_sample_4_pred_359.cif,311,AF3,af3_basic,988561,4,359,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_311_af3_basic_af3_seed_988561_sample_4_pred_359.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,59,R2350_all_cifs/Model_2855_af3_basic_af3_seed_842627_sample_3_pred_553.cif,Model_2855_af3_basic_af3_seed_842627_sample_3_pred_553.cif,2855,AF3,af3_basic,842627,3,553,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_2855_af3_basic_af3_seed_842627_sample_3_pred_553.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,71,R2350_all_cifs/Model_5124_af3_basic_af3_seed_842620_sample_4_pred_519.cif,Model_5124_af3_basic_af3_seed_842620_sample_4_pred_519.cif,5124,AF3,af3_basic,842620,4,519,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_5124_af3_basic_af3_seed_842620_sample_4_pred_519.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,88,R2350_all_cifs/Model_6401_af3_basic_af3_seed_953550_sample_1_pred_661.cif,Model_6401_af3_basic_af3_seed_953550_sample_1_pred_661.cif,6401,AF3,af3_basic,953550,1,661,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_6401_af3_basic_af3_seed_953550_sample_1_pred_661.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,93,R2350_all_cifs/Model_4326_af3_basic_af3_seed_596706_sample_3_pred_918.cif,Model_4326_af3_basic_af3_seed_596706_sample_3_pred_918.cif,4326,AF3,af3_basic,596706,3,918,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_4326_af3_basic_af3_seed_596706_sample_3_pred_918.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,98,R2350_all_cifs/Model_765_af3_basic_af3_seed_596704_sample_3_pred_908.cif,Model_765_af3_basic_af3_seed_596704_sample_3_pred_908.cif,765,AF3,af3_basic,596704,3,908,basic,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_765_af3_basic_af3_seed_596704_sample_3_pred_908.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
