pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
3,R2350,R2350,3,R2350_all_cifs/Model_4328_af3_woTemplates_af3_seed_916708_sample_4_pred_819.cif,Model_4328_af3_woTemplates_af3_seed_916708_sample_4_pred_819.cif,4328,AF3,af3_woTemplates,916708,4,819,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_4328_af3_woTemplates_af3_seed_916708_sample_4_pred_819.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,17,R2350_all_cifs/Model_859_af3_woTemplates_af3_seed_79023_sample_4_pred_104.cif,Model_859_af3_woTemplates_af3_seed_79023_sample_4_pred_104.cif,859,AF3,af3_woTemplates,79023,4,104,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_859_af3_woTemplates_af3_seed_79023_sample_4_pred_104.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,18,R2350_all_cifs/Model_3516_af3_woTemplates_af3_seed_916713_sample_1_pred_841.cif,Model_3516_af3_woTemplates_af3_seed_916713_sample_1_pred_841.cif,3516,AF3,af3_woTemplates,916713,1,841,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_3516_af3_woTemplates_af3_seed_916713_sample_1_pred_841.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,23,R2350_all_cifs/Model_2273_af3_woTemplates_af3_seed_873909_sample_1_pred_721.cif,Model_2273_af3_woTemplates_af3_seed_873909_sample_1_pred_721.cif,2273,AF3,af3_woTemplates,873909,1,721,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_2273_af3_woTemplates_af3_seed_873909_sample_1_pred_721.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,24,R2350_all_cifs/Model_6923_af3_woTemplates_af3_seed_783190_sample_3_pred_158.cif,Model_6923_af3_woTemplates_af3_seed_783190_sample_3_pred_158.cif,6923,AF3,af3_woTemplates,783190,3,158,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_6923_af3_woTemplates_af3_seed_783190_sample_3_pred_158.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,41,R2350_all_cifs/Model_4960_af3_woTemplates_af3_seed_916718_sample_0_pred_865.cif,Model_4960_af3_woTemplates_af3_seed_916718_sample_0_pred_865.cif,4960,AF3,af3_woTemplates,916718,0,865,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_4960_af3_woTemplates_af3_seed_916718_sample_0_pred_865.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,54,R2350_all_cifs/Model_5958_af3_woTemplates_af3_seed_916719_sample_2_pred_872.cif,Model_5958_af3_woTemplates_af3_seed_916719_sample_2_pred_872.cif,5958,AF3,af3_woTemplates,916719,2,872,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_5958_af3_woTemplates_af3_seed_916719_sample_2_pred_872.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,60,R2350_all_cifs/Model_3396_af3_woTemplates_af3_seed_923254_sample_1_pred_471.cif,Model_3396_af3_woTemplates_af3_seed_923254_sample_1_pred_471.cif,3396,AF3,af3_woTemplates,923254,1,471,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_3396_af3_woTemplates_af3_seed_923254_sample_1_pred_471.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,61,R2350_all_cifs/Model_5296_af3_woTemplates_af3_seed_859373_sample_1_pred_261.cif,Model_5296_af3_woTemplates_af3_seed_859373_sample_1_pred_261.cif,5296,AF3,af3_woTemplates,859373,1,261,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_5296_af3_woTemplates_af3_seed_859373_sample_1_pred_261.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
3,R2350,R2350,63,R2350_all_cifs/Model_2157_af3_woTemplates_af3_seed_859379_sample_3_pred_293.cif,Model_2157_af3_woTemplates_af3_seed_859379_sample_3_pred_293.cif,2157,AF3,af3_woTemplates,859379,3,293,woTemplates,,False,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_2157_af3_woTemplates_af3_seed_859379_sample_3_pred_293.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
