pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
5,R2352,R2352,1,./R2352_all_cifs/Model_1250_af3_woPaired_woTemplates_af3_seed_75215_sample_1_pred_536.cif,Model_1250_af3_woPaired_woTemplates_af3_seed_75215_sample_1_pred_536.cif,1250,AF3,af3_woPaired_woTemplates,75215,1,536,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_1250_af3_woPaired_woTemplates_af3_seed_75215_sample_1_pred_536.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,9,./R2352_all_cifs/Model_6108_af3_woPaired_woTemplates_af3_seed_365631_sample_3_pred_288.cif,Model_6108_af3_woPaired_woTemplates_af3_seed_365631_sample_3_pred_288.cif,6108,AF3,af3_woPaired_woTemplates,365631,3,288,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_6108_af3_woPaired_woTemplates_af3_seed_365631_sample_3_pred_288.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,11,./R2352_all_cifs/Model_6813_af3_woPaired_woTemplates_af3_seed_46911_sample_4_pred_424.cif,Model_6813_af3_woPaired_woTemplates_af3_seed_46911_sample_4_pred_424.cif,6813,AF3,af3_woPaired_woTemplates,46911,4,424,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_6813_af3_woPaired_woTemplates_af3_seed_46911_sample_4_pred_424.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,20,./R2352_all_cifs/Model_311_af3_woPaired_woTemplates_af3_seed_365625_sample_3_pred_258.cif,Model_311_af3_woPaired_woTemplates_af3_seed_365625_sample_3_pred_258.cif,311,AF3,af3_woPaired_woTemplates,365625,3,258,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_311_af3_woPaired_woTemplates_af3_seed_365625_sample_3_pred_258.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,22,./R2352_all_cifs/Model_5991_af3_woPaired_woTemplates_af3_seed_26365_sample_4_pred_134.cif,Model_5991_af3_woPaired_woTemplates_af3_seed_26365_sample_4_pred_134.cif,5991,AF3,af3_woPaired_woTemplates,26365,4,134,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_5991_af3_woPaired_woTemplates_af3_seed_26365_sample_4_pred_134.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,23,./R2352_all_cifs/Model_1999_af3_woPaired_woTemplates_af3_seed_365644_sample_0_pred_350.cif,Model_1999_af3_woPaired_woTemplates_af3_seed_365644_sample_0_pred_350.cif,1999,AF3,af3_woPaired_woTemplates,365644,0,350,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_1999_af3_woPaired_woTemplates_af3_seed_365644_sample_0_pred_350.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,39,./R2352_all_cifs/Model_370_af3_woPaired_woTemplates_af3_seed_75224_sample_0_pred_580.cif,Model_370_af3_woPaired_woTemplates_af3_seed_75224_sample_0_pred_580.cif,370,AF3,af3_woPaired_woTemplates,75224,0,580,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_370_af3_woPaired_woTemplates_af3_seed_75224_sample_0_pred_580.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,43,./R2352_all_cifs/Model_7644_af3_woPaired_woTemplates_af3_seed_172060_sample_3_pred_708.cif,Model_7644_af3_woPaired_woTemplates_af3_seed_172060_sample_3_pred_708.cif,7644,AF3,af3_woPaired_woTemplates,172060,3,708,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_7644_af3_woPaired_woTemplates_af3_seed_172060_sample_3_pred_708.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,51,./R2352_all_cifs/Model_7645_af3_woPaired_woTemplates_af3_seed_172052_sample_0_pred_665.cif,Model_7645_af3_woPaired_woTemplates_af3_seed_172052_sample_0_pred_665.cif,7645,AF3,af3_woPaired_woTemplates,172052,0,665,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_7645_af3_woPaired_woTemplates_af3_seed_172052_sample_0_pred_665.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
5,R2352,R2352,57,./R2352_all_cifs/Model_2966_af3_woPaired_woTemplates_af3_seed_243128_sample_3_pred_913.cif,Model_2966_af3_woPaired_woTemplates_af3_seed_243128_sample_3_pred_913.cif,2966,AF3,af3_woPaired_woTemplates,243128,3,913,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2352/extracted_models/R2352_all_cifs/Model_2966_af3_woPaired_woTemplates_af3_seed_243128_sample_3_pred_913.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
