pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
6,R2353,R2353,29,./R2353_all_cifs/Model_470_af3_woUnpaired_woPaired_af3_seed_867716_sample_4_pred_364.cif,Model_470_af3_woUnpaired_woPaired_af3_seed_867716_sample_4_pred_364.cif,470,AF3,af3_woUnpaired_woPaired,867716,4,364,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_470_af3_woUnpaired_woPaired_af3_seed_867716_sample_4_pred_364.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,32,./R2353_all_cifs/Model_6563_af3_woUnpaired_woPaired_af3_seed_488211_sample_1_pred_471.cif,Model_6563_af3_woUnpaired_woPaired_af3_seed_488211_sample_1_pred_471.cif,6563,AF3,af3_woUnpaired_woPaired,488211,1,471,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_6563_af3_woUnpaired_woPaired_af3_seed_488211_sample_1_pred_471.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,41,./R2353_all_cifs/Model_754_af3_woUnpaired_woPaired_af3_seed_90053_sample_2_pred_772.cif,Model_754_af3_woUnpaired_woPaired_af3_seed_90053_sample_2_pred_772.cif,754,AF3,af3_woUnpaired_woPaired,90053,2,772,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_754_af3_woUnpaired_woPaired_af3_seed_90053_sample_2_pred_772.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,48,./R2353_all_cifs/Model_5639_af3_woUnpaired_woPaired_af3_seed_488192_sample_0_pred_375.cif,Model_5639_af3_woUnpaired_woPaired_af3_seed_488192_sample_0_pred_375.cif,5639,AF3,af3_woUnpaired_woPaired,488192,0,375,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_5639_af3_woUnpaired_woPaired_af3_seed_488192_sample_0_pred_375.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,53,./R2353_all_cifs/Model_4847_af3_woUnpaired_woPaired_af3_seed_621110_sample_0_pred_150.cif,Model_4847_af3_woUnpaired_woPaired_af3_seed_621110_sample_0_pred_150.cif,4847,AF3,af3_woUnpaired_woPaired,621110,0,150,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_4847_af3_woUnpaired_woPaired_af3_seed_621110_sample_0_pred_150.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,59,./R2353_all_cifs/Model_7252_af3_woUnpaired_woPaired_af3_seed_90065_sample_0_pred_830.cif,Model_7252_af3_woUnpaired_woPaired_af3_seed_90065_sample_0_pred_830.cif,7252,AF3,af3_woUnpaired_woPaired,90065,0,830,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7252_af3_woUnpaired_woPaired_af3_seed_90065_sample_0_pred_830.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,65,./R2353_all_cifs/Model_4352_af3_woUnpaired_woPaired_af3_seed_621124_sample_2_pred_222.cif,Model_4352_af3_woUnpaired_woPaired_af3_seed_621124_sample_2_pred_222.cif,4352,AF3,af3_woUnpaired_woPaired,621124,2,222,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_4352_af3_woUnpaired_woPaired_af3_seed_621124_sample_2_pred_222.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,78,./R2353_all_cifs/Model_5981_af3_woUnpaired_woPaired_af3_seed_621107_sample_1_pred_136.cif,Model_5981_af3_woUnpaired_woPaired_af3_seed_621107_sample_1_pred_136.cif,5981,AF3,af3_woUnpaired_woPaired,621107,1,136,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_5981_af3_woUnpaired_woPaired_af3_seed_621107_sample_1_pred_136.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,79,./R2353_all_cifs/Model_4992_af3_woUnpaired_woPaired_af3_seed_216745_sample_4_pred_924.cif,Model_4992_af3_woUnpaired_woPaired_af3_seed_216745_sample_4_pred_924.cif,4992,AF3,af3_woUnpaired_woPaired,216745,4,924,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_4992_af3_woUnpaired_woPaired_af3_seed_216745_sample_4_pred_924.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,86,./R2353_all_cifs/Model_7983_af3_woUnpaired_woPaired_af3_seed_185071_sample_3_pred_643.cif,Model_7983_af3_woUnpaired_woPaired_af3_seed_185071_sample_3_pred_643.cif,7983,AF3,af3_woUnpaired_woPaired,185071,3,643,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7983_af3_woUnpaired_woPaired_af3_seed_185071_sample_3_pred_643.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,106,./R2353_all_cifs/Model_2240_af3_woUnpaired_woPaired_af3_seed_185068_sample_3_pred_628.cif,Model_2240_af3_woUnpaired_woPaired_af3_seed_185068_sample_3_pred_628.cif,2240,AF3,af3_woUnpaired_woPaired,185068,3,628,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_2240_af3_woUnpaired_woPaired_af3_seed_185068_sample_3_pred_628.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,107,./R2353_all_cifs/Model_4360_af3_woUnpaired_woPaired_af3_seed_488196_sample_4_pred_399.cif,Model_4360_af3_woUnpaired_woPaired_af3_seed_488196_sample_4_pred_399.cif,4360,AF3,af3_woUnpaired_woPaired,488196,4,399,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_4360_af3_woUnpaired_woPaired_af3_seed_488196_sample_4_pred_399.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,121,./R2353_all_cifs/Model_1854_af3_woUnpaired_woPaired_af3_seed_488202_sample_1_pred_426.cif,Model_1854_af3_woUnpaired_woPaired_af3_seed_488202_sample_1_pred_426.cif,1854,AF3,af3_woUnpaired_woPaired,488202,1,426,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_1854_af3_woUnpaired_woPaired_af3_seed_488202_sample_1_pred_426.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,124,./R2353_all_cifs/Model_31_af3_woUnpaired_woPaired_af3_seed_216749_sample_4_pred_944.cif,Model_31_af3_woUnpaired_woPaired_af3_seed_216749_sample_4_pred_944.cif,31,AF3,af3_woUnpaired_woPaired,216749,4,944,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_31_af3_woUnpaired_woPaired_af3_seed_216749_sample_4_pred_944.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,130,./R2353_all_cifs/Model_4559_af3_woUnpaired_woPaired_af3_seed_216752_sample_4_pred_959.cif,Model_4559_af3_woUnpaired_woPaired_af3_seed_216752_sample_4_pred_959.cif,4559,AF3,af3_woUnpaired_woPaired,216752,4,959,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_4559_af3_woUnpaired_woPaired_af3_seed_216752_sample_4_pred_959.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
