pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
6,R2353,R2353,19,./R2353_all_cifs/Model_3811_af3_woUnpaired_woPaired_woTemplates_af3_seed_499496_sample_0_pred_340.cif,Model_3811_af3_woUnpaired_woPaired_woTemplates_af3_seed_499496_sample_0_pred_340.cif,3811,AF3,af3_woUnpaired_woPaired_woTemplates,499496,0,340,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_3811_af3_woUnpaired_woPaired_woTemplates_af3_seed_499496_sample_0_pred_340.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,22,./R2353_all_cifs/Model_135_af3_woUnpaired_woPaired_woTemplates_af3_seed_813690_sample_0_pred_850.cif,Model_135_af3_woUnpaired_woPaired_woTemplates_af3_seed_813690_sample_0_pred_850.cif,135,AF3,af3_woUnpaired_woPaired_woTemplates,813690,0,850,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_135_af3_woUnpaired_woPaired_woTemplates_af3_seed_813690_sample_0_pred_850.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,30,./R2353_all_cifs/Model_970_af3_woUnpaired_woPaired_woTemplates_af3_seed_813682_sample_3_pred_813.cif,Model_970_af3_woUnpaired_woPaired_woTemplates_af3_seed_813682_sample_3_pred_813.cif,970,AF3,af3_woUnpaired_woPaired_woTemplates,813682,3,813,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_970_af3_woUnpaired_woPaired_woTemplates_af3_seed_813682_sample_3_pred_813.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,31,./R2353_all_cifs/Model_93_af3_woUnpaired_woPaired_woTemplates_af3_seed_499499_sample_0_pred_355.cif,Model_93_af3_woUnpaired_woPaired_woTemplates_af3_seed_499499_sample_0_pred_355.cif,93,AF3,af3_woUnpaired_woPaired_woTemplates,499499,0,355,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_93_af3_woUnpaired_woPaired_woTemplates_af3_seed_499499_sample_0_pred_355.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,35,./R2353_all_cifs/Model_1256_af3_woUnpaired_woPaired_woTemplates_af3_seed_499498_sample_0_pred_350.cif,Model_1256_af3_woUnpaired_woPaired_woTemplates_af3_seed_499498_sample_0_pred_350.cif,1256,AF3,af3_woUnpaired_woPaired_woTemplates,499498,0,350,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_1256_af3_woUnpaired_woPaired_woTemplates_af3_seed_499498_sample_0_pred_350.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,37,./R2353_all_cifs/Model_4349_af3_woUnpaired_woPaired_woTemplates_af3_seed_907765_sample_2_pred_942.cif,Model_4349_af3_woUnpaired_woPaired_woTemplates_af3_seed_907765_sample_2_pred_942.cif,4349,AF3,af3_woUnpaired_woPaired_woTemplates,907765,2,942,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_4349_af3_woUnpaired_woPaired_woTemplates_af3_seed_907765_sample_2_pred_942.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,39,./R2353_all_cifs/Model_6999_af3_woUnpaired_woPaired_woTemplates_af3_seed_813690_sample_3_pred_853.cif,Model_6999_af3_woUnpaired_woPaired_woTemplates_af3_seed_813690_sample_3_pred_853.cif,6999,AF3,af3_woUnpaired_woPaired_woTemplates,813690,3,853,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_6999_af3_woUnpaired_woPaired_woTemplates_af3_seed_813690_sample_3_pred_853.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,46,./R2353_all_cifs/Model_6043_af3_woUnpaired_woPaired_woTemplates_af3_seed_757151_sample_1_pred_191.cif,Model_6043_af3_woUnpaired_woPaired_woTemplates_af3_seed_757151_sample_1_pred_191.cif,6043,AF3,af3_woUnpaired_woPaired_woTemplates,757151,1,191,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_6043_af3_woUnpaired_woPaired_woTemplates_af3_seed_757151_sample_1_pred_191.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,52,./R2353_all_cifs/Model_2064_af3_woUnpaired_woPaired_woTemplates_af3_seed_416231_sample_2_pred_382.cif,Model_2064_af3_woUnpaired_woPaired_woTemplates_af3_seed_416231_sample_2_pred_382.cif,2064,AF3,af3_woUnpaired_woPaired_woTemplates,416231,2,382,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_2064_af3_woUnpaired_woPaired_woTemplates_af3_seed_416231_sample_2_pred_382.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,91,./R2353_all_cifs/Model_3419_af3_woUnpaired_woPaired_woTemplates_af3_seed_155991_sample_4_pred_39.cif,Model_3419_af3_woUnpaired_woPaired_woTemplates_af3_seed_155991_sample_4_pred_39.cif,3419,AF3,af3_woUnpaired_woPaired_woTemplates,155991,4,39,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_3419_af3_woUnpaired_woPaired_woTemplates_af3_seed_155991_sample_4_pred_39.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
