pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
6,R2353,R2353,5,./R2353_all_cifs/Model_6179_af3_woUnpaired_woTemplates_af3_seed_688772_sample_1_pred_111.cif,Model_6179_af3_woUnpaired_woTemplates_af3_seed_688772_sample_1_pred_111.cif,6179,AF3,af3_woUnpaired_woTemplates,688772,1,111,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_6179_af3_woUnpaired_woTemplates_af3_seed_688772_sample_1_pred_111.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,7,./R2353_all_cifs/Model_7478_af3_woUnpaired_woTemplates_af3_seed_517112_sample_2_pred_242.cif,Model_7478_af3_woUnpaired_woTemplates_af3_seed_517112_sample_2_pred_242.cif,7478,AF3,af3_woUnpaired_woTemplates,517112,2,242,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7478_af3_woUnpaired_woTemplates_af3_seed_517112_sample_2_pred_242.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,9,./R2353_all_cifs/Model_7834_af3_woUnpaired_woTemplates_af3_seed_639640_sample_0_pred_820.cif,Model_7834_af3_woUnpaired_woTemplates_af3_seed_639640_sample_0_pred_820.cif,7834,AF3,af3_woUnpaired_woTemplates,639640,0,820,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7834_af3_woUnpaired_woTemplates_af3_seed_639640_sample_0_pred_820.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,17,./R2353_all_cifs/Model_2769_af3_woUnpaired_woTemplates_af3_seed_639641_sample_1_pred_826.cif,Model_2769_af3_woUnpaired_woTemplates_af3_seed_639641_sample_1_pred_826.cif,2769,AF3,af3_woUnpaired_woTemplates,639641,1,826,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_2769_af3_woUnpaired_woTemplates_af3_seed_639641_sample_1_pred_826.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,18,./R2353_all_cifs/Model_5275_af3_woUnpaired_woTemplates_af3_seed_639631_sample_2_pred_777.cif,Model_5275_af3_woUnpaired_woTemplates_af3_seed_639631_sample_2_pred_777.cif,5275,AF3,af3_woUnpaired_woTemplates,639631,2,777,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_5275_af3_woUnpaired_woTemplates_af3_seed_639631_sample_2_pred_777.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,24,./R2353_all_cifs/Model_1241_af3_woUnpaired_woTemplates_af3_seed_639631_sample_3_pred_778.cif,Model_1241_af3_woUnpaired_woTemplates_af3_seed_639631_sample_3_pred_778.cif,1241,AF3,af3_woUnpaired_woTemplates,639631,3,778,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_1241_af3_woUnpaired_woTemplates_af3_seed_639631_sample_3_pred_778.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,33,./R2353_all_cifs/Model_518_af3_woUnpaired_woTemplates_af3_seed_688754_sample_4_pred_24.cif,Model_518_af3_woUnpaired_woTemplates_af3_seed_688754_sample_4_pred_24.cif,518,AF3,af3_woUnpaired_woTemplates,688754,4,24,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_518_af3_woUnpaired_woTemplates_af3_seed_688754_sample_4_pred_24.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,49,./R2353_all_cifs/Model_7492_af3_woUnpaired_woTemplates_af3_seed_688753_sample_2_pred_17.cif,Model_7492_af3_woUnpaired_woTemplates_af3_seed_688753_sample_2_pred_17.cif,7492,AF3,af3_woUnpaired_woTemplates,688753,2,17,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7492_af3_woUnpaired_woTemplates_af3_seed_688753_sample_2_pred_17.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,61,./R2353_all_cifs/Model_193_af3_woUnpaired_woTemplates_af3_seed_688768_sample_2_pred_92.cif,Model_193_af3_woUnpaired_woTemplates_af3_seed_688768_sample_2_pred_92.cif,193,AF3,af3_woUnpaired_woTemplates,688768,2,92,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_193_af3_woUnpaired_woTemplates_af3_seed_688768_sample_2_pred_92.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,64,./R2353_all_cifs/Model_7170_af3_woUnpaired_woTemplates_af3_seed_517106_sample_0_pred_210.cif,Model_7170_af3_woUnpaired_woTemplates_af3_seed_517106_sample_0_pred_210.cif,7170,AF3,af3_woUnpaired_woTemplates,517106,0,210,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7170_af3_woUnpaired_woTemplates_af3_seed_517106_sample_0_pred_210.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
