pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,14,T2313_all_pdbs/Model_13964_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_53.pdb,Model_13964_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_53.pdb,13964,AFM,afm_dropout_04_woTemplates_multimer_v2,,5,53,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13964_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_53.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,58,T2313_all_pdbs/Model_13858_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_39.pdb,Model_13858_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_39.pdb,13858,AFM,afm_dropout_04_woTemplates_multimer_v2,,5,39,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13858_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_39.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,90,T2313_all_pdbs/Model_13869_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_28.pdb,Model_13869_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_28.pdb,13869,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,28,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13869_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_28.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,138,T2313_all_pdbs/Model_13652_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_19.pdb,Model_13652_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_19.pdb,13652,AFM,afm_dropout_04_woTemplates_multimer_v2,,2,19,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13652_afm_dropout_04_woTemplates_model_2_multimer_v2_pred_19.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,140,T2313_all_pdbs/Model_4279_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_56.pdb,Model_4279_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_56.pdb,4279,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,56,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4279_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_56.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,193,T2313_all_pdbs/Model_6373_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_21.pdb,Model_6373_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_21.pdb,6373,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,21,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6373_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_21.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,195,T2313_all_pdbs/Model_13497_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_63.pdb,Model_13497_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_63.pdb,13497,AFM,afm_dropout_04_woTemplates_multimer_v2,,3,63,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13497_afm_dropout_04_woTemplates_model_3_multimer_v2_pred_63.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,228,T2313_all_pdbs/Model_12292_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_36.pdb,Model_12292_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_36.pdb,12292,AFM,afm_dropout_04_woTemplates_multimer_v2,,4,36,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12292_afm_dropout_04_woTemplates_model_4_multimer_v2_pred_36.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,233,T2313_all_pdbs/Model_13683_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_65.pdb,Model_13683_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_65.pdb,13683,AFM,afm_dropout_04_woTemplates_multimer_v2,,1,65,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13683_afm_dropout_04_woTemplates_model_1_multimer_v2_pred_65.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,282,T2313_all_pdbs/Model_13937_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_2.pdb,Model_13937_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_2.pdb,13937,AFM,afm_dropout_04_woTemplates_multimer_v2,,5,2,afm_dropout_04_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13937_afm_dropout_04_woTemplates_model_5_multimer_v2_pred_2.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
