pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,131,T2313_all_pdbs/Model_9269_afm_dropout_full_model_4_multimer_v1_pred_13.pdb,Model_9269_afm_dropout_full_model_4_multimer_v1_pred_13.pdb,9269,AFM,afm_dropout_full_multimer_v1,,4,13,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9269_afm_dropout_full_model_4_multimer_v1_pred_13.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,180,T2313_all_pdbs/Model_9610_afm_dropout_full_model_5_multimer_v1_pred_37.pdb,Model_9610_afm_dropout_full_model_5_multimer_v1_pred_37.pdb,9610,AFM,afm_dropout_full_multimer_v1,,5,37,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9610_afm_dropout_full_model_5_multimer_v1_pred_37.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,308,T2313_all_pdbs/Model_8274_afm_dropout_full_model_2_multimer_v1_pred_4.pdb,Model_8274_afm_dropout_full_model_2_multimer_v1_pred_4.pdb,8274,AFM,afm_dropout_full_multimer_v1,,2,4,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8274_afm_dropout_full_model_2_multimer_v1_pred_4.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,309,T2313_all_pdbs/Model_13567_afm_dropout_full_model_5_multimer_v1_pred_66.pdb,Model_13567_afm_dropout_full_model_5_multimer_v1_pred_66.pdb,13567,AFM,afm_dropout_full_multimer_v1,,5,66,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13567_afm_dropout_full_model_5_multimer_v1_pred_66.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,378,T2313_all_pdbs/Model_12190_afm_dropout_full_model_1_multimer_v1_pred_39.pdb,Model_12190_afm_dropout_full_model_1_multimer_v1_pred_39.pdb,12190,AFM,afm_dropout_full_multimer_v1,,1,39,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12190_afm_dropout_full_model_1_multimer_v1_pred_39.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,404,T2313_all_pdbs/Model_13730_afm_dropout_full_model_5_multimer_v1_pred_54.pdb,Model_13730_afm_dropout_full_model_5_multimer_v1_pred_54.pdb,13730,AFM,afm_dropout_full_multimer_v1,,5,54,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13730_afm_dropout_full_model_5_multimer_v1_pred_54.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,452,T2313_all_pdbs/Model_8030_afm_dropout_full_model_2_multimer_v1_pred_43.pdb,Model_8030_afm_dropout_full_model_2_multimer_v1_pred_43.pdb,8030,AFM,afm_dropout_full_multimer_v1,,2,43,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8030_afm_dropout_full_model_2_multimer_v1_pred_43.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,547,T2313_all_pdbs/Model_11308_afm_dropout_full_model_1_multimer_v1_pred_16.pdb,Model_11308_afm_dropout_full_model_1_multimer_v1_pred_16.pdb,11308,AFM,afm_dropout_full_multimer_v1,,1,16,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11308_afm_dropout_full_model_1_multimer_v1_pred_16.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,602,T2313_all_pdbs/Model_8264_afm_dropout_full_model_4_multimer_v1_pred_19.pdb,Model_8264_afm_dropout_full_model_4_multimer_v1_pred_19.pdb,8264,AFM,afm_dropout_full_multimer_v1,,4,19,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8264_afm_dropout_full_model_4_multimer_v1_pred_19.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,618,T2313_all_pdbs/Model_11601_afm_dropout_full_model_1_multimer_v1_pred_52.pdb,Model_11601_afm_dropout_full_model_1_multimer_v1_pred_52.pdb,11601,AFM,afm_dropout_full_multimer_v1,,1,52,afm_dropout_full_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11601_afm_dropout_full_model_1_multimer_v1_pred_52.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
