pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,10,T2313_all_pdbs/Model_13668_afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,Model_13668_afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,13668,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,2,58,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13668_afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,22,T2313_all_pdbs/Model_11071_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_43.pdb,Model_11071_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_43.pdb,11071,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,5,43,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11071_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_43.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,29,T2313_all_pdbs/Model_2797_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_0.pdb,Model_2797_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_0.pdb,2797,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,5,0,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_2797_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_0.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,38,T2313_all_pdbs/Model_4541_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_43.pdb,Model_4541_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_43.pdb,4541,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,4,43,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4541_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_43.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,48,T2313_all_pdbs/Model_3301_afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_50.pdb,Model_3301_afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_50.pdb,3301,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,1,50,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_3301_afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_50.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,111,T2313_all_pdbs/Model_3986_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_53.pdb,Model_3986_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_53.pdb,3986,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,5,53,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_3986_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_53.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,128,T2313_all_pdbs/Model_3346_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_64.pdb,Model_3346_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_64.pdb,3346,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,4,64,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_3346_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_64.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,142,T2313_all_pdbs/Model_7250_afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_55.pdb,Model_7250_afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_55.pdb,7250,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,3,55,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7250_afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_55.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,170,T2313_all_pdbs/Model_4531_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_57.pdb,Model_4531_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_57.pdb,4531,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,4,57,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4531_afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_57.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,231,T2313_all_pdbs/Model_9227_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_10.pdb,Model_9227_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_10.pdb,9227,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,5,10,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9227_afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_10.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
