pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,3,T2313_all_pdbs/Model_1178_af3_basic_af3_seed_779107_sample_3_pred_338.cif,Model_1178_af3_basic_af3_seed_779107_sample_3_pred_338.cif,1178,AF3,af3_basic,779107,3,338,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1178_af3_basic_af3_seed_779107_sample_3_pred_338.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,4,T2313_all_pdbs/Model_1871_af3_basic_af3_seed_89444_sample_1_pred_761.cif,Model_1871_af3_basic_af3_seed_89444_sample_1_pred_761.cif,1871,AF3,af3_basic,89444,1,761,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1871_af3_basic_af3_seed_89444_sample_1_pred_761.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,30,T2313_all_pdbs/Model_1399_af3_basic_af3_seed_89451_sample_0_pred_795.cif,Model_1399_af3_basic_af3_seed_89451_sample_0_pred_795.cif,1399,AF3,af3_basic,89451,0,795,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1399_af3_basic_af3_seed_89451_sample_0_pred_795.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,40,T2313_all_pdbs/Model_169_af3_basic_af3_seed_704035_sample_3_pred_538.cif,Model_169_af3_basic_af3_seed_704035_sample_3_pred_538.cif,169,AF3,af3_basic,704035,3,538,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_169_af3_basic_af3_seed_704035_sample_3_pred_538.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,44,T2313_all_pdbs/Model_1389_af3_basic_af3_seed_320132_sample_1_pred_656.cif,Model_1389_af3_basic_af3_seed_320132_sample_1_pred_656.cif,1389,AF3,af3_basic,320132,1,656,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1389_af3_basic_af3_seed_320132_sample_1_pred_656.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,57,T2313_all_pdbs/Model_576_af3_basic_af3_seed_779094_sample_2_pred_272.cif,Model_576_af3_basic_af3_seed_779094_sample_2_pred_272.cif,576,AF3,af3_basic,779094,2,272,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_576_af3_basic_af3_seed_779094_sample_2_pred_272.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,100,T2313_all_pdbs/Model_1087_af3_basic_af3_seed_779105_sample_2_pred_327.cif,Model_1087_af3_basic_af3_seed_779105_sample_2_pred_327.cif,1087,AF3,af3_basic,779105,2,327,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1087_af3_basic_af3_seed_779105_sample_2_pred_327.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,134,T2313_all_pdbs/Model_648_af3_basic_af3_seed_320130_sample_3_pred_648.cif,Model_648_af3_basic_af3_seed_320130_sample_3_pred_648.cif,648,AF3,af3_basic,320130,3,648,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_648_af3_basic_af3_seed_320130_sample_3_pred_648.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,165,T2313_all_pdbs/Model_386_af3_basic_af3_seed_549424_sample_4_pred_934.cif,Model_386_af3_basic_af3_seed_549424_sample_4_pred_934.cif,386,AF3,af3_basic,549424,4,934,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_386_af3_basic_af3_seed_549424_sample_4_pred_934.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,190,T2313_all_pdbs/Model_600_af3_basic_af3_seed_89457_sample_1_pred_826.cif,Model_600_af3_basic_af3_seed_89457_sample_1_pred_826.cif,600,AF3,af3_basic,89457,1,826,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_600_af3_basic_af3_seed_89457_sample_1_pred_826.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
