pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,7,T2313_all_pdbs/Model_460_af3_woPaired_af3_seed_423841_sample_3_pred_458.cif,Model_460_af3_woPaired_af3_seed_423841_sample_3_pred_458.cif,460,AF3,af3_woPaired,423841,3,458,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_460_af3_woPaired_af3_seed_423841_sample_3_pred_458.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,37,T2313_all_pdbs/Model_1249_af3_woPaired_af3_seed_424010_sample_0_pred_965.cif,Model_1249_af3_woPaired_af3_seed_424010_sample_0_pred_965.cif,1249,AF3,af3_woPaired,424010,0,965,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1249_af3_woPaired_af3_seed_424010_sample_0_pred_965.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,46,T2313_all_pdbs/Model_5258_af3_woPaired_af3_seed_880567_sample_3_pred_43.cif,Model_5258_af3_woPaired_af3_seed_880567_sample_3_pred_43.cif,5258,AF3,af3_woPaired,880567,3,43,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_5258_af3_woPaired_af3_seed_880567_sample_3_pred_43.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,64,T2313_all_pdbs/Model_4595_af3_woPaired_af3_seed_98727_sample_2_pred_542.cif,Model_4595_af3_woPaired_af3_seed_98727_sample_2_pred_542.cif,4595,AF3,af3_woPaired,98727,2,542,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4595_af3_woPaired_af3_seed_98727_sample_2_pred_542.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,67,T2313_all_pdbs/Model_4523_af3_woPaired_af3_seed_98740_sample_1_pred_606.cif,Model_4523_af3_woPaired_af3_seed_98740_sample_1_pred_606.cif,4523,AF3,af3_woPaired,98740,1,606,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4523_af3_woPaired_af3_seed_98740_sample_1_pred_606.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,69,T2313_all_pdbs/Model_997_af3_woPaired_af3_seed_753890_sample_0_pred_145.cif,Model_997_af3_woPaired_af3_seed_753890_sample_0_pred_145.cif,997,AF3,af3_woPaired,753890,0,145,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_997_af3_woPaired_af3_seed_753890_sample_0_pred_145.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,136,T2313_all_pdbs/Model_917_af3_woPaired_af3_seed_423997_sample_0_pred_900.cif,Model_917_af3_woPaired_af3_seed_423997_sample_0_pred_900.cif,917,AF3,af3_woPaired,423997,0,900,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_917_af3_woPaired_af3_seed_423997_sample_0_pred_900.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,139,T2313_all_pdbs/Model_743_af3_woPaired_af3_seed_423825_sample_1_pred_376.cif,Model_743_af3_woPaired_af3_seed_423825_sample_1_pred_376.cif,743,AF3,af3_woPaired,423825,1,376,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_743_af3_woPaired_af3_seed_423825_sample_1_pred_376.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,155,T2313_all_pdbs/Model_1723_af3_woPaired_af3_seed_880578_sample_4_pred_99.cif,Model_1723_af3_woPaired_af3_seed_880578_sample_4_pred_99.cif,1723,AF3,af3_woPaired,880578,4,99,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1723_af3_woPaired_af3_seed_880578_sample_4_pred_99.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,162,T2313_all_pdbs/Model_1679_af3_woPaired_af3_seed_753894_sample_1_pred_166.cif,Model_1679_af3_woPaired_af3_seed_753894_sample_1_pred_166.cif,1679,AF3,af3_woPaired,753894,1,166,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1679_af3_woPaired_af3_seed_753894_sample_1_pred_166.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
