pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,9,T2313_all_pdbs/Model_6595_af3_woPaired_woTemplates_af3_seed_45619_sample_4_pred_694.cif,Model_6595_af3_woPaired_woTemplates_af3_seed_45619_sample_4_pred_694.cif,6595,AF3,af3_woPaired_woTemplates,45619,4,694,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6595_af3_woPaired_woTemplates_af3_seed_45619_sample_4_pred_694.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,47,T2313_all_pdbs/Model_7667_af3_woPaired_woTemplates_af3_seed_907937_sample_0_pred_165.cif,Model_7667_af3_woPaired_woTemplates_af3_seed_907937_sample_0_pred_165.cif,7667,AF3,af3_woPaired_woTemplates,907937,0,165,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7667_af3_woPaired_woTemplates_af3_seed_907937_sample_0_pred_165.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,52,T2313_all_pdbs/Model_6282_af3_woPaired_woTemplates_af3_seed_907947_sample_2_pred_217.cif,Model_6282_af3_woPaired_woTemplates_af3_seed_907947_sample_2_pred_217.cif,6282,AF3,af3_woPaired_woTemplates,907947,2,217,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6282_af3_woPaired_woTemplates_af3_seed_907947_sample_2_pred_217.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,62,T2313_all_pdbs/Model_7834_af3_woPaired_woTemplates_af3_seed_275077_sample_3_pred_103.cif,Model_7834_af3_woPaired_woTemplates_af3_seed_275077_sample_3_pred_103.cif,7834,AF3,af3_woPaired_woTemplates,275077,3,103,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7834_af3_woPaired_woTemplates_af3_seed_275077_sample_3_pred_103.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,99,T2313_all_pdbs/Model_7194_af3_woPaired_woTemplates_af3_seed_45629_sample_4_pred_744.cif,Model_7194_af3_woPaired_woTemplates_af3_seed_45629_sample_4_pred_744.cif,7194,AF3,af3_woPaired_woTemplates,45629,4,744,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7194_af3_woPaired_woTemplates_af3_seed_45629_sample_4_pred_744.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,151,T2313_all_pdbs/Model_8179_af3_woPaired_woTemplates_af3_seed_344227_sample_4_pred_344.cif,Model_8179_af3_woPaired_woTemplates_af3_seed_344227_sample_4_pred_344.cif,8179,AF3,af3_woPaired_woTemplates,344227,4,344,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8179_af3_woPaired_woTemplates_af3_seed_344227_sample_4_pred_344.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,208,T2313_all_pdbs/Model_8187_af3_woPaired_woTemplates_af3_seed_45628_sample_3_pred_738.cif,Model_8187_af3_woPaired_woTemplates_af3_seed_45628_sample_3_pred_738.cif,8187,AF3,af3_woPaired_woTemplates,45628,3,738,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8187_af3_woPaired_woTemplates_af3_seed_45628_sample_3_pred_738.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,221,T2313_all_pdbs/Model_4757_af3_woPaired_woTemplates_af3_seed_152829_sample_3_pred_943.cif,Model_4757_af3_woPaired_woTemplates_af3_seed_152829_sample_3_pred_943.cif,4757,AF3,af3_woPaired_woTemplates,152829,3,943,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4757_af3_woPaired_woTemplates_af3_seed_152829_sample_3_pred_943.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,261,T2313_all_pdbs/Model_6930_af3_woPaired_woTemplates_af3_seed_45609_sample_1_pred_641.cif,Model_6930_af3_woPaired_woTemplates_af3_seed_45609_sample_1_pred_641.cif,6930,AF3,af3_woPaired_woTemplates,45609,1,641,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6930_af3_woPaired_woTemplates_af3_seed_45609_sample_1_pred_641.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,269,T2313_all_pdbs/Model_7807_af3_woPaired_woTemplates_af3_seed_275060_sample_4_pred_19.cif,Model_7807_af3_woPaired_woTemplates_af3_seed_275060_sample_4_pred_19.cif,7807,AF3,af3_woPaired_woTemplates,275060,4,19,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7807_af3_woPaired_woTemplates_af3_seed_275060_sample_4_pred_19.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
