pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,6,T2313_all_pdbs/Model_5591_af3_woTemplates_af3_seed_641644_sample_0_pred_710.cif,Model_5591_af3_woTemplates_af3_seed_641644_sample_0_pred_710.cif,5591,AF3,af3_woTemplates,641644,0,710,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_5591_af3_woTemplates_af3_seed_641644_sample_0_pred_710.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,13,T2313_all_pdbs/Model_4301_af3_woTemplates_af3_seed_130570_sample_0_pred_825.cif,Model_4301_af3_woTemplates_af3_seed_130570_sample_0_pred_825.cif,4301,AF3,af3_woTemplates,130570,0,825,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4301_af3_woTemplates_af3_seed_130570_sample_0_pred_825.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,26,T2313_all_pdbs/Model_6906_af3_woTemplates_af3_seed_897902_sample_2_pred_232.cif,Model_6906_af3_woTemplates_af3_seed_897902_sample_2_pred_232.cif,6906,AF3,af3_woTemplates,897902,2,232,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6906_af3_woTemplates_af3_seed_897902_sample_2_pred_232.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,33,T2313_all_pdbs/Model_7155_af3_woTemplates_af3_seed_841338_sample_4_pred_929.cif,Model_7155_af3_woTemplates_af3_seed_841338_sample_4_pred_929.cif,7155,AF3,af3_woTemplates,841338,4,929,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7155_af3_woTemplates_af3_seed_841338_sample_4_pred_929.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,34,T2313_all_pdbs/Model_6004_af3_woTemplates_af3_seed_130575_sample_0_pred_850.cif,Model_6004_af3_woTemplates_af3_seed_130575_sample_0_pred_850.cif,6004,AF3,af3_woTemplates,130575,0,850,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6004_af3_woTemplates_af3_seed_130575_sample_0_pred_850.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,41,T2313_all_pdbs/Model_3799_af3_woTemplates_af3_seed_841336_sample_0_pred_915.cif,Model_3799_af3_woTemplates_af3_seed_841336_sample_0_pred_915.cif,3799,AF3,af3_woTemplates,841336,0,915,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_3799_af3_woTemplates_af3_seed_841336_sample_0_pred_915.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,60,T2313_all_pdbs/Model_4438_af3_woTemplates_af3_seed_130574_sample_4_pred_849.cif,Model_4438_af3_woTemplates_af3_seed_130574_sample_4_pred_849.cif,4438,AF3,af3_woTemplates,130574,4,849,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4438_af3_woTemplates_af3_seed_130574_sample_4_pred_849.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,61,T2313_all_pdbs/Model_6978_af3_woTemplates_af3_seed_256841_sample_3_pred_523.cif,Model_6978_af3_woTemplates_af3_seed_256841_sample_3_pred_523.cif,6978,AF3,af3_woTemplates,256841,3,523,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6978_af3_woTemplates_af3_seed_256841_sample_3_pred_523.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,79,T2313_all_pdbs/Model_6427_af3_woTemplates_af3_seed_897903_sample_1_pred_236.cif,Model_6427_af3_woTemplates_af3_seed_897903_sample_1_pred_236.cif,6427,AF3,af3_woTemplates,897903,1,236,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6427_af3_woTemplates_af3_seed_897903_sample_1_pred_236.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,101,T2313_all_pdbs/Model_6903_af3_woTemplates_af3_seed_256853_sample_3_pred_583.cif,Model_6903_af3_woTemplates_af3_seed_256853_sample_3_pred_583.cif,6903,AF3,af3_woTemplates,256853,3,583,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6903_af3_woTemplates_af3_seed_256853_sample_3_pred_583.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
