pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,35,T2313_all_pdbs/Model_8139_af3_woUnpaired_af3_seed_803101_sample_3_pred_513.cif,Model_8139_af3_woUnpaired_af3_seed_803101_sample_3_pred_513.cif,8139,AF3,af3_woUnpaired,803101,3,513,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8139_af3_woUnpaired_af3_seed_803101_sample_3_pred_513.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,36,T2313_all_pdbs/Model_10521_af3_woUnpaired_af3_seed_424435_sample_3_pred_138.cif,Model_10521_af3_woUnpaired_af3_seed_424435_sample_3_pred_138.cif,10521,AF3,af3_woUnpaired,424435,3,138,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10521_af3_woUnpaired_af3_seed_424435_sample_3_pred_138.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,54,T2313_all_pdbs/Model_13116_af3_woUnpaired_af3_seed_410046_sample_2_pred_87.cif,Model_13116_af3_woUnpaired_af3_seed_410046_sample_2_pred_87.cif,13116,AF3,af3_woUnpaired,410046,2,87,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13116_af3_woUnpaired_af3_seed_410046_sample_2_pred_87.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,78,T2313_all_pdbs/Model_13617_af3_woUnpaired_af3_seed_657356_sample_1_pred_421.cif,Model_13617_af3_woUnpaired_af3_seed_657356_sample_1_pred_421.cif,13617,AF3,af3_woUnpaired,657356,1,421,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13617_af3_woUnpaired_af3_seed_657356_sample_1_pred_421.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,82,T2313_all_pdbs/Model_13616_af3_woUnpaired_af3_seed_424448_sample_1_pred_201.cif,Model_13616_af3_woUnpaired_af3_seed_424448_sample_1_pred_201.cif,13616,AF3,af3_woUnpaired,424448,1,201,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13616_af3_woUnpaired_af3_seed_424448_sample_1_pred_201.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,88,T2313_all_pdbs/Model_11024_af3_woUnpaired_af3_seed_243840_sample_3_pred_688.cif,Model_11024_af3_woUnpaired_af3_seed_243840_sample_3_pred_688.cif,11024,AF3,af3_woUnpaired,243840,3,688,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11024_af3_woUnpaired_af3_seed_243840_sample_3_pred_688.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,96,T2313_all_pdbs/Model_12162_af3_woUnpaired_af3_seed_657355_sample_0_pred_415.cif,Model_12162_af3_woUnpaired_af3_seed_657355_sample_0_pred_415.cif,12162,AF3,af3_woUnpaired,657355,0,415,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12162_af3_woUnpaired_af3_seed_657355_sample_0_pred_415.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,98,T2313_all_pdbs/Model_9457_af3_woUnpaired_af3_seed_932767_sample_4_pred_909.cif,Model_9457_af3_woUnpaired_af3_seed_932767_sample_4_pred_909.cif,9457,AF3,af3_woUnpaired,932767,4,909,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9457_af3_woUnpaired_af3_seed_932767_sample_4_pred_909.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,103,T2313_all_pdbs/Model_7705_af3_woUnpaired_af3_seed_932778_sample_1_pred_961.cif,Model_7705_af3_woUnpaired_af3_seed_932778_sample_1_pred_961.cif,7705,AF3,af3_woUnpaired,932778,1,961,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7705_af3_woUnpaired_af3_seed_932778_sample_1_pred_961.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,133,T2313_all_pdbs/Model_13108_af3_woUnpaired_af3_seed_580081_sample_0_pred_760.cif,Model_13108_af3_woUnpaired_af3_seed_580081_sample_0_pred_760.cif,13108,AF3,af3_woUnpaired,580081,0,760,woUnpaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13108_af3_woUnpaired_af3_seed_580081_sample_0_pred_760.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
