pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,24,T2313_all_pdbs/Model_9015_af3_woUnpaired_woPaired_af3_seed_327060_sample_1_pred_186.cif,Model_9015_af3_woUnpaired_woPaired_af3_seed_327060_sample_1_pred_186.cif,9015,AF3,af3_woUnpaired_woPaired,327060,1,186,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9015_af3_woUnpaired_woPaired_af3_seed_327060_sample_1_pred_186.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,45,T2313_all_pdbs/Model_9952_af3_woUnpaired_woPaired_af3_seed_408185_sample_1_pred_901.cif,Model_9952_af3_woUnpaired_woPaired_af3_seed_408185_sample_1_pred_901.cif,9952,AF3,af3_woUnpaired_woPaired,408185,1,901,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9952_af3_woUnpaired_woPaired_af3_seed_408185_sample_1_pred_901.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,59,T2313_all_pdbs/Model_8985_af3_woUnpaired_woPaired_af3_seed_122390_sample_3_pred_528.cif,Model_8985_af3_woUnpaired_woPaired_af3_seed_122390_sample_3_pred_528.cif,8985,AF3,af3_woUnpaired_woPaired,122390,3,528,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8985_af3_woUnpaired_woPaired_af3_seed_122390_sample_3_pred_528.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,65,T2313_all_pdbs/Model_9982_af3_woUnpaired_woPaired_af3_seed_527016_sample_3_pred_803.cif,Model_9982_af3_woUnpaired_woPaired_af3_seed_527016_sample_3_pred_803.cif,9982,AF3,af3_woUnpaired_woPaired,527016,3,803,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9982_af3_woUnpaired_woPaired_af3_seed_527016_sample_3_pred_803.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,75,T2313_all_pdbs/Model_10003_af3_woUnpaired_woPaired_af3_seed_527624_sample_0_pred_450.cif,Model_10003_af3_woUnpaired_woPaired_af3_seed_527624_sample_0_pred_450.cif,10003,AF3,af3_woUnpaired_woPaired,527624,0,450,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10003_af3_woUnpaired_woPaired_af3_seed_527624_sample_0_pred_450.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,94,T2313_all_pdbs/Model_12663_af3_woUnpaired_woPaired_af3_seed_174642_sample_3_pred_633.cif,Model_12663_af3_woUnpaired_woPaired_af3_seed_174642_sample_3_pred_633.cif,12663,AF3,af3_woUnpaired_woPaired,174642,3,633,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12663_af3_woUnpaired_woPaired_af3_seed_174642_sample_3_pred_633.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,107,T2313_all_pdbs/Model_9368_af3_woUnpaired_woPaired_af3_seed_240249_sample_4_pred_254.cif,Model_9368_af3_woUnpaired_woPaired_af3_seed_240249_sample_4_pred_254.cif,9368,AF3,af3_woUnpaired_woPaired,240249,4,254,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9368_af3_woUnpaired_woPaired_af3_seed_240249_sample_4_pred_254.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,130,T2313_all_pdbs/Model_11846_af3_woUnpaired_woPaired_af3_seed_527015_sample_3_pred_798.cif,Model_11846_af3_woUnpaired_woPaired_af3_seed_527015_sample_3_pred_798.cif,11846,AF3,af3_woUnpaired_woPaired,527015,3,798,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11846_af3_woUnpaired_woPaired_af3_seed_527015_sample_3_pred_798.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,143,T2313_all_pdbs/Model_9357_af3_woUnpaired_woPaired_af3_seed_729069_sample_4_pred_24.cif,Model_9357_af3_woUnpaired_woPaired_af3_seed_729069_sample_4_pred_24.cif,9357,AF3,af3_woUnpaired_woPaired,729069,4,24,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9357_af3_woUnpaired_woPaired_af3_seed_729069_sample_4_pred_24.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,144,T2313_all_pdbs/Model_9373_af3_woUnpaired_woPaired_af3_seed_729086_sample_2_pred_107.cif,Model_9373_af3_woUnpaired_woPaired_af3_seed_729086_sample_2_pred_107.cif,9373,AF3,af3_woUnpaired_woPaired,729086,2,107,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9373_af3_woUnpaired_woPaired_af3_seed_729086_sample_2_pred_107.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,152,T2313_all_pdbs/Model_12676_af3_woUnpaired_woPaired_af3_seed_527613_sample_4_pred_399.cif,Model_12676_af3_woUnpaired_woPaired_af3_seed_527613_sample_4_pred_399.cif,12676,AF3,af3_woUnpaired_woPaired,527613,4,399,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12676_af3_woUnpaired_woPaired_af3_seed_527613_sample_4_pred_399.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,157,T2313_all_pdbs/Model_11820_af3_woUnpaired_woPaired_af3_seed_327057_sample_2_pred_172.cif,Model_11820_af3_woUnpaired_woPaired_af3_seed_327057_sample_2_pred_172.cif,11820,AF3,af3_woUnpaired_woPaired,327057,2,172,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11820_af3_woUnpaired_woPaired_af3_seed_327057_sample_2_pred_172.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,158,T2313_all_pdbs/Model_8801_af3_woUnpaired_woPaired_af3_seed_527019_sample_2_pred_817.cif,Model_8801_af3_woUnpaired_woPaired_af3_seed_527019_sample_2_pred_817.cif,8801,AF3,af3_woUnpaired_woPaired,527019,2,817,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8801_af3_woUnpaired_woPaired_af3_seed_527019_sample_2_pred_817.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,160,T2313_all_pdbs/Model_12595_af3_woUnpaired_woPaired_af3_seed_408203_sample_1_pred_991.cif,Model_12595_af3_woUnpaired_woPaired_af3_seed_408203_sample_1_pred_991.cif,12595,AF3,af3_woUnpaired_woPaired,408203,1,991,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12595_af3_woUnpaired_woPaired_af3_seed_408203_sample_1_pred_991.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,168,T2313_all_pdbs/Model_10857_af3_woUnpaired_woPaired_af3_seed_174641_sample_4_pred_629.cif,Model_10857_af3_woUnpaired_woPaired_af3_seed_174641_sample_4_pred_629.cif,10857,AF3,af3_woUnpaired_woPaired,174641,4,629,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10857_af3_woUnpaired_woPaired_af3_seed_174641_sample_4_pred_629.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,177,T2313_all_pdbs/Model_12711_af3_woUnpaired_woPaired_af3_seed_408200_sample_4_pred_979.cif,Model_12711_af3_woUnpaired_woPaired_af3_seed_408200_sample_4_pred_979.cif,12711,AF3,af3_woUnpaired_woPaired,408200,4,979,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12711_af3_woUnpaired_woPaired_af3_seed_408200_sample_4_pred_979.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,189,T2313_all_pdbs/Model_10034_af3_woUnpaired_woPaired_af3_seed_729073_sample_3_pred_43.cif,Model_10034_af3_woUnpaired_woPaired_af3_seed_729073_sample_3_pred_43.cif,10034,AF3,af3_woUnpaired_woPaired,729073,3,43,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10034_af3_woUnpaired_woPaired_af3_seed_729073_sample_3_pred_43.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,199,T2313_all_pdbs/Model_7994_af3_woUnpaired_woPaired_af3_seed_527029_sample_0_pred_865.cif,Model_7994_af3_woUnpaired_woPaired_af3_seed_527029_sample_0_pred_865.cif,7994,AF3,af3_woUnpaired_woPaired,527029,0,865,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7994_af3_woUnpaired_woPaired_af3_seed_527029_sample_0_pred_865.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,230,T2313_all_pdbs/Model_13797_af3_woUnpaired_woPaired_af3_seed_174645_sample_4_pred_649.cif,Model_13797_af3_woUnpaired_woPaired_af3_seed_174645_sample_4_pred_649.cif,13797,AF3,af3_woUnpaired_woPaired,174645,4,649,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13797_af3_woUnpaired_woPaired_af3_seed_174645_sample_4_pred_649.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,241,T2313_all_pdbs/Model_11404_af3_woUnpaired_woPaired_af3_seed_408188_sample_2_pred_917.cif,Model_11404_af3_woUnpaired_woPaired_af3_seed_408188_sample_2_pred_917.cif,11404,AF3,af3_woUnpaired_woPaired,408188,2,917,woUnpaired_woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11404_af3_woUnpaired_woPaired_af3_seed_408188_sample_2_pred_917.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
