pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,15,T2313_all_pdbs/Model_11976_af3_woUnpaired_woPaired_woTemplates_af3_seed_365835_sample_0_pred_820.cif,Model_11976_af3_woUnpaired_woPaired_woTemplates_af3_seed_365835_sample_0_pred_820.cif,11976,AF3,af3_woUnpaired_woPaired_woTemplates,365835,0,820,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11976_af3_woUnpaired_woPaired_woTemplates_af3_seed_365835_sample_0_pred_820.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,31,T2313_all_pdbs/Model_12018_af3_woUnpaired_woPaired_woTemplates_af3_seed_651173_sample_2_pred_137.cif,Model_12018_af3_woUnpaired_woPaired_woTemplates_af3_seed_651173_sample_2_pred_137.cif,12018,AF3,af3_woUnpaired_woPaired_woTemplates,651173,2,137,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12018_af3_woUnpaired_woPaired_woTemplates_af3_seed_651173_sample_2_pred_137.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,49,T2313_all_pdbs/Model_10272_af3_woUnpaired_woPaired_woTemplates_af3_seed_151173_sample_0_pred_255.cif,Model_10272_af3_woUnpaired_woPaired_woTemplates_af3_seed_151173_sample_0_pred_255.cif,10272,AF3,af3_woUnpaired_woPaired_woTemplates,151173,0,255,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10272_af3_woUnpaired_woPaired_woTemplates_af3_seed_151173_sample_0_pred_255.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,56,T2313_all_pdbs/Model_10902_af3_woUnpaired_woPaired_woTemplates_af3_seed_631143_sample_2_pred_702.cif,Model_10902_af3_woUnpaired_woPaired_woTemplates_af3_seed_631143_sample_2_pred_702.cif,10902,AF3,af3_woUnpaired_woPaired_woTemplates,631143,2,702,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10902_af3_woUnpaired_woPaired_woTemplates_af3_seed_631143_sample_2_pred_702.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,63,T2313_all_pdbs/Model_13015_af3_woUnpaired_woPaired_woTemplates_af3_seed_458376_sample_1_pred_426.cif,Model_13015_af3_woUnpaired_woPaired_woTemplates_af3_seed_458376_sample_1_pred_426.cif,13015,AF3,af3_woUnpaired_woPaired_woTemplates,458376,1,426,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13015_af3_woUnpaired_woPaired_woTemplates_af3_seed_458376_sample_1_pred_426.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,66,T2313_all_pdbs/Model_10188_af3_woUnpaired_woPaired_woTemplates_af3_seed_808837_sample_2_pred_527.cif,Model_10188_af3_woUnpaired_woPaired_woTemplates_af3_seed_808837_sample_2_pred_527.cif,10188,AF3,af3_woUnpaired_woPaired_woTemplates,808837,2,527,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10188_af3_woUnpaired_woPaired_woTemplates_af3_seed_808837_sample_2_pred_527.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,93,T2313_all_pdbs/Model_12889_af3_woUnpaired_woPaired_woTemplates_af3_seed_915542_sample_1_pred_16.cif,Model_12889_af3_woUnpaired_woPaired_woTemplates_af3_seed_915542_sample_1_pred_16.cif,12889,AF3,af3_woUnpaired_woPaired_woTemplates,915542,1,16,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12889_af3_woUnpaired_woPaired_woTemplates_af3_seed_915542_sample_1_pred_16.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,108,T2313_all_pdbs/Model_11970_af3_woUnpaired_woPaired_woTemplates_af3_seed_151194_sample_3_pred_363.cif,Model_11970_af3_woUnpaired_woPaired_woTemplates_af3_seed_151194_sample_3_pred_363.cif,11970,AF3,af3_woUnpaired_woPaired_woTemplates,151194,3,363,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11970_af3_woUnpaired_woPaired_woTemplates_af3_seed_151194_sample_3_pred_363.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,113,T2313_all_pdbs/Model_10262_af3_woUnpaired_woPaired_woTemplates_af3_seed_808840_sample_1_pred_541.cif,Model_10262_af3_woUnpaired_woPaired_woTemplates_af3_seed_808840_sample_1_pred_541.cif,10262,AF3,af3_woUnpaired_woPaired_woTemplates,808840,1,541,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10262_af3_woUnpaired_woPaired_woTemplates_af3_seed_808840_sample_1_pred_541.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,116,T2313_all_pdbs/Model_10955_af3_woUnpaired_woPaired_woTemplates_af3_seed_651180_sample_4_pred_174.cif,Model_10955_af3_woUnpaired_woPaired_woTemplates_af3_seed_651180_sample_4_pred_174.cif,10955,AF3,af3_woUnpaired_woPaired_woTemplates,651180,4,174,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10955_af3_woUnpaired_woPaired_woTemplates_af3_seed_651180_sample_4_pred_174.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
