pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,25,T2313_all_pdbs/Model_9290_af3_woUnpaired_woTemplates_af3_seed_100748_sample_4_pred_134.cif,Model_9290_af3_woUnpaired_woTemplates_af3_seed_100748_sample_4_pred_134.cif,9290,AF3,af3_woUnpaired_woTemplates,100748,4,134,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9290_af3_woUnpaired_woTemplates_af3_seed_100748_sample_4_pred_134.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,32,T2313_all_pdbs/Model_11355_af3_woUnpaired_woTemplates_af3_seed_119704_sample_0_pred_725.cif,Model_11355_af3_woUnpaired_woTemplates_af3_seed_119704_sample_0_pred_725.cif,11355,AF3,af3_woUnpaired_woTemplates,119704,0,725,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11355_af3_woUnpaired_woTemplates_af3_seed_119704_sample_0_pred_725.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,68,T2313_all_pdbs/Model_12316_af3_woUnpaired_woTemplates_af3_seed_31760_sample_0_pred_600.cif,Model_12316_af3_woUnpaired_woTemplates_af3_seed_31760_sample_0_pred_600.cif,12316,AF3,af3_woUnpaired_woTemplates,31760,0,600,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12316_af3_woUnpaired_woTemplates_af3_seed_31760_sample_0_pred_600.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,72,T2313_all_pdbs/Model_12356_af3_woUnpaired_woTemplates_af3_seed_100749_sample_2_pred_137.cif,Model_12356_af3_woUnpaired_woTemplates_af3_seed_100749_sample_2_pred_137.cif,12356,AF3,af3_woUnpaired_woTemplates,100749,2,137,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12356_af3_woUnpaired_woTemplates_af3_seed_100749_sample_2_pred_137.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,81,T2313_all_pdbs/Model_10811_af3_woUnpaired_woTemplates_af3_seed_769068_sample_4_pred_39.cif,Model_10811_af3_woUnpaired_woTemplates_af3_seed_769068_sample_4_pred_39.cif,10811,AF3,af3_woUnpaired_woTemplates,769068,4,39,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10811_af3_woUnpaired_woTemplates_af3_seed_769068_sample_4_pred_39.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,92,T2313_all_pdbs/Model_13401_af3_woUnpaired_woTemplates_af3_seed_244326_sample_2_pred_777.cif,Model_13401_af3_woUnpaired_woTemplates_af3_seed_244326_sample_2_pred_777.cif,13401,AF3,af3_woUnpaired_woTemplates,244326,2,777,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13401_af3_woUnpaired_woTemplates_af3_seed_244326_sample_2_pred_777.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,106,T2313_all_pdbs/Model_11668_af3_woUnpaired_woTemplates_af3_seed_711929_sample_0_pred_355.cif,Model_11668_af3_woUnpaired_woTemplates_af3_seed_711929_sample_0_pred_355.cif,11668,AF3,af3_woUnpaired_woTemplates,711929,0,355,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11668_af3_woUnpaired_woTemplates_af3_seed_711929_sample_0_pred_355.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,112,T2313_all_pdbs/Model_11767_af3_woUnpaired_woTemplates_af3_seed_31745_sample_3_pred_528.cif,Model_11767_af3_woUnpaired_woTemplates_af3_seed_31745_sample_3_pred_528.cif,11767,AF3,af3_woUnpaired_woTemplates,31745,3,528,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11767_af3_woUnpaired_woTemplates_af3_seed_31745_sample_3_pred_528.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,150,T2313_all_pdbs/Model_11754_af3_woUnpaired_woTemplates_af3_seed_754108_sample_3_pred_473.cif,Model_11754_af3_woUnpaired_woTemplates_af3_seed_754108_sample_3_pred_473.cif,11754,AF3,af3_woUnpaired_woTemplates,754108,3,473,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_11754_af3_woUnpaired_woTemplates_af3_seed_754108_sample_3_pred_473.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,154,T2313_all_pdbs/Model_12354_af3_woUnpaired_woTemplates_af3_seed_119705_sample_4_pred_734.cif,Model_12354_af3_woUnpaired_woTemplates_af3_seed_119705_sample_4_pred_734.cif,12354,AF3,af3_woUnpaired_woTemplates,119705,4,734,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12354_af3_woUnpaired_woTemplates_af3_seed_119705_sample_4_pred_734.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,161,T2313_all_pdbs/Model_12574_af3_woUnpaired_woTemplates_af3_seed_734718_sample_1_pred_911.cif,Model_12574_af3_woUnpaired_woTemplates_af3_seed_734718_sample_1_pred_911.cif,12574,AF3,af3_woUnpaired_woTemplates,734718,1,911,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_12574_af3_woUnpaired_woTemplates_af3_seed_734718_sample_1_pred_911.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,173,T2313_all_pdbs/Model_10766_af3_woUnpaired_woTemplates_af3_seed_100765_sample_2_pred_217.cif,Model_10766_af3_woUnpaired_woTemplates_af3_seed_100765_sample_2_pred_217.cif,10766,AF3,af3_woUnpaired_woTemplates,100765,2,217,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_10766_af3_woUnpaired_woTemplates_af3_seed_100765_sample_2_pred_217.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
