decision_rank,decision_status,target_group,target_id,overlay_rank,overlay_decision,source_packet,decision_class,final_selector_decision,selected_model_filename,top_candidate_filename,alternate_model_filename,probe_result,probe_margin,confidence_score,confidence_gap,risk_score,model_path,viewer_html,projection_svg,top5_manifest_csv,source_review_md,source_probe_md,decision_md,model_present,viewer_present,projection_present,top5_manifest_present,alternate_present,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary,rule_id
1,post_probe_selector_decision_ready_external_only,rna_hybrid,R2352,1,selector_blocked_manual_review,hold_probe_review,manual_block,external_model1_freeze_blocked_manual_review,Model_15_af3_woUnpaired_af3_seed_20656_sample_1_pred_611.cif,Model_15_af3_woUnpaired_af3_seed_20656_sample_1_pred_611.cif,Model_7_af3_woPaired_woTemplates_af3_seed_26386_sample_2_pred_237.cif,probe_fail_model1_displaced,-0.23587,82.69558,0.07092,30.586,casp17/massivefold_representative_viewers/r2352/selection_034_woUnpaired_model_15/model.cif,casp17/massivefold_representative_viewers/r2352/selection_034_woUnpaired_model_15/viewer.html,casp17/massivefold_representative_viewers/r2352/selection_034_woUnpaired_model_15/projection.svg,casp17/massivefold_representative_rerank/r2352/top5_manifest.csv,casp17/massivefold_hold_probe_review_packet/01_manual_blocked_review_r2352/HOLD_PROBE_REVIEW.md,,casp17/massivefold_post_probe_selector_decision_packet/01_manual_block_r2352/SELECTOR_DECISION.md,True,True,True,True,True,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
2,post_probe_selector_decision_ready_external_only,protein_complex,H2312,2,selector_hold_interface_review,hold_probe_review,interface_hold,external_model1_interface_hold_before_freeze,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,,probe_pass_model1_retained,0.10755,101.58484,0.0813,48.165,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/model.cif,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/projection.svg,casp17/massivefold_representative_rerank/h2312/top5_manifest.csv,casp17/massivefold_hold_probe_review_packet/02_interface_hold_review_h2312/HOLD_PROBE_REVIEW.md,,casp17/massivefold_post_probe_selector_decision_packet/02_interface_hold_h2312/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
3,post_probe_selector_decision_ready_external_only,protein_complex,H1311,3,selector_probe_required,probe_required_targeted_probe,watch_low_margin_after_probe,external_model1_watch_low_margin_after_targeted_probe,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,,probe_watch_model1_retained_low_margin,0.31936,104.19842,0.3313,,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/model.cif,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/projection.svg,casp17/massivefold_representative_rerank/h1311/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/01_protein_complex_h1311/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/03_watch_low_margin_after_probe_h1311/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
4,post_probe_selector_decision_ready_external_only,protein_complex,H2319,4,selector_probe_required,probe_required_targeted_probe,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,,probe_pass_model1_retained_clear,1.19016,105.48786,0.56512,,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,casp17/massivefold_representative_rerank/h2319/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/02_protein_complex_h2319/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/04_freeze_candidate_after_probe_h2319/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
5,post_probe_selector_decision_ready_external_only,protein_complex,H2321,5,selector_probe_required,probe_required_targeted_probe,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,,probe_pass_model1_retained_clear,0.85011,102.10998,0.66878,,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_rerank/h2321/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/03_protein_complex_h2321/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/05_freeze_candidate_after_probe_h2321/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
6,post_probe_selector_decision_ready_external_only,protein_complex,H2324,6,selector_probe_required,probe_required_targeted_probe,watch_low_margin_after_probe,external_model1_watch_low_margin_after_targeted_probe,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,,probe_watch_model1_retained_low_margin,0.35564,99.93822,0.17602,,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/model.cif,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/viewer.html,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/projection.svg,casp17/massivefold_representative_rerank/h2324/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/04_protein_complex_h2324/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/06_watch_low_margin_after_probe_h2324/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
7,post_probe_selector_decision_ready_external_only,protein_complex,H2335,7,selector_probe_required,probe_required_targeted_probe,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,,probe_pass_model1_retained_clear,1.04953,94.11582,1.11502,,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,casp17/massivefold_representative_rerank/h2335/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/05_protein_complex_h2335/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/07_freeze_candidate_after_probe_h2335/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
8,post_probe_selector_decision_ready_external_only,protein_complex,H2338,8,selector_probe_required,probe_required_targeted_probe,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,,probe_pass_model1_retained_clear,0.86919,103.87838,0.45224,,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_rerank/h2338/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/06_protein_complex_h2338/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/08_freeze_candidate_after_probe_h2338/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
9,post_probe_selector_decision_ready_external_only,protein_complex,H2339,9,selector_probe_required,probe_required_targeted_probe,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,,probe_pass_model1_retained_clear,0.83464,102.90764,0.74694,,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,casp17/massivefold_representative_rerank/h2339/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/07_protein_complex_h2339/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/09_freeze_candidate_after_probe_h2339/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
10,post_probe_selector_decision_ready_external_only,rna_hybrid,R2341,10,selector_probe_required,probe_required_targeted_probe,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,,probe_pass_model1_retained_clear,0.86527,53.0992,0.10906,,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_representative_rerank/r2341/top5_manifest.csv,,casp17/massivefold_probe_required_targeted_probe_packet/08_rna_hybrid_r2341/TARGETED_PROBE.md,casp17/massivefold_post_probe_selector_decision_packet/10_freeze_candidate_after_probe_r2341/SELECTOR_DECISION.md,True,True,True,True,False,,external_no_native_post_probe_selector_decision_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold post-probe selector decision packet only. It combines external MassiveFold freeze-ready reviews, hold/probe reviews, and no-native targeted probes into an external model1 selection decision map. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",post_probe_external_selector_decision_v1
