selector_rank,target_id,group_id,triage_band,best_minus_model1_gdt_ts_proxy,model1_model_id,best_top5_model_id,geometry_signal,geometry_risk_delta_model1_minus_best,consensus_signal,consensus_margin_model1_minus_best,model1_consensus_rank,best_top5_consensus_rank,consensus_top_model_id,selector_decision,selected_model_id,decision_reason,native_proxy_label,baseline_result,selector_status,blockers,review_md,claim_boundary,rule_id
1,T1212,163,catastrophic_model1_selection_gap,78.380,T1212TS163_1,T1212TS163_4,ambiguous,-0.117,supports_model1,-4.201,4,5,T1212TS163_5,retain_model1,T1212TS163_1,consensus_supports_model1,best_top5_wins_from_native_proxy,retained_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/01_t1212_group_163/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
2,T1212,304,catastrophic_model1_selection_gap,71.138,T1212TS304_1,T1212TS304_3,ambiguous,0.012,supports_best_top5,6.919,5,3,T1212TS304_2,promote_best_top5,T1212TS304_3,consensus_supports_best_top5,best_top5_wins_from_native_proxy,corrected_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/02_t1212_group_304/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
3,T1212,286,catastrophic_model1_selection_gap,61.642,T1212TS286_1,T1212TS286_2,ambiguous,-0.111,supports_model1,-4.595,3,4,T1212TS286_4,retain_model1,T1212TS286_1,consensus_supports_model1,best_top5_wins_from_native_proxy,retained_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/03_t1212_group_286/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
4,T1212,419,catastrophic_model1_selection_gap,61.642,T1212TS419_1,T1212TS419_2,ambiguous,-0.111,supports_model1,-4.595,3,4,T1212TS419_4,retain_model1,T1212TS419_1,consensus_supports_model1,best_top5_wins_from_native_proxy,retained_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/04_t1212_group_419/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
5,T1212,262,catastrophic_model1_selection_gap,53.863,T1212TS262_1,T1212TS262_5,ambiguous,-0.203,supports_best_top5,7.073,3,1,T1212TS262_5,promote_best_top5,T1212TS262_5,consensus_supports_best_top5,best_top5_wins_from_native_proxy,corrected_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/05_t1212_group_262/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
6,T1212,345,large_selection_gap,49.946,T1212TS345_1,T1212TS345_2,ambiguous,-0.168,supports_model1,-2.763,1,2,T1212TS345_1,retain_model1,T1212TS345_1,consensus_supports_model1,best_top5_wins_from_native_proxy,retained_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/06_t1212_group_345/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
7,T1212,369,large_selection_gap,40.826,T1212TS369_1,T1212TS369_5,ambiguous,-0.169,supports_best_top5,10.505,4,1,T1212TS369_5,promote_best_top5,T1212TS369_5,consensus_supports_best_top5,best_top5_wins_from_native_proxy,corrected_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/07_t1212_group_369/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
8,T1212,269,large_selection_gap,39.485,T1212TS269_1,T1212TS269_4,ambiguous,0.001,supports_best_top5,17.350,4,1,T1212TS269_4,promote_best_top5,T1212TS269_4,consensus_supports_best_top5,best_top5_wins_from_native_proxy,corrected_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/08_t1212_group_269/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
9,T1212,221,large_selection_gap,38.895,T1212TS221_1,T1212TS221_4,ambiguous,0.295,supports_best_top5,16.574,3,1,T1212TS221_4,promote_best_top5,T1212TS221_4,consensus_supports_best_top5,best_top5_wins_from_native_proxy,corrected_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/09_t1212_group_221/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
10,T1212,015,large_selection_gap,30.043,T1212TS015_1,T1212TS015_4,ambiguous,0.074,supports_model1,-2.718,1,3,T1212TS015_1,retain_model1,T1212TS015_1,consensus_supports_model1,best_top5_wins_from_native_proxy,retained_model1_failure_baseline_proxy,selector_ready,,casp17/official_archive_first_baseline_model1_gap_combined_selector_ledger/10_t1212_group_015/COMBINED_SELECTOR.md,"Local CASP17 official-archive first baseline model1 gap combined selector ledger only. It combines native-free geometry and top5 consensus probe outputs from baseline-only official archive models to calibrate model1-selection decisions. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_combined_selector_ledger_v1
