triage_rank,target_id,group_id,triage_band,triage_action,model1_model_id,model1_gdt_ts_proxy,best_top5_model_id,best_top5_model_number,best_top5_gdt_ts_proxy,best_minus_model1_gdt_ts_proxy,model1_metric_status,best_top5_metric_status,complete_top5_group,top5_ready_count,claim_boundary,rule_id
1,T1212,163,catastrophic_model1_selection_gap,critical_model1_failure_case_for_accuracy_estimation_training,T1212TS163_1,0.268,T1212TS163_4,4,78.648,78.380,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
2,T1212,304,catastrophic_model1_selection_gap,critical_model1_failure_case_for_accuracy_estimation_training,T1212TS304_1,3.004,T1212TS304_3,3,74.142,71.138,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
3,T1212,286,catastrophic_model1_selection_gap,critical_model1_failure_case_for_accuracy_estimation_training,T1212TS286_1,0.751,T1212TS286_2,2,62.393,61.642,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
4,T1212,419,catastrophic_model1_selection_gap,critical_model1_failure_case_for_accuracy_estimation_training,T1212TS419_1,0.751,T1212TS419_2,2,62.393,61.642,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
5,T1212,262,catastrophic_model1_selection_gap,critical_model1_failure_case_for_accuracy_estimation_training,T1212TS262_1,4.077,T1212TS262_5,5,57.940,53.863,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
6,T1212,345,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS345_1,0.483,T1212TS345_2,2,50.429,49.946,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
7,T1212,369,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS369_1,7.457,T1212TS369_5,5,48.283,40.826,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
8,T1212,269,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS269_1,0.697,T1212TS269_4,4,40.182,39.485,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
9,T1212,221,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS221_1,0.000,T1212TS221_4,4,38.895,38.895,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
10,T1212,015,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS015_1,1.395,T1212TS015_4,4,31.438,30.043,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
11,T1212,312,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS312_1,0.000,T1212TS312_3,3,27.092,27.092,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
12,T1212,052,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS052_1,0.590,T1212TS052_5,5,25.000,24.410,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
13,T1212,481,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS481_1,1.073,T1212TS481_5,5,24.034,22.961,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
14,T1212,261,large_selection_gap,audit_model1_selection_rule_and_prioritize_best_of_5_rescore_features,T1212TS261_1,22.264,T1212TS261_4,4,45.118,22.854,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
15,T1212,388,medium_selection_gap,calibrate_confidence_geometry_and_protocol_diversity_features,T1212TS388_1,12.661,T1212TS388_2,2,32.242,19.581,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
16,T1212,425,medium_selection_gap,calibrate_confidence_geometry_and_protocol_diversity_features,T1212TS425_1,2.200,T1212TS425_3,3,18.938,16.738,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
17,T1212,208,medium_selection_gap,calibrate_confidence_geometry_and_protocol_diversity_features,T1212TS208_1,3.648,T1212TS208_5,5,18.616,14.968,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
18,T1212,139,medium_selection_gap,calibrate_confidence_geometry_and_protocol_diversity_features,T1212TS139_1,16.202,T1212TS139_2,2,29.936,13.734,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
19,T1212,358,medium_selection_gap,calibrate_confidence_geometry_and_protocol_diversity_features,T1212TS358_1,30.687,T1212TS358_4,4,44.206,13.519,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
20,T1212,311,medium_selection_gap,calibrate_confidence_geometry_and_protocol_diversity_features,T1212TS311_1,7.457,T1212TS311_2,2,16.202,8.745,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
