viewer_rank,target_id,group_id,triage_band,best_minus_model1_gdt_ts_proxy,model1_model_id,best_top5_model_id,native_pdb_code,case_folder,model1_pdb,best_top5_pdb,native_pdb,viewer_html,projection_svg,review_md,viewer_status,blockers,claim_boundary,rule_id
1,T1212,163,catastrophic_model1_selection_gap,78.380,T1212TS163_1,T1212TS163_4,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/T1212TS163_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/T1212TS163_4.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
2,T1212,304,catastrophic_model1_selection_gap,71.138,T1212TS304_1,T1212TS304_3,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/T1212TS304_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/T1212TS304_3.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
3,T1212,286,catastrophic_model1_selection_gap,61.642,T1212TS286_1,T1212TS286_2,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/T1212TS286_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/T1212TS286_2.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
4,T1212,419,catastrophic_model1_selection_gap,61.642,T1212TS419_1,T1212TS419_2,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/T1212TS419_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/T1212TS419_2.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
5,T1212,262,catastrophic_model1_selection_gap,53.863,T1212TS262_1,T1212TS262_5,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/T1212TS262_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/T1212TS262_5.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
6,T1212,345,large_selection_gap,49.946,T1212TS345_1,T1212TS345_2,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/T1212TS345_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/T1212TS345_2.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
7,T1212,369,large_selection_gap,40.826,T1212TS369_1,T1212TS369_5,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/T1212TS369_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/T1212TS369_5.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
8,T1212,269,large_selection_gap,39.485,T1212TS269_1,T1212TS269_4,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/T1212TS269_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/T1212TS269_4.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
9,T1212,221,large_selection_gap,38.895,T1212TS221_1,T1212TS221_4,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/T1212TS221_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/T1212TS221_4.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
10,T1212,015,large_selection_gap,30.043,T1212TS015_1,T1212TS015_4,9B0L,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/T1212TS015_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/T1212TS015_4.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/reference/native_9B0L.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/viewer.html,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/projection.svg,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/REVIEW.md,viewer_ready,,"Local CASP17 official-archive first baseline model1 gap viewer packet only. It copies baseline-only official archive model1/best-of-5/native-reference files into review folders and renders local overlay viewers for model-selection calibration. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_viewer_packet_v1
