model_rank,model_id,target_id,group_id,model_number,pool_role,source_member,extracted_pdb,size_bytes,sha256_16,atom_count,ca_count,residue_count,chain_count,model1_candidate,top5_candidate,extra_model_candidate,model_status,blockers,claim_boundary,rule_id
1,T1212TS014_1,T1212,014,1,model1,T1212/T1212TS014_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_1.pdb,309505,0f80c4dc28cfaf4b,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
7,T1212TS015_1,T1212,015,1,model1,T1212/T1212TS015_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_1.pdb,309176,184673b9314549db,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
13,T1212TS019_1,T1212,019,1,model1,T1212/T1212TS019_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_1.pdb,309093,97ba35fc761e71cb,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
18,T1212TS022_1,T1212,022,1,model1,T1212/T1212TS022_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_1.pdb,309064,765e740a8a48284e,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
23,T1212TS028_1,T1212,028,1,model1,T1212/T1212TS028_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS028_1.pdb,309069,9424fc70d8a6524b,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
24,T1212TS031_1,T1212,031,1,model1,T1212/T1212TS031_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_1.pdb,309068,c5a88c24661f2c04,3814,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
29,T1212TS033_1,T1212,033,1,model1,T1212/T1212TS033_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS033_1.pdb,309110,d74a845e26f30e2d,3814,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
34,T1212TS040_1,T1212,040,1,model1,T1212/T1212TS040_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS040_1.pdb,309084,58192a01fb60a460,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
39,T1212TS044_1,T1212,044,1,model1,T1212/T1212TS044_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS044_1.pdb,309144,357a138b10d457e1,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
41,T1212TS051_1,T1212,051,1,model1,T1212/T1212TS051_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS051_1.pdb,309065,5336bfd028a36d8f,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
