model_rank,model_id,target_id,group_id,model_number,pool_role,source_member,extracted_pdb,size_bytes,sha256_16,atom_count,ca_count,residue_count,chain_count,model1_candidate,top5_candidate,extra_model_candidate,model_status,blockers,claim_boundary,rule_id
1,T1212TS014_1,T1212,014,1,model1,T1212/T1212TS014_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_1.pdb,309505,0f80c4dc28cfaf4b,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
2,T1212TS014_2,T1212,014,2,top5,T1212/T1212TS014_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_2.pdb,309505,692d16ea451a79dd,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
3,T1212TS014_3,T1212,014,3,top5,T1212/T1212TS014_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_3.pdb,309505,39187b5bcb73a4f5,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
4,T1212TS014_4,T1212,014,4,top5,T1212/T1212TS014_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_4.pdb,309505,1caa2460c7cef82d,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
5,T1212TS014_5,T1212,014,5,top5,T1212/T1212TS014_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_5.pdb,309505,c9160d6e6855f0ca,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
7,T1212TS015_1,T1212,015,1,model1,T1212/T1212TS015_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_1.pdb,309176,184673b9314549db,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
8,T1212TS015_2,T1212,015,2,top5,T1212/T1212TS015_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_2.pdb,309176,c36dcc041f95caf6,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
9,T1212TS015_3,T1212,015,3,top5,T1212/T1212TS015_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_3.pdb,309169,c56dc76f33b14563,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
10,T1212TS015_4,T1212,015,4,top5,T1212/T1212TS015_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_4.pdb,309176,f37a9bcb3a4bb1bb,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
11,T1212TS015_5,T1212,015,5,top5,T1212/T1212TS015_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_5.pdb,309176,7780471fec0e668d,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
13,T1212TS019_1,T1212,019,1,model1,T1212/T1212TS019_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_1.pdb,309093,97ba35fc761e71cb,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
14,T1212TS019_2,T1212,019,2,top5,T1212/T1212TS019_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_2.pdb,309093,06aa7f26073d22e3,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
15,T1212TS019_3,T1212,019,3,top5,T1212/T1212TS019_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_3.pdb,309093,8e33ded529d905ea,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
16,T1212TS019_4,T1212,019,4,top5,T1212/T1212TS019_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_4.pdb,309093,c4cbd97aa78a97bf,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
17,T1212TS019_5,T1212,019,5,top5,T1212/T1212TS019_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_5.pdb,309093,737d46941acca6a1,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
18,T1212TS022_1,T1212,022,1,model1,T1212/T1212TS022_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_1.pdb,309064,765e740a8a48284e,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
19,T1212TS022_2,T1212,022,2,top5,T1212/T1212TS022_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_2.pdb,309060,48e2f55c5ae9850d,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
20,T1212TS022_3,T1212,022,3,top5,T1212/T1212TS022_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_3.pdb,309064,5071e44cef0ec9c8,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
