group_rank,target_id,group_id,group_status,model1_model_id,model1_metric_status,model1_gdt_ts_proxy,model1_gdt_ha_proxy,model1_ca_lddt_proxy,model1_tm_score_proxy,model1_ca_rmsd_angstrom,best_top5_model_id,best_top5_model_number,best_top5_metric_status,best_top5_gdt_ts_proxy,best_top5_gdt_ha_proxy,best_top5_ca_lddt_proxy,best_top5_tm_score_proxy,best_top5_ca_rmsd_angstrom,best_minus_model1_gdt_ts_proxy,top5_model_count,top5_ready_count,complete_top5_group,blockers,claim_boundary,rule_id
1,T1212,014,group_score_ready,T1212TS014_1,metric_ready,4.292,0.966,0.010,0.185,16.202,T1212TS014_4,4,metric_ready,5.901,1.180,0.012,0.238,13.792,1.609,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
2,T1212,015,group_score_ready,T1212TS015_1,metric_ready,1.395,0.161,0.002,0.053,32.700,T1212TS015_4,4,metric_ready,31.438,10.354,0.104,0.610,6.165,30.043,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
3,T1212,019,group_score_ready,T1212TS019_1,metric_ready,1.556,0.268,0.003,0.061,30.238,T1212TS019_3,3,metric_ready,2.146,0.536,0.005,0.078,26.536,0.590,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
4,T1212,022,group_score_ready,T1212TS022_1,metric_ready,0.536,0.107,0.001,0.043,36.464,T1212TS022_3,3,metric_ready,0.644,0.000,0.000,0.029,44.502,0.108,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
5,T1212,028,group_score_ready,T1212TS028_1,metric_ready,1.609,0.215,0.002,0.074,27.274,T1212TS028_1,1,metric_ready,1.609,0.215,0.002,0.074,27.274,0.000,1,1,False,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
6,T1212,031,group_score_ready,T1212TS031_1,metric_ready,3.326,0.751,0.008,0.146,18.649,T1212TS031_2,2,metric_ready,7.564,1.717,0.017,0.280,12.366,4.238,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
7,T1212,033,group_score_ready,T1212TS033_1,metric_ready,43.616,19.582,0.196,0.756,4.375,T1212TS033_1,1,metric_ready,43.616,19.582,0.196,0.756,4.375,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
8,T1212,040,group_score_ready,T1212TS040_1,metric_ready,1.395,0.268,0.003,0.046,34.980,T1212TS040_2,2,metric_ready,2.307,0.483,0.005,0.047,34.528,0.912,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
9,T1212,044,group_score_ready,T1212TS044_1,metric_ready,3.004,0.322,0.003,0.202,15.309,T1212TS044_1,1,metric_ready,3.004,0.322,0.003,0.202,15.309,0.000,2,2,False,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
10,T1212,051,group_score_ready,T1212TS051_1,metric_ready,3.755,1.127,0.011,0.180,16.431,T1212TS051_1,1,metric_ready,3.755,1.127,0.011,0.180,16.431,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
11,T1212,052,group_score_ready,T1212TS052_1,metric_ready,0.590,0.161,0.002,0.030,43.556,T1212TS052_5,5,metric_ready,25.000,6.223,0.062,0.563,6.798,24.410,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
