target_id,group_id,model_id,model_number,pool_role,path,native_pdb,metric_status,gdt_ts_proxy,gdt_ha_proxy,ca_lddt_proxy,tm_score_proxy,ca_rmsd_angstrom,ca_match_count,ca_match_basis,blockers,claim_boundary,rule_id
T1212,014,T1212TS014_1,1,model1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_1.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,4.292,0.966,0.010,0.185,16.202,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,014,T1212TS014_2,2,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_2.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.556,0.268,0.003,0.064,29.472,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,014,T1212TS014_3,3,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_3.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.770,0.376,0.004,0.068,28.592,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,014,T1212TS014_4,4,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_4.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,5.901,1.180,0.012,0.238,13.792,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,014,T1212TS014_5,5,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS014_5.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.341,0.215,0.002,0.057,31.389,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,015,T1212TS015_1,1,model1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_1.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.395,0.161,0.002,0.053,32.700,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,015,T1212TS015_2,2,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_2.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.073,0.322,0.003,0.047,34.871,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,015,T1212TS015_3,3,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_3.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,3.165,0.858,0.009,0.119,20.986,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,015,T1212TS015_4,4,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_4.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,31.438,10.354,0.104,0.610,6.165,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,015,T1212TS015_5,5,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS015_5.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,3.863,0.912,0.009,0.116,21.282,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,019,T1212TS019_1,1,model1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_1.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.556,0.268,0.003,0.061,30.238,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,019,T1212TS019_2,2,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_2.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.000,0.000,0.000,0.026,47.575,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,019,T1212TS019_3,3,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_3.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,2.146,0.536,0.005,0.078,26.536,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,019,T1212TS019_4,4,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_4.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.000,0.000,0.000,0.026,47.452,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,019,T1212TS019_5,5,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS019_5.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.556,0.322,0.003,0.053,32.728,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,022,T1212TS022_1,1,model1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_1.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.536,0.107,0.001,0.043,36.464,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,022,T1212TS022_2,2,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_2.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.054,0.000,0.000,0.025,47.900,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,022,T1212TS022_3,3,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_3.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.644,0.000,0.000,0.029,44.502,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,022,T1212TS022_4,4,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_4.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.536,0.161,0.002,0.035,40.620,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,022,T1212TS022_5,5,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_5.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,0.000,0.000,0.000,0.026,47.379,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,028,T1212TS028_1,1,model1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS028_1.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,1.609,0.215,0.002,0.074,27.274,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,031,T1212TS031_1,1,model1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_1.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,3.326,0.751,0.008,0.146,18.649,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
T1212,031,T1212TS031_2,2,top5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_2.pdb,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/native/9B0L.pdb,metric_ready,7.564,1.717,0.017,0.280,12.366,466,ordered_ca_fallback,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
