field_key,operator_value,operator_evidence_ref,operator_clearance,operator_id,required_operator_value_format,evidence_stub_md,destination,notes
source_id,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,,,internal source id; must not start official_archive/casp_official/massivefold_external,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
prediction_pdb,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,,,local pre-native prediction PDB path with ATOM/HETATM records,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,,Fill manually from independent evidence; do not auto-fill from weak local hints.
prediction_pdb_dropzone,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,,,first-slot prediction dropzone PDB copy path,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,Fill manually from independent evidence; do not auto-fill from weak local hints.
prediction_created_at,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,,,YYYY-MM-DD prediction creation date,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
native_release_date,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,,,YYYY-MM-DD authoritative native release date,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
prediction_created_at/native_release_date,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,,,derived: prediction_created_at < native_release_date,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
native_authority_ref,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,,,artifact path or URI for authoritative native source,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
creation_evidence_ref,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,,,artifact path or URI for independent prediction timestamp evidence,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
no_leak_evidence_ref,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,,,artifact path or URI for no-leak provenance evidence,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
method_summary,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,,,short internal prediction method/source summary,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
operator_clearance,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/operator_clearance.md,,,approved/clear/cleared/true/yes/operator_clear/operator_approved,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/operator_clearance.md,casp17/strict_blind_internal_prediction_source_audit/hist_REQUIRED_MONOMER_001/internal_prediction_source_manifest_template.csv,Fill manually from independent evidence; do not auto-fill from weak local hints.
