request_index,request_id,candidate_target_id,candidate_scope,request_kind,field_count,field_ready_count,field_blocked_count,operator_value_missing_count,operator_evidence_missing_count,candidate_replacement_field_count,source_template_count,source_template_csv,source_request_folder,request_batch_folder,request_operator_fill_csv,request_readme,first_field_key,first_blocker,first_next_action
1,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001,casp17/strict_blind_source_request_operator_fill_batch_kit/01_source_request_001_HIST_BBA5,casp17/strict_blind_source_request_operator_fill_batch_kit/01_source_request_001_HIST_BBA5/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/01_source_request_001_HIST_BBA5/README.md,source_id,operator_value_missing,fill operator_value for source_id
2,source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_002,casp17/strict_blind_source_request_operator_fill_batch_kit/02_source_request_002_HIST_CHIGNOLIN,casp17/strict_blind_source_request_operator_fill_batch_kit/02_source_request_002_HIST_CHIGNOLIN/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/02_source_request_002_HIST_CHIGNOLIN/README.md,source_id,operator_value_missing,fill operator_value for source_id
3,source_request_003,HIST_CRAMBIN,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_003,casp17/strict_blind_source_request_operator_fill_batch_kit/03_source_request_003_HIST_CRAMBIN,casp17/strict_blind_source_request_operator_fill_batch_kit/03_source_request_003_HIST_CRAMBIN/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/03_source_request_003_HIST_CRAMBIN/README.md,source_id,operator_value_missing,fill operator_value for source_id
4,source_request_004,HIST_FSD_1,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_004/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_004,casp17/strict_blind_source_request_operator_fill_batch_kit/04_source_request_004_HIST_FSD_1,casp17/strict_blind_source_request_operator_fill_batch_kit/04_source_request_004_HIST_FSD_1/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/04_source_request_004_HIST_FSD_1/README.md,source_id,operator_value_missing,fill operator_value for source_id
5,source_request_005,HIST_GB1_MINI,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_005/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_005,casp17/strict_blind_source_request_operator_fill_batch_kit/05_source_request_005_HIST_GB1_MINI,casp17/strict_blind_source_request_operator_fill_batch_kit/05_source_request_005_HIST_GB1_MINI/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/05_source_request_005_HIST_GB1_MINI/README.md,source_id,operator_value_missing,fill operator_value for source_id
6,source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_006,casp17/strict_blind_source_request_operator_fill_batch_kit/06_source_request_006_HIST_PROTEIN_A_BDOMAIN,casp17/strict_blind_source_request_operator_fill_batch_kit/06_source_request_006_HIST_PROTEIN_A_BDOMAIN/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/06_source_request_006_HIST_PROTEIN_A_BDOMAIN/README.md,source_id,operator_value_missing,fill operator_value for source_id
7,source_request_007,HIST_TRP_CAGE,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_007/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_007,casp17/strict_blind_source_request_operator_fill_batch_kit/07_source_request_007_HIST_TRP_CAGE,casp17/strict_blind_source_request_operator_fill_batch_kit/07_source_request_007_HIST_TRP_CAGE/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/07_source_request_007_HIST_TRP_CAGE/README.md,source_id,operator_value_missing,fill operator_value for source_id
8,source_request_008,HIST_UBIQUITIN_MINI,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_008/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_008,casp17/strict_blind_source_request_operator_fill_batch_kit/08_source_request_008_HIST_UBIQUITIN_MINI,casp17/strict_blind_source_request_operator_fill_batch_kit/08_source_request_008_HIST_UBIQUITIN_MINI/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/08_source_request_008_HIST_UBIQUITIN_MINI/README.md,source_id,operator_value_missing,fill operator_value for source_id
9,source_request_009,HIST_VILLIN_HP35,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_009/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_009,casp17/strict_blind_source_request_operator_fill_batch_kit/09_source_request_009_HIST_VILLIN_HP35,casp17/strict_blind_source_request_operator_fill_batch_kit/09_source_request_009_HIST_VILLIN_HP35/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/09_source_request_009_HIST_VILLIN_HP35/README.md,source_id,operator_value_missing,fill operator_value for source_id
10,source_request_010,HIST_WW_DOMAIN_FIP35,monomer,pre_native_prediction_source_required,11,0,11,11,9,0,1,casp17/strict_blind_source_gate_source_request_packet/source_request_010/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_010,casp17/strict_blind_source_request_operator_fill_batch_kit/10_source_request_010_HIST_WW_DOMAIN_FIP35,casp17/strict_blind_source_request_operator_fill_batch_kit/10_source_request_010_HIST_WW_DOMAIN_FIP35/operator_fill_rows.csv,casp17/strict_blind_source_request_operator_fill_batch_kit/10_source_request_010_HIST_WW_DOMAIN_FIP35/README.md,source_id,operator_value_missing,fill operator_value for source_id
