slot_rank,benchmark_id,target_id,scope,metric_contract_status,required_metric_count,core_metric_count,extension_metric_count,prediction_pdb,native_pdb,slot_folder,slot_manifest,requirements_csv,blockers,next_action
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_001_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_001_native.pdb,casp17/win_tier_metric_surface_contract/01_hist_required_monomer_001,casp17/win_tier_metric_surface_contract/01_hist_required_monomer_001/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/01_hist_required_monomer_001/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_002_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_002_native.pdb,casp17/win_tier_metric_surface_contract/02_hist_required_monomer_002,casp17/win_tier_metric_surface_contract/02_hist_required_monomer_002/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/02_hist_required_monomer_002/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_003_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_003_native.pdb,casp17/win_tier_metric_surface_contract/03_hist_required_monomer_003,casp17/win_tier_metric_surface_contract/03_hist_required_monomer_003/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/03_hist_required_monomer_003/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_004_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_004_native.pdb,casp17/win_tier_metric_surface_contract/04_hist_required_monomer_004,casp17/win_tier_metric_surface_contract/04_hist_required_monomer_004/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/04_hist_required_monomer_004/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_005_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_005_native.pdb,casp17/win_tier_metric_surface_contract/05_hist_required_monomer_005,casp17/win_tier_metric_surface_contract/05_hist_required_monomer_005/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/05_hist_required_monomer_005/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_006_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_006_native.pdb,casp17/win_tier_metric_surface_contract/06_hist_required_monomer_006,casp17/win_tier_metric_surface_contract/06_hist_required_monomer_006/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/06_hist_required_monomer_006/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_007_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_007_native.pdb,casp17/win_tier_metric_surface_contract/07_hist_required_monomer_007,casp17/win_tier_metric_surface_contract/07_hist_required_monomer_007/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/07_hist_required_monomer_007/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_008_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_008_native.pdb,casp17/win_tier_metric_surface_contract/08_hist_required_monomer_008,casp17/win_tier_metric_surface_contract/08_hist_required_monomer_008/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/08_hist_required_monomer_008/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_009_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_009_native.pdb,casp17/win_tier_metric_surface_contract/09_hist_required_monomer_009,casp17/win_tier_metric_surface_contract/09_hist_required_monomer_009/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/09_hist_required_monomer_009/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_010_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_010_native.pdb,casp17/win_tier_metric_surface_contract/10_hist_required_monomer_010,casp17/win_tier_metric_surface_contract/10_hist_required_monomer_010/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/10_hist_required_monomer_010/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
