referenced_by_sets,task_id,release_manifest_json,config_json,holdout_name,representative_target_name,source_kind,pdb_path,publication_year,benchmark_inclusion_date,corrected_label_freeze_date,provenance_source,curation_status,notes,provenance_granularity
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,alpha_synuclein_full,alpha_synuclein_full,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/alpha_synuclein_full.pdb,2024,2026-03-21,2026-03-21,/home/betelgeuze/분자동역학/runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_fold1_alpha_synuclein_full_eval_corrected_targets.csv,item_publication_prefilled,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | Auto-prefilled from explicit year found in observable_anchor citation extracted from the accepted IDP eval_corrected targets artifact.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,amyloid_beta_40,amyloid_beta_40,synthetic,,2013,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC3686344/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=aggregation_prone. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2013 Aβ40/Aβ42 monomer ensemble study used as a construct-level disorder anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,amyloid_beta_42,amyloid_beta_42,synthetic,,2013,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC3686344/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=aggregation_prone. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2013 Aβ40/Aβ42 monomer ensemble study used as a construct-level disorder anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,ash1_idr_fragment,ash1_idr_fragment,synthetic,,,2026-03-21,2026-03-21,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,manual_item_curation_no_public_anchor_current,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=helix_tad. Replace with construct-matched literature/experimental values when available. | Auto-generated provisional anchor for branch=helix_tad. Replace with construct-matched literature/experimental values when available. | No construct-matched public disorder anchor was identified in the current curation sweep; retained dataset-level.,dataset_release
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,cmyc_tad_fragment,cmyc_tad_fragment,synthetic,,2012,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC3401448/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=helix_tad. Replace with construct-matched literature/experimental values when available. | Auto-generated provisional anchor for branch=helix_tad. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2012 c-Myc transactivation-domain NMR/disorder study used as a construct-level anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,ddx4_n1,ddx4_n1,synthetic,,2015,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC4352761/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=llps_lcd. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2015 Ddx4 N-terminal disorder/phase-transition study used as the nearest public construct anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,eaf1_idr,eaf1_idr,synthetic,,,2026-03-21,2026-03-21,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,manual_item_curation_no_public_anchor_current,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=llps_lcd. Replace with construct-matched literature/experimental values when available. | Auto-generated provisional anchor for branch=llps_lcd. Replace with construct-matched literature/experimental values when available. | No construct-matched public disorder anchor was identified in the current curation sweep; retained dataset-level.,dataset_release
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,ews_lcd,ews_lcd,synthetic,,2015,2026-03-21,2026-03-21,https://www.nature.com/articles/ncomms9088,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=llps_lcd. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2015 EWS low-complexity domain phase-separation study used as the nearest public construct anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,fus_lcd,fus_lcd,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/fus_lcd.pdb,2019,2026-03-21,2026-03-21,https://doi.org/10.1038/s41594-019-0250-x,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | Not exact 1-214 construct SAXS anchor; narrowed from prior broad range using literature-constrained LCD expansion regime. | Publication year curated from the 2019 FUS LCD phase-separation paper used as the closest construct-matched public anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,hnrnpa1_lcd,hnrnpa1_lcd,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/hnrnpa1_lcd.pdb,2024,2026-03-21,2026-03-21,https://www.sasbdb.org/data/SASDTJ2/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | Construct-aligned LCD anchor tightened from SAXS database entry; non-Rg observables remain proxy-assisted. | Publication year curated from the SASBDB-linked Science Advances 2024 hnRNPA1-LCD SAXS entry.,item_publication
