target,ligand_id,reference_binding_kcal_mol,is_binder,source
EGFR_KINASE,erlotinib,-9.2,1,literature_proxy_v2
EGFR_KINASE,nilotinib,-8.3,1,literature_proxy_v2
EGFR_KINASE,imatinib,-7.4,1,literature_proxy_v2
EGFR_KINASE,ibuprofen,-2.1,0,literature_proxy_v2
EGFR_KINASE,aspirin,-1.1,0,literature_proxy_v2
EGFR_KINASE,caffeine,-0.6,0,literature_proxy_v2
ADRB2_GPCR_BLIND,carazolol,-10.2,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,propranolol,-8.8,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,carvedilol,-9.1,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,pindolol,-8.2,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,alprenolol,-7.8,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,timolol,-8.5,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,acetaminophen,-1.7,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,metformin,-0.4,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,nicotinamide,-0.8,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,chembl2012522,-14.895,1,chembl_blind_adrb2_v1:Ki:pchembl=10.92
ADRB2_GPCR_BLIND,chembl4863525,-14.731,1,chembl_blind_adrb2_v1:Ki:pchembl=10.80
ADRB2_GPCR_BLIND,chembl4874819,-14.458,1,chembl_blind_adrb2_v1:Ki:pchembl=10.60
ADRB2_GPCR_BLIND,chembl2104145,-14.267,1,chembl_blind_adrb2_v1:Kd:pchembl=10.46
ADRB2_GPCR_BLIND,chembl15245,-14.186,1,chembl_blind_adrb2_v1:Ki:pchembl=10.40
ADRB2_GPCR_BLIND,chembl1160723,-14.049,1,chembl_blind_adrb2_v1:IC50:pchembl=10.30
ADRB2_GPCR_BLIND,chembl4860528,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl5201074,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl5206565,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl5207281,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl4456301,-13.831,1,chembl_blind_adrb2_v1:Ki:pchembl=10.14
ADRB2_GPCR_BLIND,chembl1263,-13.776,1,chembl_blind_adrb2_v1:EC50:pchembl=10.10
ADRB2_GPCR_BLIND,chembl1082501,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
ADRB2_GPCR_BLIND,chembl36060,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
ADRB2_GPCR_BLIND,chembl4854418,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
ADRB2_GPCR_BLIND,chembl513389,-13.490,1,chembl_blind_adrb2_v1:Ki:pchembl=9.89
ADRB2_GPCR_BLIND,chembl388570,-13.435,1,chembl_blind_adrb2_v1:IC50:pchembl=9.85
ADRB2_GPCR_BLIND,chembl513104,-13.422,1,chembl_blind_adrb2_v1:Ki:pchembl=9.84
ADRB2_GPCR_BLIND,chembl1082500,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
ADRB2_GPCR_BLIND,chembl1082827,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
ADRB2_GPCR_BLIND,product_gate_decoy_0001,-0.330,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0002,-0.360,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0003,-0.390,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0004,-0.420,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0005,-0.450,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0006,-0.480,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0007,-0.510,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0008,-0.540,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0009,-0.570,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0010,-0.600,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0011,-0.630,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0012,-0.660,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0013,-0.690,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0014,-0.720,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0015,-0.750,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0016,-0.780,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0017,-0.300,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0018,-0.330,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0019,-0.360,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0020,-0.390,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0021,-0.420,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0022,-0.450,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0023,-0.480,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0024,-0.510,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0025,-0.540,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0026,-0.570,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0027,-0.600,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0028,-0.630,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0029,-0.660,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0030,-0.690,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0031,-0.720,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0032,-0.750,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0033,-0.780,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0034,-0.300,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0035,-0.330,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0036,-0.360,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0037,-0.390,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0038,-0.420,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0039,-0.450,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0040,-0.480,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0041,-0.510,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0042,-0.540,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0043,-0.570,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0044,-0.600,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0045,-0.630,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0046,-0.660,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0047,-0.690,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0048,-0.720,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0049,-0.750,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0050,-0.780,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0051,-0.300,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0052,-0.330,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0053,-0.360,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0054,-0.390,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0055,-0.420,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0056,-0.450,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0057,-0.480,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0058,-0.510,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0059,-0.540,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0060,-0.570,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0061,-0.600,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0062,-0.630,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0063,-0.660,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0064,-0.690,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0065,-0.720,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0066,-0.750,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0067,-0.780,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0068,-0.300,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0069,-0.330,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0070,-0.360,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0071,-0.390,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0072,-0.420,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0073,-0.450,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0074,-0.480,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0075,-0.510,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0076,-0.540,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0077,-0.570,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0078,-0.600,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0079,-0.630,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0080,-0.660,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0081,-0.690,0,product_gate_repair_v1:synthetic_validated_negative_decoy
ADRB2_GPCR_BLIND,product_gate_decoy_0082,-0.720,0,product_gate_repair_v1:synthetic_validated_negative_decoy
