target,ligand_id,reference_binding_kcal_mol,is_binder,source
EGFR_KINASE,erlotinib,-9.2,1,literature_proxy_v2
EGFR_KINASE,nilotinib,-8.3,1,literature_proxy_v2
EGFR_KINASE,imatinib,-7.4,1,literature_proxy_v2
EGFR_KINASE,ibuprofen,-2.1,0,literature_proxy_v2
EGFR_KINASE,aspirin,-1.1,0,literature_proxy_v2
EGFR_KINASE,caffeine,-0.6,0,literature_proxy_v2
ADRB2_GPCR_BLIND,carazolol,-10.2,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,propranolol,-8.8,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,carvedilol,-9.1,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,pindolol,-8.2,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,alprenolol,-7.8,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,timolol,-8.5,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,acetaminophen,-1.7,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,metformin,-0.4,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,nicotinamide,-0.8,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,chembl2012522,-14.895,1,chembl_blind_adrb2_v1:Ki:pchembl=10.92
ADRB2_GPCR_BLIND,chembl4863525,-14.731,1,chembl_blind_adrb2_v1:Ki:pchembl=10.80
ADRB2_GPCR_BLIND,chembl4874819,-14.458,1,chembl_blind_adrb2_v1:Ki:pchembl=10.60
ADRB2_GPCR_BLIND,chembl2104145,-14.267,1,chembl_blind_adrb2_v1:Kd:pchembl=10.46
ADRB2_GPCR_BLIND,chembl15245,-14.186,1,chembl_blind_adrb2_v1:Ki:pchembl=10.40
ADRB2_GPCR_BLIND,chembl1160723,-14.049,1,chembl_blind_adrb2_v1:IC50:pchembl=10.30
ADRB2_GPCR_BLIND,chembl4860528,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl5201074,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl5206565,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl5207281,-13.845,1,chembl_blind_adrb2_v1:Kd:pchembl=10.15
ADRB2_GPCR_BLIND,chembl4456301,-13.831,1,chembl_blind_adrb2_v1:Ki:pchembl=10.14
ADRB2_GPCR_BLIND,chembl1263,-13.776,1,chembl_blind_adrb2_v1:EC50:pchembl=10.10
ADRB2_GPCR_BLIND,chembl1082501,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
ADRB2_GPCR_BLIND,chembl36060,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
ADRB2_GPCR_BLIND,chembl4854418,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
ADRB2_GPCR_BLIND,chembl513389,-13.490,1,chembl_blind_adrb2_v1:Ki:pchembl=9.89
ADRB2_GPCR_BLIND,chembl388570,-13.435,1,chembl_blind_adrb2_v1:IC50:pchembl=9.85
ADRB2_GPCR_BLIND,chembl513104,-13.422,1,chembl_blind_adrb2_v1:Ki:pchembl=9.84
ADRB2_GPCR_BLIND,chembl1082500,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
ADRB2_GPCR_BLIND,chembl1082827,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
ADRB2_GPCR_BLIND,chembl1945036,-13.231,1,chembl_blind_adrb2_v1:IC50:pchembl=9.70
ADRB2_GPCR_BLIND,chembl1947157,-13.231,1,chembl_blind_adrb2_v1:IC50:pchembl=9.70
ADRB2_GPCR_BLIND,chembl420746,-13.231,1,chembl_blind_adrb2_v1:Kd:pchembl=9.70
ADRB2_GPCR_BLIND,chembl4846536,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
ADRB2_GPCR_BLIND,chembl4852629,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
ADRB2_GPCR_BLIND,chembl3798748,-13.094,1,chembl_blind_adrb2_v1:Ki:pchembl=9.60
ADRB2_GPCR_BLIND,chembl4465556,-13.094,1,chembl_blind_adrb2_v1:EC50:pchembl=9.60
ADRB2_GPCR_BLIND,chembl4854091,-13.094,1,chembl_blind_adrb2_v1:Ki:pchembl=9.60
ADRB2_GPCR_BLIND,chembl4878395,-13.094,1,chembl_blind_adrb2_v1:Ki:pchembl=9.60
ADRB2_GPCR_BLIND,chembl2088201,-13.081,1,chembl_blind_adrb2_v1:Kd:pchembl=9.59
ADRB2_GPCR_BLIND,chembl1221804,-12.985,1,chembl_blind_adrb2_v1:Ki:pchembl=9.52
ADRB2_GPCR_BLIND,chembl122757,-12.985,1,chembl_blind_adrb2_v1:Ki:pchembl=9.52
ADRB2_GPCR_BLIND,chembl461463,-12.985,1,chembl_blind_adrb2_v1:Ki:pchembl=9.52
ADRB2_GPCR_BLIND,chembl4564189,-12.849,1,chembl_blind_adrb2_v1:Ki:pchembl=9.42
ADRB2_GPCR_BLIND,chembl1221590,-12.822,1,chembl_blind_adrb2_v1:Ki:pchembl=9.40
ADRB2_GPCR_BLIND,chembl3323658,-12.822,1,chembl_blind_adrb2_v1:Ki:pchembl=9.40
ADRB2_GPCR_BLIND,chembl5564549,-12.781,1,chembl_blind_adrb2_v1:Kd:pchembl=9.37
ADRB2_GPCR_BLIND,chembl4514723,-12.767,1,chembl_blind_adrb2_v1:Ki:pchembl=9.36
ADRB2_GPCR_BLIND,chembl3800400,-12.712,1,chembl_blind_adrb2_v1:Ki:pchembl=9.32
ADRB2_GPCR_BLIND,chembl1221680,-12.685,1,chembl_blind_adrb2_v1:Ki:pchembl=9.30
ADRB2_GPCR_BLIND,chembl1945038,-12.685,1,chembl_blind_adrb2_v1:IC50:pchembl=9.30
ADRB2_GPCR_BLIND,chembl5512435,-12.685,1,chembl_blind_adrb2_v1:Ki:pchembl=9.30
ADRB2_GPCR_BLIND,chembl1201237,-12.631,1,chembl_blind_adrb2_v1:Ki:pchembl=9.26
ADRB2_GPCR_BLIND,chembl93298,-12.631,1,chembl_blind_adrb2_v1:Ki:pchembl=9.26
ADRB2_GPCR_BLIND,chembl1221682,-12.576,1,chembl_blind_adrb2_v1:Ki:pchembl=9.22
ADRB2_GPCR_BLIND,chembl3039530,-12.576,1,chembl_blind_adrb2_v1:EC50:pchembl=9.22
ADRB2_GPCR_BLIND,chembl183921,-12.549,1,chembl_blind_adrb2_v1:Ki:pchembl=9.20
ADRB2_GPCR_BLIND,chembl1945031,-12.549,1,chembl_blind_adrb2_v1:IC50:pchembl=9.20
ADRB2_GPCR_BLIND,chembl378501,-12.481,1,chembl_blind_adrb2_v1:Kd:pchembl=9.15
ADRB2_GPCR_BLIND,chembl4594173,-12.440,1,chembl_blind_adrb2_v1:Ki:pchembl=9.12
