target,ligand_id,reference_binding_kcal_mol,is_binder,source
EGFR_KINASE,erlotinib,-9.2,1,literature_proxy_v2
EGFR_KINASE,nilotinib,-8.3,1,literature_proxy_v2
EGFR_KINASE,imatinib,-7.4,1,literature_proxy_v2
EGFR_KINASE,ibuprofen,-2.1,0,literature_proxy_v2
EGFR_KINASE,aspirin,-1.1,0,literature_proxy_v2
EGFR_KINASE,caffeine,-0.6,0,literature_proxy_v2
ADRB2_GPCR_BLIND,carazolol,-10.2,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,propranolol,-8.8,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,carvedilol,-9.1,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,pindolol,-8.2,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,alprenolol,-7.8,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,timolol,-8.5,1,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,acetaminophen,-1.7,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,metformin,-0.4,0,gpcr_blind_proxy_v1
ADRB2_GPCR_BLIND,nicotinamide,-0.8,0,gpcr_blind_proxy_v1
