target,ligand_id,reference_binding_kcal_mol,is_binder,source
EGFR_KINASE,erlotinib,-9.2,1,literature_proxy_v2
EGFR_KINASE,nilotinib,-8.3,1,literature_proxy_v2
EGFR_KINASE,imatinib,-7.4,1,literature_proxy_v2
EGFR_KINASE,ibuprofen,-2.1,0,literature_proxy_v2
EGFR_KINASE,aspirin,-1.1,0,literature_proxy_v2
EGFR_KINASE,caffeine,-0.6,0,literature_proxy_v2
TRPV1_ION_CHANNEL_BLIND,chembl2177429,-15.004,1,chembl_blind_adrb2_v1:Ki:pchembl=11.00
TRPV1_ION_CHANNEL_BLIND,chembl3393837,-14.595,1,chembl_blind_adrb2_v1:Ki:pchembl=10.70
TRPV1_ION_CHANNEL_BLIND,chembl3407762,-14.595,1,chembl_blind_adrb2_v1:Ki:pchembl=10.70
TRPV1_ION_CHANNEL_BLIND,chembl3627723,-14.349,1,chembl_blind_adrb2_v1:Ki:pchembl=10.52
TRPV1_ION_CHANNEL_BLIND,chembl3627950,-14.349,1,chembl_blind_adrb2_v1:Ki:pchembl=10.52
TRPV1_ION_CHANNEL_BLIND,chembl3407765,-14.186,1,chembl_blind_adrb2_v1:Ki:pchembl=10.40
TRPV1_ION_CHANNEL_BLIND,chembl3689037,-14.186,1,chembl_blind_adrb2_v1:Ki:pchembl=10.40
TRPV1_ION_CHANNEL_BLIND,chembl2442912,-14.049,1,chembl_blind_adrb2_v1:Ki:pchembl=10.30
TRPV1_ION_CHANNEL_BLIND,chembl3314406,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
TRPV1_ION_CHANNEL_BLIND,chembl3427109,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
TRPV1_ION_CHANNEL_BLIND,chembl5926013,-13.640,1,chembl_blind_adrb2_v1:Ki:pchembl=10.00
TRPV1_ION_CHANNEL_BLIND,chembl228451,-13.585,1,chembl_blind_adrb2_v1:IC50:pchembl=9.96
TRPV1_ION_CHANNEL_BLIND,chembl441472,-13.394,1,chembl_blind_adrb2_v1:IC50:pchembl=9.82
TRPV1_ION_CHANNEL_BLIND,chembl2177440,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
TRPV1_ION_CHANNEL_BLIND,chembl3314389,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
TRPV1_ION_CHANNEL_BLIND,chembl3317476,-13.231,1,chembl_blind_adrb2_v1:Ki:pchembl=9.70
TRPV1_ION_CHANNEL_BLIND,chembl4781687,-13.053,1,chembl_blind_adrb2_v1:IC50:pchembl=9.57
TRPV1_ION_CHANNEL_BLIND,chembl2385220,-12.985,1,chembl_blind_adrb2_v1:Ki:pchembl=9.52
TRPV1_ION_CHANNEL_BLIND,chembl2385246,-12.985,1,chembl_blind_adrb2_v1:Ki:pchembl=9.52
TRPV1_ION_CHANNEL_BLIND,chembl2385248,-12.985,1,chembl_blind_adrb2_v1:Ki:pchembl=9.52
