target,ligand_id,reference_binding_kcal_mol,is_binder,source
EGFR_KINASE,erlotinib,-9.2,1,literature_proxy_v2
EGFR_KINASE,nilotinib,-8.3,1,literature_proxy_v2
EGFR_KINASE,imatinib,-7.4,1,literature_proxy_v2
EGFR_KINASE,ibuprofen,-2.1,0,literature_proxy_v2
EGFR_KINASE,aspirin,-1.1,0,literature_proxy_v2
EGFR_KINASE,caffeine,-0.6,0,literature_proxy_v2
HIV1_PROTEASE,nilotinib,-6.2,1,literature_proxy_v2
HIV1_PROTEASE,imatinib,-5.4,1,literature_proxy_v2
HIV1_PROTEASE,erlotinib,-4.6,1,literature_proxy_v2
HIV1_PROTEASE,ibuprofen,-2.2,0,literature_proxy_v2
HIV1_PROTEASE,aspirin,-1.0,0,literature_proxy_v2
HIV1_PROTEASE,caffeine,-0.4,0,literature_proxy_v2
KRAS_G12D,nilotinib,-5.4,1,literature_proxy_v2
KRAS_G12D,imatinib,-5.0,1,literature_proxy_v2
KRAS_G12D,erlotinib,-3.8,1,literature_proxy_v2
KRAS_G12D,ibuprofen,-1.6,0,literature_proxy_v2
KRAS_G12D,aspirin,-0.7,0,literature_proxy_v2
KRAS_G12D,caffeine,-0.3,0,literature_proxy_v2
