ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold,pchembl,reference_binding_kcal_mol,source,standard_type
chembl2012522,CC(C)(Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1)NCC(O)COc1cccc2[nH]c3ccccc3c12.O=C(O)CCC(=O)O,642.71,4.894,6,8,14,c1ccc(Oc2ccc(CCNCCCOc3cccc4[nH]c5ccccc5c34)cc2)nc1,10.920,-14.895,chembl_blind_adrb2_v1,Ki
chembl4863525,O=C(NC(c1ccccc1)c1cccc(OCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,654.81,5.406,5,8,15,O=C(NC(c1ccccc1)c1cccc(OCCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,10.800,-14.731,chembl_blind_adrb2_v1,Ki
chembl4874819,O=C(NC(c1ccccc1)c1cccc(OCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,640.78,5.016,5,8,14,O=C(NC(c1ccccc1)c1cccc(OCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,10.600,-14.458,chembl_blind_adrb2_v1,Ki
chembl2104145,CC(C)(C)NCC(O)COc1ccccc1-c1ccccc1,299.41,3.481,2,3,6,c1ccc(-c2ccccc2)cc1,10.460,-14.267,chembl_blind_adrb2_v1,Kd
chembl15245,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,354.45,2.647,2,4,1,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,10.400,-14.186,chembl_blind_adrb2_v1,Ki
chembl1160723,CC(C)NCC(O)c1ccc(O)c(O)c1,211.26,1.129,4,4,4,c1ccccc1,10.300,-14.049,chembl_blind_adrb2_v1,IC50
chembl4860528,CCCCCNC(=O)N=C(N)NCCCc1sc(N)nc1C,326.47,1.770,4,4,8,c1cscn1,10.150,-13.845,chembl_blind_adrb2_v1,Kd
chembl5201074,CC(NC(=O)N=C(N)NCCCc1ncn[nH]1)c1ccccc1.Cl.Cl,388.30,1.956,4,3,6,O=C(N=CNCCCc1ncn[nH]1)NCc1ccccc1,10.150,-13.845,chembl_blind_adrb2_v1,Kd
chembl5206565,NC(=NC(=O)NCc1ccccc1)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,561.47,2.134,6,7,6,O=C(N=CNCCCc1nncs1)NCc1ccccc1,10.150,-13.845,chembl_blind_adrb2_v1,Kd
chembl5207281,CCCCCNC(=O)N=C(N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,541.48,2.124,6,7,8,c1nncs1,10.150,-13.845,chembl_blind_adrb2_v1,Kd
chembl4456301,COc1cc(CCNCC(O)COc2cccc3ccccc23)ccc1OCCCSSCCN,516.73,4.529,3,8,17,c1ccc(CCNCCCOc2cccc3ccccc23)cc1,10.140,-13.831,chembl_blind_adrb2_v1,Ki
chembl1263,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,415.57,4.107,4,5,16,c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1,10.100,-13.776,chembl_blind_adrb2_v1,EC50
chembl1082501,OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2cccnc2)CC1,415.54,4.411,2,4,7,c1cncc(CC2CCN(CCCOc3cccc4[nH]c5ccccc5c34)CC2)c1,10.000,-13.640,chembl_blind_adrb2_v1,Ki
chembl36060,CC(C)(C)NCC(O)COc1cccc2[nH]c(O)nc12,279.34,1.396,4,5,5,c1ccc2[nH]cnc2c1,10.000,-13.640,chembl_blind_adrb2_v1,Ki
chembl4854418,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,668.83,5.796,5,8,16,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,10.000,-13.640,chembl_blind_adrb2_v1,Ki
chembl513389,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,277.41,2.610,2,3,6,c1ccc2c(c1)CCC2,9.890,-13.490,chembl_blind_adrb2_v1,Ki
chembl388570,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,303.36,2.058,5,5,6,c1ccc(CCNCCc2ccccc2)cc1,9.850,-13.435,chembl_blind_adrb2_v1,IC50
chembl513104,CC(C)(C)NCC(O)COc1cccc2oc3ccccc3c12,313.40,3.714,2,4,5,c1ccc2c(c1)oc1ccccc12,9.840,-13.422,chembl_blind_adrb2_v1,Ki
chembl1082500,COc1ccc(CC2CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1,444.58,5.024,2,4,8,c1ccc(CC2CCN(CCCOc3cccc4[nH]c5ccccc5c34)CC2)cc1,9.700,-13.231,chembl_blind_adrb2_v1,Ki
chembl1082827,O=C(c1ccccc1)C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,428.53,4.656,2,4,7,O=C(c1ccccc1)C1CCN(CCCOc2cccc3[nH]c4ccccc4c23)CC1,9.700,-13.231,chembl_blind_adrb2_v1,Ki
chembl1945036,CC(CNCc1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,477.63,4.054,5,6,11,O=c1[nH]c2cccc(CCNCCc3ccc(CNCCc4ccccc4)cc3)c2s1,9.700,-13.231,chembl_blind_adrb2_v1,IC50
chembl1947157,O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,532.49,4.800,5,6,11,O=c1[nH]c2cccc(CCNCCc3cccc(CNCCc4ccccc4)c3)c2s1,9.700,-13.231,chembl_blind_adrb2_v1,IC50
