ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold,pchembl,reference_binding_kcal_mol,source,standard_type
chembl2177429,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)CC1,516.56,4.267,2,5,7,O=C(Cc1ccccc1)NCc1cccnc1N1CCCCC1,11.000,-15.004,chembl_blind_adrb2_v1,Ki
chembl3393837,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3cnccc23)CC1,443.47,5.207,2,4,4,O=C(NCc1cccnc1N1CCCCC1)Nc1cccc2cnccc12,10.700,-14.595,chembl_blind_adrb2_v1,Ki
chembl3407762,CCCCOc1nc(C(F)(F)Cl)ccc1CNC(=O)C(C)c1ccc(NS(C)(=O)=O)c(F)c1,507.96,4.479,2,5,11,O=C(Cc1ccccc1)NCc1cccnc1,10.700,-14.595,chembl_blind_adrb2_v1,Ki
chembl3627723,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,532.63,6.061,2,4,8,O=C(Cc1ccccc1)NCc1ccccc1SC1CCCCC1,10.520,-14.349,chembl_blind_adrb2_v1,Ki
chembl3627950,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,518.60,5.671,2,4,8,O=C(Cc1ccccc1)NCc1ccccc1SC1CCCC1,10.520,-14.349,chembl_blind_adrb2_v1,Ki
chembl3407765,CC(C(=O)NCc1ccc(C(F)(F)Cl)nc1OC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,519.97,4.622,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OC1CCCC1,10.400,-14.186,chembl_blind_adrb2_v1,Ki
chembl3689037,CC(C(=O)NCc1cc(C(C)(C)C)nn1-c1cccc(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,507.03,4.754,2,5,7,O=C(Cc1ccccc1)NCc1ccnn1-c1ccccc1,10.400,-14.186,chembl_blind_adrb2_v1,Ki
chembl2442912,CC(C(=O)NCc1ccc(C(F)(F)F)nc1SC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,533.61,5.456,2,5,8,O=C(Cc1ccccc1)NCc1cccnc1SC1CCCCC1,10.300,-14.049,chembl_blind_adrb2_v1,Ki
chembl3314406,CC1C=C(c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)CCC1,513.56,5.234,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1C1=CCCCC1,10.000,-13.640,chembl_blind_adrb2_v1,Ki
chembl3427109,Cc1cccc(C(C(=O)NCc2ccc(C(F)(F)F)nc2N2CCC(C)CC2)c2ccc(NS(C)(=O)=O)c(F)c2)c1,592.66,5.604,2,5,8,O=C(NCc1cccnc1N1CCCCC1)C(c1ccccc1)c1ccccc1,10.000,-13.640,chembl_blind_adrb2_v1,Ki
chembl5926013,CC(C)(C)c1nc(-c2cccc(Cl)c2)c(CNC(=O)Nc2cccc3cnccc23)s1,451.00,6.631,2,4,4,O=C(NCc1scnc1-c1ccccc1)Nc1cccc2cnccc12,10.000,-13.640,chembl_blind_adrb2_v1,Ki
chembl228451,CC(C)(C)c1ccc(CNC(=S)NCc2ccc(NS(C)(=O)=O)cc2)cc1,405.59,3.520,3,3,6,S=C(NCc1ccccc1)NCc1ccccc1,9.960,-13.585,chembl_blind_adrb2_v1,IC50
chembl441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,372.90,4.387,1,3,2,O=C(Nc1ccccc1)N1CCN(c2ccccn2)CC1,9.820,-13.394,chembl_blind_adrb2_v1,IC50
chembl2177440,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCC(Cc2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,592.66,5.490,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1N1CCC(Cc2ccccc2)CC1,9.700,-13.231,chembl_blind_adrb2_v1,Ki
chembl3314389,CC(C(=O)NCc1ccc(C(F)(F)F)nc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,501.55,5.079,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1C1CCCCC1,9.700,-13.231,chembl_blind_adrb2_v1,Ki
chembl3317476,CC(C(=O)NCc1ccc(C(F)(F)F)nc1-c1ccc(F)c(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,547.93,5.490,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1-c1ccccc1,9.700,-13.231,chembl_blind_adrb2_v1,Ki
chembl4781687,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,459.47,4.500,3,4,4,O=C(NCc1cccnc1N1CCCCC1)Nc1cccc2[nH]c(=O)ccc12,9.570,-13.053,chembl_blind_adrb2_v1,IC50
chembl2385220,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCCC1CCCCN1C(=O)OC(C)(C)C)c1ccc(NS(C)(=O)=O)c(F)c1,646.70,5.589,2,7,10,O=C(Cc1ccccc1)NCc1cccnc1OCCC1CCCCN1,9.520,-12.985,chembl_blind_adrb2_v1,Ki
chembl2385246,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCC1CC1C)c1ccc(NS(C)(=O)=O)c(F)c1,503.52,4.066,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCC1CC1,9.520,-12.985,chembl_blind_adrb2_v1,Ki
