ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold
erlotinib,COCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3,393.44,2.7,1,6,8,quinazoline
nilotinib,CC1=NC(=CC=C1)NCC2=CC=C(C=C2)NC(=O)C3=CN=CC=C3,529.52,3.2,2,8,9,aminopyrimidine
imatinib,CC1=CC=CC=C1NC(=O)NCC2=CC=NC=C2N3CCN(CC3)C,493.60,2.6,2,8,10,anilide
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.5,1,2,4,arylpropionic_acid
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2,1,4,3,salicylate
caffeine,CN1C=NC2=C1N(C)C(=O)N(C)C(=O)N2C,194.19,-0.1,0,6,0,xanthine
bacopaside_ii,CC(=O)OC1C(OC(C)(C)C)C(OC(C)=O)C2(C)CCC3(C)C(=CC12)C1(C)CCC2(C)C3CC1OC(=O)C,784.99,4.8,0,10,8,bacopaside_triterpenoid
aqb013,CCN(CC)CCCCN(CC1=CC=CC=C1)C(=O)C2=CC=CC=C2,382.55,3.9,1,2,10,anilide_tool
aqb011,CCN(CC)CCCCN(CC1=CC=CC=C1)C(=O)C2=CC=C(Cl)C=C2,417.00,4.2,1,2,10,anilide_tool
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.5,1,2,4,arylpropionic_acid
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2,1,4,3,salicylate
caffeine,CN1C=NC2=C1N(C)C(=O)N(C)C(=O)N2C,194.19,-0.1,0,6,0,xanthine
