ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold
erlotinib,COCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3,393.44,2.7,1,6,8,quinazoline
nilotinib,CC1=NC(=CC=C1)NCC2=CC=C(C=C2)NC(=O)C3=CN=CC=C3,529.52,3.2,2,8,9,aminopyrimidine
imatinib,CC1=CC=CC=C1NC(=O)NCC2=CC=NC=C2N3CCN(CC3)C,493.60,2.6,2,8,10,anilide
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.5,1,2,4,arylpropionic_acid
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2,1,4,3,salicylate
caffeine,CN1C=NC2=C1N(C)C(=O)N(C)C(=O)N2C,194.19,-0.1,0,6,0,xanthine
carazolol,CC(C)NCC(COC1=CC=CC2=C1C3=CC=CC=C3N2)O,298.4,3.6,3,3,6,arylcarbazole
propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,259.34,3.0,2,3,6,aryloxypropanolamine
carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,406.5,4.2,3,5,10,arylcarbazole
pindolol,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,248.32,1.8,3,3,6,indole_beta_blocker
alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,249.35,3.1,2,3,8,aryloxypropanolamine
timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,316.42,1.8,2,8,7,thiadiazole_beta_blocker
acetaminophen,CC(=O)NC1=CC=C(C=C1)O,151.17,1.35,2,2,1,acetanilide_phenol
metformin,CN(C)C(=N)NC(=N)N,129.17,-1.03,4,2,0,biguanide
nicotinamide,NC(=O)C1=CN=CC=C1,122.13,0.18,1,2,1,pyridine_carboxamide
