target,domain
Hemoglobin_4HHB,globular
Lysozyme_1LYZ,globular
Myoglobin_1MBN,globular
RNaseA_7RSA,globular
Thioredoxin_2TRX,globular
Carbonic_Anhydrase_2_Zn,metal
CuZn_Superoxide_Dismutase,metal
Matrix_Metalloproteinase_1,metal
Hemerythrin_1HMD,metal
Zinc_Finger_1A1L,metal
p53_DBD_DNA_Complex,dna
TBP_DNA_Complex,dna
Lac_Repressor_DNA_Complex,dna
CAP_DNA_Complex,dna
Nucleosome_Core_1KX5,dna
Beta2AR_GPCR,membrane
KcsA_Potassium_Channel,membrane
Aquaporin_1,membrane
Bacteriorhodopsin_1C3W,membrane
OmpF_Porin_2OMF,membrane
