target,pdb_id,uniprot_id,notes
Hemoglobin_4HHB,4HHB,,ood_measured40_globular
Lysozyme_1LYZ,1LYZ,P00698,ood_measured40_globular
Myoglobin_1MBN,1MBN,P02144,ood_measured40_globular
RNaseA_7RSA,7RSA,P61823,ood_measured40_globular
Thioredoxin_2TRX,2TRX,P10599,ood_measured40_globular
Carbonic_Anhydrase_2_Zn,1CA2,P00918,ood_measured40_metal
CuZn_Superoxide_Dismutase,1CBJ,P00441,ood_measured40_metal
Matrix_Metalloproteinase_1,1SU3,P03956,ood_measured40_metal
Hemerythrin_1HMD,1HMD,,ood_measured40_metal
Zinc_Finger_1A1L,1A1L,,ood_measured40_metal
p53_DBD_DNA_Complex,1TSR,P04637,ood_measured40_dna
TBP_DNA_Complex,1CDW,P20226,ood_measured40_dna
Lac_Repressor_DNA_Complex,1LBG,P03023,ood_measured40_dna
CAP_DNA_Complex,1CGP,P0ACJ8,ood_measured40_dna
Nucleosome_Core_1KX5,1KX5,,ood_measured40_dna
Beta2AR_GPCR,2RH1,P07550,ood_measured40_membrane
KcsA_Potassium_Channel,1K4C,P0A334,ood_measured40_membrane
Aquaporin_1,1J4N,P29972,ood_measured40_membrane
Bacteriorhodopsin_1C3W,1C3W,P02945,ood_measured40_membrane
OmpF_Porin_2OMF,2OMF,P02931,ood_measured40_membrane
Ubiquitin_1UBQ,1UBQ,P0CG48,ood_measured40_globular
Calmodulin_1CLL,1CLL,P62158,ood_measured40_globular
Serum_Albumin_1AO6,1AO6,P02768,ood_measured40_globular
Lysozyme_C_Human_1LZ1,1LZ1,P61626,ood_measured40_globular
Transthyretin_1F41,1F41,P02766,ood_measured40_globular
Hemoglobin_Alpha_Human_1A3N,1A3N,P69905,ood_measured40_metal
Ferritin_H_2FHA,2FHA,P02794,ood_measured40_metal
Catalase_1QQW,1QQW,P04040,ood_measured40_metal
Carbonic_Anhydrase_1_1AZM,1AZM,P00915,ood_measured40_metal
Ceruloplasmin_1KCW,1KCW,P00450,ood_measured40_metal
Lambda_Repressor_DNA_1LMB,1LMB,P03034,ood_measured40_dna
Cro_Repressor_DNA_6CRO,6CRO,P03040,ood_measured40_dna
NFkB_p50_DNA_1SVC,1SVC,Q04206,ood_measured40_dna
Estrogen_Receptor_DNA_1HCQ,1HCQ,P03372,ood_measured40_dna
Glucocorticoid_Receptor_DNA_3G6P,3G6P,P04150,ood_measured40_dna
Rhodopsin_1F88,1F88,P08100,ood_measured40_membrane
GLUT1_4PYP,4PYP,P11166,ood_measured40_membrane
SERCA1A_3W5A,3W5A,P04191,ood_measured40_membrane
Aquaporin_4_3GD8,3GD8,P55087,ood_measured40_membrane
Sodium_Potassium_ATPase_3WGU,3WGU,P05023,ood_measured40_membrane
