path	bucket	responsibility	caller_surface	duplicate_dead_code_risk	monolith_risk	external_dependency_risk	product_path	tested_path	risk_flags
.github/workflows/product-api-worker.yml	deploy	deployment_config_or_ui_asset	ci_cd_or_operator_deploy_surface	low_or_not_assessed	low_or_not_assessed	ops_external_boundary	true	false	ops_external_boundary
.github/workflows/product-image-smoke.yml	deploy	deployment_config_or_ui_asset	ci_cd_or_operator_deploy_surface	low_or_not_assessed	low_or_not_assessed	ops_external_boundary	true	false	ops_external_boundary
api/__init__.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/cameo.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	competition_external_boundary_approval_required	true	partial_or_indirect	competition_external_boundary_approval_required
api/casp17.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	casp_no_leak_external_submission_boundary	true	partial_or_indirect	casp_no_leak_external_submission_boundary
api/cleanup.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/config.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/docking_dispatch.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/goal.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	medium_large_single_file_surface	none_identified_from_path	true	partial_or_indirect	medium_large_single_file_surface
api/job_store.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/main.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/models.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/product.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	high_api_product_monolith	none_identified_from_path	true	partial_or_indirect	high_api_product_monolith
api/product_accounting.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	medium_large_single_file_surface	none_identified_from_path	true	partial_or_indirect	medium_large_single_file_surface
api/request_privacy.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/result_manifest.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/security.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/simulation_scope.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/tasks.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/validated_runner.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
api/worker.py	API	http_api_surface	fastapi_router_or_api_import	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
benchmark/__init__.py	benchmark	benchmark_or_validation	benchmark_cli_or_quality_gate	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
benchmark/accuracy_bench.py	benchmark	benchmark_or_validation	benchmark_cli_or_quality_gate	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
benchmark/external_metric_scorecard.py	benchmark	benchmark_or_validation	benchmark_cli_or_quality_gate	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
benchmark/generate_report.py	benchmark	benchmark_or_validation	benchmark_cli_or_quality_gate	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
benchmark/performance_bench.py	benchmark	benchmark_or_validation	benchmark_cli_or_quality_gate	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/__init__.py	runner	operator_or_pipeline_runner	operator_cli_or_ci_script	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/coarse_md/__init__.py	core	physics_or_engine_core	unknown	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/coarse_md/numpy_ref.py	core	physics_or_engine_core	unknown	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/__init__.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/api_adapter.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/backmapping_adapter.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/claim_scope.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/errors.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/input_schema.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/interaction_adapter.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/manifest.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/output_schema.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/runner_evidence_bundle.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
betelgeuze_ai_md/contracts/serialization.py	adapter	product_or_contract_adapter	engine_product_adapters_tests	low_or_not_assessed	low_or_not_assessed	none_identified_from_path	true	partial_or_indirect	none
