row_rank,target_id,benchmark_id,scope,ledger_status,candidate_ledger_csv,candidate_count,top5_candidate_pool_ready,selected_prediction_candidate_count,native_oracle_metric_available_count,internal_score_available_count,selected_model_rank_candidate,best_model_rank_candidate,selected_native_metric_candidate,best_native_metric_candidate,selected_score_candidate,best_score_candidate,open_calibration_field_count,open_calibration_fields,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/01_hist_bba5_calibration_candidates.csv,5,True,1,5,5,1,1,11.364,11.364,0.385,0.385,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/02_hist_chignolin_calibration_candidates.csv,6,True,1,6,6,1,7,22.500,27.500,0.363,0.363,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
3,HIST_CRAMBIN,hist_seed_crambin,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/03_hist_crambin_calibration_candidates.csv,5,True,1,5,5,1,1,1.630,1.630,0.487,0.487,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
4,HIST_FSD_1,hist_seed_fsd_1,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/04_hist_fsd_1_calibration_candidates.csv,5,True,1,5,5,1,1,8.929,8.929,0.386,0.386,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/05_hist_gb1_mini_calibration_candidates.csv,5,True,1,5,5,1,7,1.786,2.232,0.380,0.380,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/06_hist_protein_a_bdomain_calibration_candidates.csv,5,True,1,5,5,1,1,1.250,1.250,0.428,0.428,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/07_hist_trp_cage_calibration_candidates.csv,5,True,1,5,5,1,7,22.500,26.250,0.414,0.414,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/08_hist_ubiquitin_mini_calibration_candidates.csv,5,True,1,5,5,1,5,6.250,6.579,0.473,0.473,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/09_hist_villin_hp35_calibration_candidates.csv,5,True,1,5,5,1,1,8.571,8.571,0.457,0.457,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,operator_calibration_review_required,casp17/historical_seed_calibration_candidate_ledgers/10_hist_ww_domain_fip35_calibration_candidates.csv,5,True,1,5,5,1,1,0.000,0.000,0.382,0.382,6,"selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score",operator-fill calibration fields after no-leak provenance clearance,operator_calibration_fields_required
