seed_rank,batch_slot,target_id,benchmark_id,scope,native_authority_status,native_pdb,prediction_pdb,native_exists,prediction_exists,native_atom_count,native_chain_count,native_ca_only,native_placeholder_marker_count,native_authority_ref,source_kind,audit_folder,blockers,next_action,native_header,native_title
1,1,HIST_BBA5,hist_seed_bba5,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/01_hist_bba5/native_candidate_1T8J.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,True,True,386,1,False,0,rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/01_hist_bba5,,native authority evidence is ready for operator no-leak review,HEADER    DE NOVO PROTEIN                         13-MAY-04   1T8J,"NMR STRUCTURE OF BBA5, A COMPACT, INDEPENDENTLY FOLDED BBA MOTIF"
2,2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin/native_candidate_1UAO.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,True,True,2484,1,False,0,rcsb:1UAO;doi:10.2210/pdb1uao/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/02_hist_chignolin,,native authority evidence is ready for operator no-leak review,HEADER    DE NOVO PROTEIN                         13-MAR-03   1UAO,"NMR STRUCTURE OF DESIGNED PROTEIN, CHIGNOLIN, CONSISTING OF ONLY TEN AMINO ACIDS (ENSEMBLES)"
3,3,HIST_CRAMBIN,hist_seed_crambin,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/03_hist_crambin/native_candidate_1CRN.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,True,True,327,1,False,0,rcsb:1CRN;doi:10.2210/pdb1crn/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/03_hist_crambin,,native authority evidence is ready for operator no-leak review,HEADER    PLANT PROTEIN                           30-APR-81   1CRN,WATER STRUCTURE OF A HYDROPHOBIC PROTEIN AT ATOMIC RESOLUTION. PENTAGON RINGS OF WATER MOLECULES IN CRYSTALS OF CRAMBIN
4,4,HIST_FSD_1,hist_seed_fsd_1,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1/native_candidate_1FSD.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,True,True,20664,1,False,0,rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/04_hist_fsd_1,,native authority evidence is ready for operator no-leak review,HEADER    NOVEL SEQUENCE                          09-JUN-97   1FSD,"FULL SEQUENCE DESIGN 1 (FSD-1) OF BETA BETA ALPHA MOTIF, NMR, 41 STRUCTURES"
5,5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini/native_candidate_2GB1.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,True,True,855,1,False,0,rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/05_hist_gb1_mini,,native authority evidence is ready for operator no-leak review,HEADER    IMMUNOGLOBULIN BINDING PROTEIN          15-MAY-91   2GB1,"A NOVEL, HIGHLY STABLE FOLD OF THE IMMUNOGLOBULIN BINDING DOMAIN OF STREPTOCOCCAL PROTEIN G"
6,6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain/native_candidate_1BDD.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,True,True,941,1,False,0,rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/06_hist_protein_a_bdomain,,native authority evidence is ready for operator no-leak review,HEADER    IMMUNOGLOBULIN-BINDING PROTEIN          28-JUN-96   1BDD,"STAPHYLOCOCCUS AUREUS PROTEIN A, IMMUNOGLOBULIN-BINDING B DOMAIN, NMR, MINIMIZED AVERAGE STRUCTURE"
7,7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage/native_candidate_1L2Y.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,True,True,11552,1,False,0,rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/07_hist_trp_cage,,native authority evidence is ready for operator no-leak review,HEADER    DE NOVO PROTEIN                         25-FEB-02   1L2Y,NMR STRUCTURE OF TRP-CAGE MINIPROTEIN CONSTRUCT TC5B
8,8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini/native_candidate_1UBQ.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,True,True,660,1,False,0,rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/08_hist_ubiquitin_mini,,native authority evidence is ready for operator no-leak review,HEADER    CHROMOSOMAL PROTEIN                     02-JAN-87   1UBQ,STRUCTURE OF UBIQUITIN REFINED AT 1.8 ANGSTROMS RESOLUTION
9,9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35/native_candidate_1YRF.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,True,True,731,1,False,0,rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/09_hist_villin_hp35,,native authority evidence is ready for operator no-leak review,HEADER    STRUCTURAL PROTEIN                      03-FEB-05   1YRF,"CHICKEN VILLIN SUBDOMAIN HP-35, N68H, PH6.7"
10,10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,authority_pass,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35/native_candidate_2F21.pdb,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,True,True,1403,1,False,0,rcsb:2F21;doi:10.2210/pdb2f21/pdb,paired_native_internal_prediction,casp17/historical_seed_native_authority_audit/10_hist_ww_domain_fip35,,native authority evidence is ready for operator no-leak review,HEADER    ISOMERASE                               15-NOV-05   2F21,HUMAN PIN1 FIP MUTANT
