probe_rank,probe_status,target_group,target_id,review_rank,review_class,probe_type,primary_model_filename,model1_probe_score,top_candidate_filename,top_candidate_role,top_candidate_probe_score,probe_margin,probe_result,probe_recommendation,confidence_score,confidence_gap,risk_score,geometry_outlier_score,low_conf_atom_fraction,diversity_to_model1_rmsd,top5_candidate_count,model_path,viewer_html,projection_svg,top_candidate_model_path,top_candidate_viewer_html,top_candidate_projection_svg,top5_manifest_csv,model_present,viewer_present,projection_present,top_candidate_present,top_candidate_viewer_present,top5_manifest_present,probe_md,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary,scoring_rule_id
1,targeted_probe_ready_external_only,protein_complex,H1311,3,probe_required_review,top5_targeted_no_native_rescore,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,103.92292,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,model1,103.92292,0.31936,probe_watch_model1_retained_low_margin,external_model1_watch_low_margin_after_probe,104.19842,0.3313,,1.102,,,5,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/model.cif,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/projection.svg,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/model.cif,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/h1311/selection_024_afm_basic_v3_model_5/projection.svg,casp17/massivefold_representative_rerank/h1311/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/01_protein_complex_h1311/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
2,targeted_probe_ready_external_only,protein_complex,H2319,4,probe_required_review,top5_targeted_no_native_rescore,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,105.17261,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,model1,105.17261,1.19016,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,105.48786,0.56512,,1.261,,,5,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,casp17/massivefold_representative_rerank/h2319/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/02_protein_complex_h2319/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
3,targeted_probe_ready_external_only,protein_complex,H2321,5,probe_required_review,top5_targeted_no_native_rescore,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,101.20392,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,model1,101.20392,0.85011,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,102.10998,0.66878,,3.608,0.00203,,5,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_rerank/h2321/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/03_protein_complex_h2321/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
4,targeted_probe_ready_external_only,protein_complex,H2324,6,probe_required_review,top5_targeted_no_native_rescore,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,99.50531,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,model1,99.50531,0.35564,probe_watch_model1_retained_low_margin,external_model1_watch_low_margin_after_probe,99.93822,0.17602,,1.437,0.03683,,5,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/model.cif,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/viewer.html,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/projection.svg,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/model.cif,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/viewer.html,casp17/massivefold_representative_viewers/h2324/selection_115_afm_basic_v1_model_4760/projection.svg,casp17/massivefold_representative_rerank/h2324/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/04_protein_complex_h2324/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
5,targeted_probe_ready_external_only,protein_complex,H2335,7,probe_required_review,top5_targeted_no_native_rescore,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,92.30765,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,model1,92.30765,1.04953,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,94.11582,1.11502,,6.857,0.04696,,5,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,casp17/massivefold_representative_rerank/h2335/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/05_protein_complex_h2335/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
6,targeted_probe_ready_external_only,protein_complex,H2338,8,probe_required_review,top5_targeted_no_native_rescore,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,103.70431,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,model1,103.70431,0.86919,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,103.87838,0.45224,,0.653,0.00541,,5,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_rerank/h2338/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/06_protein_complex_h2338/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
7,targeted_probe_ready_external_only,protein_complex,H2339,9,probe_required_review,top5_targeted_no_native_rescore,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,102.50423,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,model1,102.50423,0.83464,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,102.90764,0.74694,,1.589,0.00308,,5,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,casp17/massivefold_representative_rerank/h2339/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/07_protein_complex_h2339/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
8,targeted_probe_ready_external_only,rna_hybrid,R2341,10,probe_required_review,top5_targeted_no_native_rescore,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,51.74741,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,model1,51.74741,0.86527,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,53.0992,0.10906,,2.265,0.39277,,5,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_representative_rerank/r2341/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/08_rna_hybrid_r2341/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
9,targeted_probe_ready_external_only,rna_hybrid,R2345,11,probe_required_review,top5_targeted_no_native_rescore,Model_4_af3_woUnpaired_af3_seed_418984_sample_3_pred_713.cif,57.4808,Model_4_af3_woUnpaired_af3_seed_418984_sample_3_pred_713.cif,model1,57.4808,2.30976,probe_pass_model1_retained_clear,external_model1_freeze_candidate_after_probe,57.89694,1.64062,,1.104,0.07007,,5,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/model.cif,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/viewer.html,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/projection.svg,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/model.cif,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/viewer.html,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/projection.svg,casp17/massivefold_representative_rerank/r2345/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/09_rna_hybrid_r2345/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
10,targeted_probe_ready_external_only,rna_hybrid,R2351,12,probe_required_review,top5_targeted_no_native_rescore,Model_18_af3_woTemplates_af3_seed_103360_sample_3_pred_608.cif,83.30344,Model_18_af3_woTemplates_af3_seed_103360_sample_3_pred_608.cif,model1,83.30344,0.29014,probe_watch_model1_retained_low_margin,external_model1_watch_low_margin_after_probe,83.86274,0.131,,2.044,0.02415,,5,casp17/massivefold_representative_viewers/r2351/selection_026_woTemplates_model_18/model.cif,casp17/massivefold_representative_viewers/r2351/selection_026_woTemplates_model_18/viewer.html,casp17/massivefold_representative_viewers/r2351/selection_026_woTemplates_model_18/projection.svg,casp17/massivefold_representative_viewers/r2351/selection_026_woTemplates_model_18/model.cif,casp17/massivefold_representative_viewers/r2351/selection_026_woTemplates_model_18/viewer.html,casp17/massivefold_representative_viewers/r2351/selection_026_woTemplates_model_18/projection.svg,casp17/massivefold_representative_rerank/r2351/top5_manifest.csv,True,True,True,True,True,True,casp17/massivefold_probe_required_targeted_probe_packet/10_rna_hybrid_r2351/TARGETED_PROBE.md,,external_no_native_probe_required_targeted_probe_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold probe-required targeted probe packet only. It re-scores external MassiveFold top5 review candidates with no-native confidence, geometry, low-confidence, and diversity features. It is not native accuracy, not internal prediction proof, not a CASP submission, and not permission to submit without operator approval.",probe_required_targeted_no_native_rescore_v1
